Site,Lakes,Geographic points
AM.P1,Amendoim,"6°23'54.1""S 50°22'17.6""W"
AM.P2,Amendoim,"6°24'03.0""S 50°22'18.8""W"
V1.P1,Violão,"6°24'02.5""S 50°21'06.7""W"
V2.P2,Violão,"6°23'52.3""S 50°21'14.0""W"
TIA.P1,Três Irmãs - Adjacent,"6°20'51.7""S 50°26'52.3""W"
TIA.P2,Três Irmãs - Adjacent,"6°20'47.7""S 50°26'48.2""W"
TI.P1,Três Irmãs Lake 2,"6°21'09.6""S 50°27'01.9""W"
TI.P2,Três Irmãs Lake 3,"6°21'12.7""S 50°26'39.5""W"
TI.P3,Três Irmãs Lake 4,"6°21'19.4""S 50°26'44.2""W"
TI.P4,Três Irmãs Lake 5,"6°21'23.5""S 50°26'53.6""W"
