ST8_group,study_name,data_layers,n_records,sample_ids,taxon_oids,GOLD_study_ids,NCBI_BioProject_accessions,habitats,locations,summary,IMG_portal_url,GOLD_search_url,NCBI_BioProject_url,PubMed_search_url,Google_Scholar_search_url,bibliographic_status,n_metagenomes_in_ST8,ncbi_bioprojects,gold_study_ids,ncbi_bioproject_url,gold_study_url,pubmed_article_url,bibliographic_reference_or_candidate,doi_or_primary_article_url
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,"Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States",Metatranscriptomics; Metagenomics,11,S2; S14; S21; S23; S25; S28; S30; S34; S35; S37; S61,3300055056; 3300055062; 3300055061; 3300055069; 3300038471; 3300038411; 3300046014; 3300038412; 3300046013; 3300038413; 3300055057,Gs0145645,PRJNA1343333; PRJNA1340724; PRJNA1342022; PRJNA1341174; PRJNA650771; PRJNA650769; PRJNA1342058; PRJNA650770; PRJNA1343114; PRJNA650772; PRJNA1343652,acid mine drainage,"USA: Akron, Ohio","11 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD. Data layer(s): Metatranscriptomics; Metagenomics. Habitat(s): acid mine drainage. Location(s): USA: Akron, Ohio.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio,+United+States",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1343333,"https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio,+United+States","https://scholar.google.com/scholar?q=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio,+United+States",metadata-linked search; confirm publication manually before manuscript citation,11,PRJNA1343333; PRJNA1340724; PRJNA1342022; PRJNA1341174; PRJNA650771; PRJNA650769; PRJNA1342058; PRJNA650770; PRJNA1343114; PRJNA650772; PRJNA1343652,Gs0145645,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1343333,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio,+United+States","https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+communities+from+coal+mines+in+Pennsylvania+and+Ohio,+United+States","Acid mine drainage microbial communities from coal mines in Pennsylvania and Ohio, United States",
Control: Burr Oak Reservoir BO4,"Lab enriched sediment microbial communities from Lake Superior, Michigan and Burr Oak Reservoir, Ohio, USA",Metagenomics,2,S39; S58,3300039027; 3300039028,Gs0145677,,Sediment,"USA: Burr Oak Reservoir, Ohio; South west Lake Superior, Michigan, USA","2 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Control: Burr Oak Reservoir BO4. Data layer(s): Metagenomics. Habitat(s): Sediment. Location(s): USA: Burr Oak Reservoir, Ohio; South west Lake Superior, Michigan, USA.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Lab+enriched+sediment+microbial+communities+from+Lake+Superior,+Michigan+and+Burr+Oak+Reservoir,+Ohio,+USA",,"https://pubmed.ncbi.nlm.nih.gov/?term=Lab+enriched+sediment+microbial+communities+from+Lake+Superior,+Michigan+and+Burr+Oak+Reservoir,+Ohio,+USA","https://scholar.google.com/scholar?q=Lab+enriched+sediment+microbial+communities+from+Lake+Superior,+Michigan+and+Burr+Oak+Reservoir,+Ohio,+USA",metadata-linked search; confirm publication manually before manuscript citation,2,,Gs0145677,,"https://gold.jgi.doe.gov/search?q=Lab+enriched+sediment+microbial+communities+from+Lake+Superior,+Michigan+and+Burr+Oak+Reservoir,+Ohio,+USA","https://pubmed.ncbi.nlm.nih.gov/?term=Lab+enriched+sediment+microbial+communities+from+Lake+Superior,+Michigan+and+Burr+Oak+Reservoir,+Ohio,+USA","Lab enriched sediment microbial communities from Lake Superior, Michigan and Burr Oak Reservoir, Ohio, USA",
Ferruginous lake/sediment group: Lake Matano,Methane metabolizing microbial communities from different methane-rich environments from various locations,Metagenomics,6,S8; S10; S12; S29; S49; S62,3300023177; 3300024300; 3300024333; 3300024341; 3300028737; 3300043827,Gs0127566,PRJNA468228; PRJNA468225; PRJNA468227; PRJNA468226; PRJNA518401; PRJNA1316481,freshwater; Freshwater,Indonesia: South Sulawesi,6 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Ferruginous lake/sediment group: Lake Matano. Data layer(s): Metagenomics. Habitat(s): freshwater; Freshwater. Location(s): Indonesia: South Sulawesi.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA468228,https://pubmed.ncbi.nlm.nih.gov/?term=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,https://scholar.google.com/scholar?q=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,metadata-linked search; confirm publication manually before manuscript citation,6,PRJNA468228; PRJNA468225; PRJNA468227; PRJNA468226; PRJNA518401; PRJNA1316481,Gs0127566,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA468228,https://gold.jgi.doe.gov/search?q=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,https://pubmed.ncbi.nlm.nih.gov/?term=Methane+metabolizing+microbial+communities+from+different+methane-rich+environments+from+various+locations,Methane metabolizing microbial communities from different methane-rich environments from various locations,
Ferruginous lake/sediment group: Lake Superior,Freshwater microbial and viral communities from the Laurentian Great Lakes in the United States and Canada,Metatranscriptomics,1,S9,3300061576,Gs0135713,PRJNA1339124,Freshwater,United States: Michigan,1 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Ferruginous lake/sediment group: Lake Superior. Data layer(s): Metatranscriptomics. Habitat(s): Freshwater. Location(s): United States: Michigan.,https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1339124,https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,https://scholar.google.com/scholar?q=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,metadata-linked search; confirm publication manually before manuscript citation,1,PRJNA1339124,Gs0135713,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1339124,https://gold.jgi.doe.gov/search?q=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+microbial+and+viral+communities+from+the+Laurentian+Great+Lakes+in+the+United+States+and+Canada,Freshwater microbial and viral communities from the Laurentian Great Lakes in the United States and Canada,
Ferruginous lake/sediment group: Lake Superior,Lake Superior Sediments,Combined assembly,1,S64,3300010391,Gs0121509,,Freshwater sediment,"Lake Superior, USA","1 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Ferruginous lake/sediment group: Lake Superior. Data layer(s): Combined assembly. Habitat(s): Freshwater sediment. Location(s): Lake Superior, USA.",https://img.jgi.doe.gov/,https://gold.jgi.doe.gov/search?q=Lake+Superior+Sediments,,https://pubmed.ncbi.nlm.nih.gov/?term=Lake+Superior+Sediments,https://scholar.google.com/scholar?q=Lake+Superior+Sediments,metadata-linked search; confirm publication manually before manuscript citation,1,,Gs0121509,,https://gold.jgi.doe.gov/search?q=Lake+Superior+Sediments,https://pubmed.ncbi.nlm.nih.gov/?term=Lake+Superior+Sediments,Lake Superior Sediments,
Ferruginous lake/sediment group: Lake Towuti,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia",Metagenomics,11,S5; S6; S11; S16; S24; S26; S32; S33; S42; S44; S51,3300031604; 3300021518; 3300031593; 3300031877; 3300036046; 3300036045; 3300021517; 3300031898; 3300031876; 3300031587; 3300031806,Gs0131992,PRJNA539344; PRJNA439834; PRJNA539342; PRJNA539347; PRJNA439835; PRJNA539346; PRJNA539345; PRJNA539343; PRJNA539341,sediment; Freshwater sediment,Indonesia: South Sulawesi,11 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Ferruginous lake/sediment group: Lake Towuti. Data layer(s): Metagenomics. Habitat(s): sediment; Freshwater sediment. Location(s): Indonesia: South Sulawesi.,https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Freshwater+sediment+microbial+communities+from+Lake+Towuti,+South+Sulawesi,+Indonesia",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA539344,"https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+sediment+microbial+communities+from+Lake+Towuti,+South+Sulawesi,+Indonesia","https://scholar.google.com/scholar?q=Freshwater+sediment+microbial+communities+from+Lake+Towuti,+South+Sulawesi,+Indonesia",metadata-linked search; confirm publication manually before manuscript citation,11,PRJNA539344; PRJNA439834; PRJNA539342; PRJNA539347; PRJNA439835; PRJNA539346; PRJNA539345; PRJNA539343; PRJNA539341,Gs0131992,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA539344,"https://gold.jgi.doe.gov/search?q=Freshwater+sediment+microbial+communities+from+Lake+Towuti,+South+Sulawesi,+Indonesia","https://pubmed.ncbi.nlm.nih.gov/?term=Freshwater+sediment+microbial+communities+from+Lake+Towuti,+South+Sulawesi,+Indonesia","Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia",
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid Mine Drainage (AMD) euryarchaeal community from 5-way CG site, at Richmond mine, Iron Mountain, CA",Metagenomics,1,S27,3300003104,Gs0111506,,Acid Mine Drainage (AMD),"Richmond mine, Iron Mountain, California, USA","1 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metagenomics. Habitat(s): Acid Mine Drainage (AMD). Location(s): Richmond mine, Iron Mountain, California, USA.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Acid+Mine+Drainage+(AMD)+euryarchaeal+community+from+5-way+CG+site,+at+Richmond+mine,+Iron+Mountain,+CA",,"https://pubmed.ncbi.nlm.nih.gov/?term=Acid+Mine+Drainage+(AMD)+euryarchaeal+community+from+5-way+CG+site,+at+Richmond+mine,+Iron+Mountain,+CA","https://scholar.google.com/scholar?q=Acid+Mine+Drainage+(AMD)+euryarchaeal+community+from+5-way+CG+site,+at+Richmond+mine,+Iron+Mountain,+CA",metadata-linked search; confirm publication manually before manuscript citation,1,,Gs0111506,,"https://gold.jgi.doe.gov/search?q=Acid+Mine+Drainage+(AMD)+euryarchaeal+community+from+5-way+CG+site,+at+Richmond+mine,+Iron+Mountain,+CA","https://pubmed.ncbi.nlm.nih.gov/?term=Acid+Mine+Drainage+(AMD)+euryarchaeal+community+from+5-way+CG+site,+at+Richmond+mine,+Iron+Mountain,+CA","Acid Mine Drainage (AMD) euryarchaeal community from 5-way CG site, at Richmond mine, Iron Mountain, CA",
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid Mine Drainage (AMD) microbial and viral communities from Richmond mine, Iron Mountain, CA",Metagenomics,3,S17; S43; S46,2010484004; 3300005360; 3300003083,Gs0053288,PRJNA337102; PRJNA18537,Acid Mine Drainage (AMD),"Iron Mountain California; Richmond Mine, Iron Mountain CA","3 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metagenomics. Habitat(s): Acid Mine Drainage (AMD). Location(s): Iron Mountain California; Richmond Mine, Iron Mountain CA.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Acid+Mine+Drainage+(AMD)+microbial+and+viral+communities+from+Richmond+mine,+Iron+Mountain,+CA",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA337102,"https://pubmed.ncbi.nlm.nih.gov/?term=Acid+Mine+Drainage+(AMD)+microbial+and+viral+communities+from+Richmond+mine,+Iron+Mountain,+CA","https://scholar.google.com/scholar?q=Acid+Mine+Drainage+(AMD)+microbial+and+viral+communities+from+Richmond+mine,+Iron+Mountain,+CA",metadata-linked search; confirm publication manually before manuscript citation,3,PRJNA337102; PRJNA18537,Gs0053288,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA337102,"https://gold.jgi.doe.gov/search?q=Acid+Mine+Drainage+(AMD)+microbial+and+viral+communities+from+Richmond+mine,+Iron+Mountain,+CA","https://pubmed.ncbi.nlm.nih.gov/?term=Acid+Mine+Drainage+(AMD)+microbial+and+viral+communities+from+Richmond+mine,+Iron+Mountain,+CA","Acid Mine Drainage (AMD) microbial and viral communities from Richmond mine, Iron Mountain, CA",
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid mine drainage (AMD) microbial communities from Richmond mine in California, USA",Metatranscriptomics,4,S18; S22; S47; S53,3300008723; 3300008567; 3300008566; 3300008721,Gs0117981,PRJNA210320,Acid mine drainage,"USA: Richmond, California","4 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metatranscriptomics. Habitat(s): Acid mine drainage. Location(s): USA: Richmond, California.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+(AMD)+microbial+communities+from+Richmond+mine+in+California,+USA",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210320,"https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+(AMD)+microbial+communities+from+Richmond+mine+in+California,+USA","https://scholar.google.com/scholar?q=Acid+mine+drainage+(AMD)+microbial+communities+from+Richmond+mine+in+California,+USA",metadata-linked search; confirm publication manually before manuscript citation,4,PRJNA210320,Gs0117981,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210320,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+(AMD)+microbial+communities+from+Richmond+mine+in+California,+USA","https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+(AMD)+microbial+communities+from+Richmond+mine+in+California,+USA","Acid mine drainage (AMD) microbial communities from Richmond mine in California, USA",
Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,"Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",Metagenomics,17,S1; S3; S4; S13; S31; S36; S38; S41; S45; S54; S56; S59; S60; S63; S65; S66; S67,3300038731; 3300038487; 3300030091; 3300030335; 3300030228; 3300030082; 3300038729; 3300038979; 3300039205; 3300030242; 3300039211; 3300038493; 3300038486; 3300030398; 3300038494; 3300030413; 3300038681,Gs0129031,PRJNA76185,Acid mine drainage,"USA: Iron Mountain, California","17 IMG/M record(s) in the curated ST8 final iron-rich comparison. Group: Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD. Data layer(s): Metagenomics. Habitat(s): Acid mine drainage. Location(s): USA: Iron Mountain, California.",https://img.jgi.doe.gov/,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine,+California,+USA",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA76185,"https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine,+California,+USA","https://scholar.google.com/scholar?q=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine,+California,+USA",metadata-linked search; confirm publication manually before manuscript citation,17,PRJNA76185,Gs0129031,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA76185,"https://gold.jgi.doe.gov/search?q=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine,+California,+USA","https://pubmed.ncbi.nlm.nih.gov/?term=Acid+mine+drainage+microbial+biofilm+communities+from+Richmond+Mine,+California,+USA","Acid mine drainage microbial biofilm communities from Richmond Mine, California, USA",
