Old filename,Old figure number,New filename,New figure number,Domain,Taxonomic level,Plot type,Script,Input file,Output files,Article citation updated,Supplementary legend updated,App entry updated
SupplementaryFigure52_Taxonomy_Phylum_individual_samples_barplot_100pct.png,52,SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.png,43,Bacteria,Phylum,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.png; SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.pdf; SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure53_Taxonomy_Phylum_individual_samples_heatmap.png,53,SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.png,44,Bacteria,Phylum,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.png,45,Archaea,Phylum,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.png; SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.pdf; SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.png,46,Archaea,Phylum,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure44_Taxonomy_Class_individual_samples_barplot_100pct.png,44,SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.png,47,Bacteria,Class,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.png; SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.pdf; SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure45_Taxonomy_Class_individual_samples_heatmap.png,45,SupplementaryFigure48_Taxonomy_Bacteria_Class_individual_samples_heatmap_relative_abundance.png,48,Bacteria,Class,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure48_Taxonomy_Bacteria_Class_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure48_Taxonomy_Bacteria_Class_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure48_Taxonomy_Bacteria_Class_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure49_Taxonomy_Archaea_Class_individual_samples_barplot_100pct.png,49,Archaea,Class,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure49_Taxonomy_Archaea_Class_individual_samples_barplot_100pct.png; SupplementaryFigure49_Taxonomy_Archaea_Class_individual_samples_barplot_100pct.pdf; SupplementaryFigure49_Taxonomy_Archaea_Class_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
New domain-specific figure; no prior Archaea equivalent,Not applicable,SupplementaryFigure50_Taxonomy_Archaea_Class_individual_samples_heatmap_relative_abundance.png,50,Archaea,Class,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure50_Taxonomy_Archaea_Class_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure50_Taxonomy_Archaea_Class_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure50_Taxonomy_Archaea_Class_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
SupplementaryFigure50_Taxonomy_Order_individual_samples_barplot_100pct.png,50,SupplementaryFigure51_Taxonomy_Bacteria_Order_individual_samples_barplot_100pct.png,51,Bacteria,Order,Barplot by individual sample,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure51_Taxonomy_Bacteria_Order_individual_samples_barplot_100pct.png; SupplementaryFigure51_Taxonomy_Bacteria_Order_individual_samples_barplot_100pct.pdf; SupplementaryFigure51_Taxonomy_Bacteria_Order_individual_samples_barplot_100pct.svg,Yes,Yes,Yes
SupplementaryFigure51_Taxonomy_Order_individual_samples_heatmap.png,51,SupplementaryFigure52_Taxonomy_Bacteria_Order_individual_samples_heatmap_relative_abundance.png,52,Bacteria,Order,Relative-abundance heatmap,scripts/generate_taxonomy_supplementary_figures.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,SupplementaryFigure52_Taxonomy_Bacteria_Order_individual_samples_heatmap_relative_abundance.png; SupplementaryFigure52_Taxonomy_Bacteria_Order_individual_samples_heatmap_relative_abundance.pdf; SupplementaryFigure52_Taxonomy_Bacteria_Order_individual_samples_heatmap_relative_abundance.svg,Yes,Yes,Yes
