Samples,Bases,Paired-end reads,Scaffolds,Largest contig,N50,L50,Predicted CDS,Total reads (Kaiju)
AM.P1.D,157585349,3768887,332523,18336,826,23310,420093,224441
AM.P1.R,120731927,3764613,299024,8877,674,15441,358885,190778
AM.P2.D,63287231,2747871,157986,6702,678,10898,188440,95000
AM.P2.R,114159168,3752989,294346,8078,650,5121,350023,184222
TIA.P1.D,101842305,3828886,266346,4795,643,12684,314919,163927
TIA.P1.R,46844299,2767318,125250,4381,639,5379,146504,74784
TIA.P2.D,101168379,3800214,272133,4951,633,7888,318765,164907
TIA.P2.R,50400247,2862719,133232,7961,663,10622,156703,84435
TI.P1.D,98275417,3887841,244576,10603,722,954,292364,147424
TI.P1.R,53617936,3091433,148045,7897,605,6280,171793,93798
TI.P2.D,55795770,2595280,144132,2914,639,9106,170937,93490
TI.P2.R,120963143,3830573,318099,3028,634,5238,376162,196596
TI.P3.D,115449068,3880326,297304,7121,647,11118,352736,175767
TI.P3.R,78611429,3302086,201964,3574,653,15790,241401,128998
TI.P4.D,115533974,3848491,280286,8073,707,16253,337127,190464
TI.P4.R,101668923,3769836,259122,4061,652,10548,307928,171963
VI.P1.D,10266242,2440238,28399,2008,611,15758,32999,12813
VI.P1.R,72476630,2440238,179665,4376,676,14370,215425,119181
VI.P2.D,67341824,3073332,174844,9300,657,8021,207350,107359
VI.P2.R,52845732,2738805,141131,2484,624,17621,164610,84058
