Figure,Description,PNG,PDF,SVG,Script,Inputs,Command,Usage,Panel_count,SHA256_PNG,Title,Panel,Purpose,Data_origin,Intermediate_files,Parameters,Filters,Statistical_methods,Random_seed,Libraries_and_versions,Article_location,App_location,Validation_status,SHA256_PDF,SHA256_SVG,Notes,Last_generated_UTC
Figure 1,Figure1_sampling_map,Figure1_sampling_map.png,Figure1_sampling_map.pdf,Figure1_sampling_map.svg,scripts/generate_amazon_coordinate_figure.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/generate_amazon_coordinate_figure.py --base-dir .,article,1,98c3b8e6559c6946481815f4fa769efdb5793f5f95506e6b86cdbd53f583b94e,,,,,,,,,,,,,,5127608538512faf928fa3de90840bd5ef33394284a85bf880a56a72a60b8aba,b5007c52ec5225e58df5b438a9188111aac4179162de503fdbad70a14b4e452b,,2026-07-26T03:10:20.893877+00:00
Figure 2,Figure2_taxonomic_phylum_bacteria_horizontal_CDS,Figure2_taxonomic_phylum_bacteria_horizontal_CDS.png,Figure2_taxonomic_phylum_bacteria_horizontal_CDS.pdf,Figure2_taxonomic_phylum_bacteria_horizontal_CDS.svg,scripts/generate_targeted_figures_20260805.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.display_current.tab; data/mapeamento_taxonomico.csv; reproducibility/ordination_reproducibility,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,68a2cbd292fcb67919d84d7c42ce4f5c85f074ce105c4df3e9f804b271a99d2d,Figure2_taxonomic_phylum_bacteria_horizontal_CDS,Complete figure,Apply the strict per-sample <1% display rule and exact Unclassified labels while preserving all source counts and frozen ordinations.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/TAXONOMY_STRICT_LT1_ROW_AUDIT_20260805.csv; data/final_publication_derived/OTHER_TAXA_LT1_TRACEABILITY_20260805.csv; data/final_publication_derived/UNCLASSIFIED_PERCENTAGES_20260805.csv,Classified values strictly <1% per sample -> Other taxa (<1%); exactly 1% explicit; Unclassified independent with exact percentage label; no Top-N.,"No sample, taxon reaching 1%, Unclassified record or frozen ordination coordinate removed.",No new statistical analysis for taxonomy bars; frozen NMDS/RDA coordinates and statistics are reused for Figures 4 and 5.,Not applicable — deterministic.,Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/02_Main_Figures/Figure2_taxonomic_phylum_bacteria_horizontal_CDS.png,outputs/app_main_figures/Figure2_taxonomic_phylum_bacteria_horizontal_CDS.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",d56b3b9906d5c99600495872458930a0e1575bbaf6ca5ce8338303d5e8059b68,659a7bb22cf1d3f888f335a1de1f9a5ff6978de6657c7bcbbb2b8a5e08b3f968,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Figure 3,Figure3_taxonomic_phylum_archaea_horizontal_CDS,Figure3_taxonomic_phylum_archaea_horizontal_CDS.png,Figure3_taxonomic_phylum_archaea_horizontal_CDS.pdf,Figure3_taxonomic_phylum_archaea_horizontal_CDS.svg,scripts/generate_targeted_figures_20260805.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.display_current.tab; data/mapeamento_taxonomico.csv; reproducibility/ordination_reproducibility,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,e5ea23b1a89b70d8cb56771d55e79da3c990289a9c8b77cf289739d2a69167f5,Figure3_taxonomic_phylum_archaea_horizontal_CDS,Complete figure,Apply the strict per-sample <1% display rule and exact Unclassified labels while preserving all source counts and frozen ordinations.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/TAXONOMY_STRICT_LT1_ROW_AUDIT_20260805.csv; data/final_publication_derived/OTHER_TAXA_LT1_TRACEABILITY_20260805.csv; data/final_publication_derived/UNCLASSIFIED_PERCENTAGES_20260805.csv,Classified values strictly <1% per sample -> Other taxa (<1%); exactly 1% explicit; Unclassified independent with exact percentage label; no Top-N.,"No sample, taxon reaching 1%, Unclassified record or frozen ordination coordinate removed.",No new statistical analysis for taxonomy bars; frozen NMDS/RDA coordinates and statistics are reused for Figures 4 and 5.,Not applicable — deterministic.,Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/02_Main_Figures/Figure3_taxonomic_phylum_archaea_horizontal_CDS.png,outputs/app_main_figures/Figure3_taxonomic_phylum_archaea_horizontal_CDS.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",4aa5f02172e2b99098d3eeed978104b6b706109d1c43cb8e7f5cb17560e0f241,7e2ad88b4c1bedf36ea777d7e14a518334c7290a5f41b578f3563330eda58952,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Figure 4,Figure4_taxonomic_bacteria_genus_profiles,Figure4_taxonomic_bacteria_genus_profiles.png,Figure4_taxonomic_bacteria_genus_profiles.pdf,Figure4_taxonomic_bacteria_genus_profiles.svg,scripts/generate_targeted_figures_20260805.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.display_current.tab; data/mapeamento_taxonomico.csv; reproducibility/ordination_reproducibility,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,cf96a8a91f5bece1cbe5b1e6ac6bb0777ae4ebd2ca48b500b7b980d0b18a4fbc,Figure4_taxonomic_bacteria_genus_profiles,Complete figure,Apply the strict per-sample <1% display rule and exact Unclassified labels while preserving all source counts and frozen ordinations.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/TAXONOMY_STRICT_LT1_ROW_AUDIT_20260805.csv; data/final_publication_derived/OTHER_TAXA_LT1_TRACEABILITY_20260805.csv; data/final_publication_derived/UNCLASSIFIED_PERCENTAGES_20260805.csv,Classified values strictly <1% per sample -> Other taxa (<1%); exactly 1% explicit; Unclassified independent with exact percentage label; no Top-N.,"No sample, taxon reaching 1%, Unclassified record or frozen ordination coordinate removed.",No new statistical analysis for taxonomy bars; frozen NMDS/RDA coordinates and statistics are reused for Figures 4 and 5.,42 (frozen NMDS/RDA; 999 RDA permutations),Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/02_Main_Figures/Figure4_taxonomic_bacteria_genus_profiles.png,outputs/app_main_figures/Figure4_taxonomic_bacteria_genus_profiles.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",e77776094400643bc175e83f59eb6c3a9367cdc111c9f6fd3360e60a707df4cf,68a168a16f7eea96cee923b3df75ad9a41941192c07001f6c94f394c37b88162,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Figure 5,Figure5_taxonomic_archaea_genus_profiles,Figure5_taxonomic_archaea_genus_profiles.png,Figure5_taxonomic_archaea_genus_profiles.pdf,Figure5_taxonomic_archaea_genus_profiles.svg,scripts/generate_targeted_figures_20260805.py,data/resultado.cds.otu.tab; data/resultado.cds.tax.display_current.tab; data/mapeamento_taxonomico.csv; reproducibility/ordination_reproducibility,python scripts/generate_targeted_figures_20260805.py --package-root . --targets all,article; application,1,dfe44cb526af077ed5b3f904366aec7b65dd47e72f338e5b76f5b1ccd702cfc7,Figure5_taxonomic_archaea_genus_profiles,Complete figure,Apply the strict per-sample <1% display rule and exact Unclassified labels while preserving all source counts and frozen ordinations.,Canonical packaged study inputs; scientific matrices and frozen ordination results preserved.,data/final_publication_derived/TAXONOMY_STRICT_LT1_ROW_AUDIT_20260805.csv; data/final_publication_derived/OTHER_TAXA_LT1_TRACEABILITY_20260805.csv; data/final_publication_derived/UNCLASSIFIED_PERCENTAGES_20260805.csv,Classified values strictly <1% per sample -> Other taxa (<1%); exactly 1% explicit; Unclassified independent with exact percentage label; no Top-N.,"No sample, taxon reaching 1%, Unclassified record or frozen ordination coordinate removed.",No new statistical analysis for taxonomy bars; frozen NMDS/RDA coordinates and statistics are reused for Figures 4 and 5.,42 (frozen NMDS/RDA; 999 RDA permutations),Python; pandas; NumPy; Matplotlib; Plotly; Pillow; versions in requirements.txt.,article/02_Main_Figures/Figure5_taxonomic_archaea_genus_profiles.png,outputs/app_main_figures/Figure5_taxonomic_archaea_genus_profiles.png,"PASS — regenerated, audited and static–interactive parity verified (20260805).",dde6f275edd9c158263789d994623a03c2742fa83be90eee0fd7c0fe76c5231c,1ddb51f310675f2d2dd025047eb562331d49996801f3c55bf3d5fab2d962ff7d,"Targeted correction only; no unrelated figure, application module or scientific inference changed.",2026-08-05T00:00:00+00:00
Figure 6,Figure6_taxon_differential_abundance,Figure6_taxon_differential_abundance.png,Figure6_taxon_differential_abundance.pdf,Figure6_taxon_differential_abundance.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,article,1,a3b45bde7709a9815201620e3a515fe6cd7e4344503cce5c2ab1742bd083a675,,,,,,,,,,,,,,ead13ae289423ec3de111a837835da1aed2ef7d03416b1c3e77ef944cf4629ea,5cfed856cc915212ddadd3b749adbd617aac09689ad41c89eca7e1049df9f7b6,,2026-07-26T03:10:20.893877+00:00
Figure 7,Figure7_MAG_quality_and_abundance,Figure7_MAG_quality_and_abundance.png,Figure7_MAG_quality_and_abundance.pdf,Figure7_MAG_quality_and_abundance.svg,scripts/figures/generate_figure7.py,data/Supplementary_table_7-MAGS-Quality-Genome_Lineage-Classification.xlsx,python scripts/figures/generate_figure7.py --base-dir .,article,1,b49ccd937f6576d21ada3811fff79d260c41574e4865d810d5cfafa2abb61762,,,,,,,,,,,,,,550896bda87f314c09823b341731f8f1d26e6d513ff1603b2c67b0ae8aeddb99,4468b5adfcc578c436cdab4a6589b059a1f1b23d66e76e6824ce9dd58b926a5b,,2026-07-26T03:10:20.893877+00:00
Figure 8,Figure8_KO_differential_abundance_dry_rainy,Figure8_KO_differential_abundance_dry_rainy.png,Figure8_KO_differential_abundance_dry_rainy.pdf,Figure8_KO_differential_abundance_dry_rainy.svg,scripts/figures/generate_figure8.py,data/publication_sources/Supplementary_Table_5.xlsx,python scripts/figures/generate_figure8.py --base-dir .,article,1,0b0ae2a78446121a874302f756ee829bb71047c9723eea850bb6823083211fe8,,,,,,,,,,,,,,29258fc68bb38321b266a6f4ee9aabc4c4c61398ef3c70707eb7ded08f5d10ca,e616c153509d0e99df3f21d9c4e53006d2cc19003f0fb6c973e89f44cf62f533,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 1,SupplementaryFigure1_metrics_boxplots_vivid,SupplementaryFigure1_metrics_boxplots_vivid.png,SupplementaryFigure1_metrics_boxplots_vivid.pdf,SupplementaryFigure1_metrics_boxplots_vivid.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,c5b676e0689d495cfe8712452c43d626cf2afd645bf95681bce9a2c876a5c977,,,,,,,,,,,,,,09e48ba2962e1992ef76f078db95940b64d2b653876d162549b4baaf8980bf2d,a4fb57351be0a010f12d4bf91b00d0f1eaac0e26c414e0db07eda9b529d692e0,,2026-07-26T03:10:20.893877+00:00
Supplementary Figure 2,SupplementaryFigure2_rarefaction_curves_CDS_32999,SupplementaryFigure2_rarefaction_curves_CDS_32999.png,SupplementaryFigure2_rarefaction_curves_CDS_32999.pdf,SupplementaryFigure2_rarefaction_curves_CDS_32999.svg,scripts/consolidate_final_publication.py,See script header and README_FIGURE_REPRODUCTION.md,python scripts/consolidate_final_publication.py --base-dir .,supplementary material and application where applicable,1,067f639ce3e0210fe696830845de098234a44e3e4270ff595d587019124519b8,,,,,,,,,,,,,,0519621db0353bdc8b589efc9af514235222abdbfa8f3074c117af54f6756bb4,dfadf5c7b74ba8d13f876e5e122e60744902495d502a5e25734e5c36aecb0897,,2026-07-26T03:10:20.893877+00:00
