,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00002 | Glycolysis, core module involving three-carbon compounds",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
M00004 | Pentose phosphate pathway (Pentose phosphate cycle),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00005 | PRPP biosynthesis, ribose 5P => PRPP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00006 | Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00008 | Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
"M00009 | Citrate cycle (TCA cycle, Krebs cycle)",2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2
"M00010 | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00011 | Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,2,2
M00012 | Glyoxylate cycle,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00013 | Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M00014 | Glucuronate pathway (uronate pathway),0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"M00015 | Proline biosynthesis, glutamate => proline",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00016 | Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2
"M00017 | Methionine biosynthesis, apartate => homoserine => methionine",2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1
"M00018 | Threonine biosynthesis, aspartate => homoserine => threonine",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00019 | Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00020 | Serine biosynthesis, glycerate-3P => serine",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"M00021 | Cysteine biosynthesis, serine => cysteine",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"M00022 | Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
"M00023 | Tryptophan biosynthesis, chorismate => tryptophan",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,1,2,2
"M00024 | Phenylalanine biosynthesis, chorismate => phenylalanine",2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2
"M00025 | Tyrosine biosynthesis, chorismate => tyrosine",2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,1,0,2,1,2
"M00026 | Histidine biosynthesis, PRPP => histidine",2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2
M00027 | GABA (gamma-Aminobutyrate) shunt,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1
"M00028 | Ornithine biosynthesis, glutamate => ornithine",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
M00029 | Urea cycle,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"M00030 | Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00031 | Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"M00032 | Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00033 | Ectoine biosynthesis, aspartate => ectoine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00034 | Methionine salvage pathway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M00035 | Methionine degradation,2,2,2,2,1,2,2,2,2,2,0,1,2,2,2,2,1,2,2,1
"M00036 | Leucine degradation, leucine => acetoacetate + acetyl-CoA",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"M00037 | Melatonin biosynthesis, tryptophan => serotonin => melatonin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00038 | Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"M00039 | Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00040 | Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",2,0,1,0,0,1,0,1,2,1,2,2,0,0,0,1,1,0,1,0
"M00042 | Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00043 | Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00044 | Tyrosine degradation, tyrosine => homogentisate",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"M00045 | Histidine degradation, histidine => N-formiminoglutamate => glutamate",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00046 | Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",2,2,2,1,1,1,0,1,2,2,1,2,2,0,1,2,1,1,2,1
M00047 | Creatine pathway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"M00048 | Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00049 | Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00050 | Guanine ribonucleotide biosynthesis IMP => GDP,GTP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"M00051 | Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00052 | Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"M00053 | Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",2,2,1,2,2,2,2,1,2,1,1,2,2,0,2,2,0,1,0,1
M00055 | N-glycan precursor biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00056 | O-glycan biosynthesis, mucin type core",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00057 | Glycosaminoglycan biosynthesis, linkage tetrasaccharide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00058 | Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"M00059 | Glycosaminoglycan biosynthesis, heparan sulfate backbone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M00060 | KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0
"M00061 | D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,0,1,1,1
M00063 | CMP-KDO biosynthesis,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
M00064 | ADP-L-glycero-D-manno-heptose biosynthesis,2,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
