Module,Thermoplasmata RBG-16-68-12 - MAG01,Unclassified MAG - MAG02,Candidatus Aminicenantes  - MAG03,Acidobacteria bacterium U - MAG04,Candidatus Bathyarchaeota - MAG05,Candidatus Bathyarchaeota - MAG06,Candidatus Bathyarchaeota - MAG07,Trebonia kvetii - MAG08,Anaeromyxobacter sp. Red267 - MAG09,Candidatus Bathyarchaeota - MAG10,Nitrososphaeria archeon E - MAG11,Dehalococcoides mccartyi - MAG12,Nitrospirales bacterium L - MAG13,Spirochaetes bacterium RB - MAG14,Bacteroidota UBA6906 - MAG15,Candidatus Bathyarchaeota - MAG16,Thermoplasmata archaeon S - MAG17,Dehalococcoidia bacterium - MAG18,Euryarchaeota archaeon RB - MAG19,Candidatus Bathyarchaeota - MAG20,Candidatus Bathyarchaeota - MAG21,Candidatus Bathyarchaeota - MAG22,Candidatus Bathyarchaeota - MAG24,Nitrosotalea sp - MAG25,Burkholderiales bacterium - MAG26,Planctomycetes bacterium  - MAG27,Unclassified MAG - MAG28,Candidatus Aminicenantes  - MAG29,Anaerolineales bacterium - MAG30,Thermoflexales bacterium - MAG31,Lokiarchaeia archaeon - MAG32,Thermoflexales bacterium  - MAG33,Hydrococcus - MAG34,Acidobacteria bacterium U - MAG35,Candidatus Bathyarchaeota - MAG36,Euryarchaeota archaeon RB - MAG37,Candidatus Bathyarchaeota - MAG38,Lokiarchaeia archaeon - MAG39,Desulfobacterota bacteriu - MAG40,Dehalococcoidia bacterium - MAG41,Dehalococcoidia bacterium - MAG42,Acidobacteria bacterium U - MAG43,Anaerolineae bacterium UB - MAG44,Candidatus Aminicenantes  - MAG45,Candidatus Methanopereden - MAG46,Unclassified MAG - MAG47,Lokiarchaeia archaeon - MAG48
"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00002 | Glycolysis, core module involving three-carbon compounds",Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Complete,1 block missing,1 block missing,Complete,1 block missing,Incomplete,Complete,Complete,2 blocks missing,Complete,2 blocks missing,Incomplete,Complete,1 block missing,1 block missing,1 block missing,2 blocks missing,Incomplete,2 blocks missing,1 block missing,2 blocks missing,Incomplete,Incomplete,1 block missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,Complete,2 blocks missing,2 blocks missing,Complete,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,Complete,Incomplete,1 block missing,1 block missing,2 blocks missing,Incomplete
"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Complete,Complete,1 block missing,Incomplete,1 block missing,Complete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,2 blocks missing,2 blocks missing,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,2 blocks missing,Complete,Complete,Incomplete,2 blocks missing,1 block missing,2 blocks missing,Incomplete,1 block missing,Incomplete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Incomplete
M00004 | Pentose phosphate pathway (Pentose phosphate cycle),Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Complete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00005 | PRPP biosynthesis, ribose 5P => PRPP",Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,1 block missing,Complete,Complete,1 block missing,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,1 block missing
"M00006 | Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,Complete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,1 block missing,Complete,Complete,Complete,Incomplete,1 block missing,Complete,Complete,Incomplete,Incomplete,2 blocks missing,Incomplete,1 block missing,1 block missing,Complete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,1 block missing,1 block missing,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete
"M00008 | Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00009 | Citrate cycle (TCA cycle, Krebs cycle)",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete
"M00010 | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",Incomplete,2 blocks missing,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,Complete,Complete,Incomplete,2 blocks missing,Incomplete,Complete,Complete,Complete,Incomplete,1 block missing,2 blocks missing,1 block missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Complete,1 block missing,Incomplete,Complete,Complete,Complete,Complete,1 block missing,2 blocks missing,Incomplete,Complete,Incomplete,2 blocks missing,Complete,1 block missing,Complete,Incomplete,Incomplete,Incomplete
"M00011 | Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",2 blocks missing,Incomplete,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,1 block missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,2 blocks missing,1 block missing,2 blocks missing,1 block missing,1 block missing,Complete,2 blocks missing,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,1 block missing,2 blocks missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,2 blocks missing,Incomplete,Incomplete,2 blocks missing,2 blocks missing,1 block missing,Incomplete,Incomplete
M00012 | Glyoxylate cycle,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Complete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Complete,1 block missing,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete
"M00013 | Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
M00014 | Glucuronate pathway (uronate pathway),Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00015 | Proline biosynthesis, glutamate => proline",Incomplete,2 blocks missing,Incomplete,2 blocks missing,2 blocks missing,Incomplete,2 blocks missing,Complete,Complete,2 blocks missing,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,2 blocks missing,Incomplete,2 blocks missing,Incomplete,Complete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Complete,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Complete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete
"M00016 | Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,2 blocks missing,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00017 | Methionine biosynthesis, apartate => homoserine => methionine",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00018 | Threonine biosynthesis, aspartate => homoserine => threonine",Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Complete,1 block missing,Incomplete,2 blocks missing,1 block missing,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,1 block missing,Complete,2 blocks missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,2 blocks missing,Incomplete,Incomplete,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete
"M00019 | Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",Incomplete,1 block missing,Incomplete,2 blocks missing,Incomplete,Incomplete,Incomplete,Complete,2 blocks missing,2 blocks missing,1 block missing,Complete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,2 blocks missing,Complete,Complete,Complete,Incomplete,Incomplete,2 blocks missing,Incomplete,Complete,1 block missing,Incomplete,Incomplete,2 blocks missing,Incomplete,Incomplete,2 blocks missing,Incomplete
