,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Methanoregula,0.0,0.0,0.0,1.1046705714545841,2.464194133466758,6.027554535017222,1.9504351777412703,2.668081558402183,11.01666099965998,1.5638040852185373,0.0,1.3400188303299687,2.5439566726419773,0.0,2.217125382262997,1.3430127041742286,0.0,0.0,0.0,1.122026389290186
Methanoculleus,0.0,0.0,0.0,1.15322751965039,1.1726812183376072,1.9763818271280957,0.0,0.0,2.1647965544599344,1.5066988798594334,0.0,0.0,1.5484953659559861,0.0,1.529051987767584,1.1459683691988591,0.0,0.0,0.0,1.3916979678320331
Methanothrix,0.0,0.0,0.0,0.0,1.2633685658890488,1.771362965392816,1.7372155615365794,1.5993329796103997,2.4821489289357364,0.0,0.0,0.0,1.6934284297646744,0.0,2.025993883792049,0.0,0.0,0.0,0.0,0.0
Candidatus Nitrosotalea,7.069974620603927,3.4577561594586017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0575942915392456,0.0,0.0,0.0,0.0,0.0
Candidatus Methanoperedens,3.7654736624022376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9442312611921209,1.1485005687019723,0.0,0.0
Methanofollis,0.0,0.0,0.0,0.0,0.0,1.3367229785140233,0.0,0.0,1.5640938456307378,1.0806061937184273,0.0,0.0,1.025973530645715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methanolinea,0.0,0.0,0.0,0.0,0.0,1.3285222240446122,0.0,0.0,1.5300918055083303,1.0015374478365913,0.0,0.0,1.003089362675922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Bilamarchaeum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46077272207178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methanobacterium,0.0,0.0,0.0,1.1592971381748658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unclassified,84.81897757290102,90.1871629480808,94.67665615141956,88.48593365906953,87.93545562574269,80.89224208627193,88.32185675836274,87.85719699840826,72.92304204918962,89.19833077092028,94.25442291491154,90.45565019377723,84.8735649719669,92.31822644824557,85.33384301732926,90.13741249675914,92.46610386288053,92.90648320248565,92.07589285714286,88.78936723490321
Other taxa (<1%),4.345574144092823,6.355080892460628,5.3233438485804605,8.09687111165062,7.164300456563909,6.66721338363129,7.990492502359416,7.8753884635791795,8.319165816615675,5.649022622446738,5.74557708508845,8.204330975892777,5.850718944277056,7.68177355175442,7.836391437308888,7.373606429867778,5.589664875927365,5.94501622881239,7.924107142857154,8.696908407974568
