taxon,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Pseudomonadota,27.67019803429292,34.39664401669253,26.67968950804503,41.57876941093032,32.82432798259422,40.11977235320946,33.99757509386733,35.38882720067389,44.78396516143709,39.38905533012249,30.171474145952416,42.65497326203209,44.408977943460705,33.07352145833996,46.722384113107765,44.82002045597017,50.19147621988882,32.95992033856112,34.02484515765766,30.05203550658096
Chloroflexota,9.74691239881562,10.501285440654883,27.32483421580219,15.781096660866408,22.46909371647433,19.578020583394476,23.723990926157697,22.242217712600986,8.51708617019548,19.337100383025522,23.3045327661837,14.530909090909091,14.082789686237962,20.14761556326154,9.274324105552857,11.507308060312118,9.561457689932057,12.457057505601195,21.787021396396398,25.407611468217528
Acidobacteriota,32.135257759814465,24.401523593116156,5.346219092170874,9.148186938701457,6.525161173887324,7.769339070772769,6.25,6.991614657119884,9.06143871565298,9.112973567446621,5.7344144623155655,4.675080213903744,5.831003417210314,6.866986924569719,9.625762236252767,9.268699066283942,10.883261272390364,21.54509999170193,11.834881756756758,7.562493623099684
Unclassified,3.915089560136451,4.901425273292694,9.397008173546496,5.275484706289842,7.696241114130162,5.26879374962819,6.144399249061327,6.091817590075429,4.3686322939178766,5.726421176381357,8.786388408879436,6.572834224598931,5.611991301646474,7.306015970476887,4.371728455021316,5.435679171203273,7.831995058678197,7.307277404364783,6.6441441441441444,6.936026936026936
Candidatus Aminicenantes,0.24205442284093084,2.4652785364183907,7.294504703644682,3.804253704879638,4.054663765703801,2.143607844692538,3.433002190237797,3.4785771719569625,1.161014608147414,2.2242026622169973,8.323806991891534,4.5458823529411765,2.767940354147251,6.615658702637356,1.8873779072904864,2.119832393018575,0.8523780111179741,2.2487760351838024,2.1044481981981984,4.654627078869503
Nitrospirota,2.0636546840345407,2.913908249397336,1.228602272143114,2.2794184349202946,1.9050101767648917,3.0359515358226417,1.8157462453066333,2.477313627139411,5.9212557482003865,2.11612120292768,2.153396251495414,6.8551871657754,6.707828518173346,2.0519835841313268,7.019318979008149,6.451054142333961,1.6924027177269918,1.5119077254999587,1.3531109234234233,1.2386491174369962
Planctomycetota,1.320603897639125,1.7843227220753495,4.20500693980363,2.736291739169876,3.507223999117679,3.19657340022606,3.9580725907384227,3.4192288547689245,2.8403828342080892,3.86249004512875,3.3842881829057556,2.9193582887700535,3.1321839080459766,4.17554799096491,2.5275214505423347,2.560295621762513,2.112415071031501,2.776533067795204,3.4575591216216215,3.620038771553923
Bacillota,1.1855037546581404,2.010094168542026,4.032796997892356,2.5655827608672346,2.743214654541444,2.6750480874100218,2.7377972465581975,2.6266416510318953,1.7118668854909733,2.772194622473359,3.5650671274757415,2.82524064171123,2.1435228331780056,3.4947348328190118,1.6290270357778858,2.0926127552872082,3.0018529956763436,2.537548751140984,2.8364301801801806,3.0833588409345984
Actinomycetota,6.03616180493791,3.7463494213696316,1.8197707294504701,3.9799107695098925,1.617253376379879,2.056356461559817,1.8734355444305382,1.9929547804112264,2.7258250597162865,1.767226667677955,1.924764056892197,1.7694117647058822,2.148959304131718,1.7529348137307925,2.7669850520749018,2.0950872678082417,1.6924027177269918,1.546759605012032,2.0393440315315314,2.875216814610754
Verrucomicrobiota,1.5559033133310065,1.9671247642144976,1.591014239448928,1.7409017062651018,2.7873306796875785,2.6433203117253963,3.186600438047559,3.0401654095033885,3.9282754586373314,2.385376768174751,1.5897913066595775,1.7163636363636363,2.2615719167443307,2.206280024178411,2.471534185958664,2.292223431983899,0.9141445336627548,1.4886731391585761,1.8493102477477479,2.0487705336190185
