taxon,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Candidatus Bathyarchaeota,9.162479929559227,50.78777625039653,74.03259726603575,51.877029528694116,42.32910125711427,48.06462194521896,52.605823342304866,48.43477601758509,23.40473761759039,57.97496156380409,67.77871384442572,58.796610540605634,40.97028872191922,60.25786781044907,27.280835881753312,40.48224008296604,38.24507546687132,60.04660582017921,57.83482142857142,55.797938938649715
Methanobacteriota,42.269643134614384,24.715378379331007,9.931650893796004,25.17374283026312,26.474451185189817,28.89945875020502,19.186270054877834,21.238535587053743,41.788507310438625,17.118383483417528,14.700926705981466,17.352368023472227,27.994965483046645,21.024753242726472,42.928134556574925,34.799066632097485,42.082374008697876,19.87405331927761,21.93877551020408,25.82586920928441
Unclassified,22.535867819961673,7.807267984914174,6.309148264984227,8.764529149342964,11.23584964663206,9.111038215515828,10.126184067950645,11.013416205563557,14.3488609316559,9.31254118163848,8.89076102218478,8.495544218431828,9.275716083756055,7.079737481267117,9.722222222222223,9.54627949183303,13.788692760296751,11.976031292479263,10.644132653061225,6.399884426466339
Thermoplasmatota,0.8701507225358679,1.75531352437348,1.2592008412197688,4.515796182209948,8.61842516730252,5.330490405117271,5.798874480058723,7.8678086864246195,9.803921568627452,7.182077750933451,1.4349901713001967,5.944691379650107,10.17582669056791,3.2633972404526896,9.607543323139653,5.885403163080114,1.4837554361729342,1.5673981191222568,1.9228316326530615,2.5859578156602137
Nitrososphaerota,22.313150670741184,9.143139120933347,1.4353312302839116,0.943825680555977,1.0350866220526613,0.7216663933081844,0.9857037995036526,0.750397938300614,0.9973931769239488,0.8521853722820119,1.2552653748946925,1.1079240655996148,0.7628055989930966,0.9844452483075811,2.3190621814475025,1.2081928960331865,0.7546687132258889,1.2983049907065776,1.1192602040816326,0.8427236829432727
Candidatus Thorarchaeota,0.18646086911482881,1.194882097916887,1.0541535226077812,1.5325786774301235,1.9857401963850145,0.8692799737575857,2.5166905519242198,1.4249981050557115,1.337413578148022,1.3222051394684824,1.0643077787138444,1.1101136388517878,1.6324039818452267,1.6898351506382099,1.325178389398573,2.4526834327197307,0.588385776413405,0.6907648347990124,1.2372448979591837,2.470384281999422
Thermoproteota,0.8753301911223909,1.3499700398294032,2.1083070452155623,1.477952110709842,1.2633685658890488,0.9430867639822864,1.4191338390017127,1.0763283559463352,0.7820469228153689,1.0542499450911487,1.5922493681550125,1.372862429112566,1.0564857546054387,1.4831274869515787,0.8282364933741081,1.1200414830178895,0.9721156305960604,1.406497073265459,1.4572704081632653,1.5987672156409516
Candidatus Micrarchaeota,0.7095871963536542,0.3489478693031617,0.37066246056782337,0.5280568116293891,0.7442616799049346,1.4761358044940134,0.9682267817819566,2.887895095884181,1.4167516717669728,1.4583790907094223,0.5335579893288402,1.4385496266777604,2.2388344330447385,0.6976383649423802,0.7390417940876657,0.5963183821623024,0.20465592223074958,0.5437345687574555,0.7238520408163265,0.6838100741596841
Candidatus Lokiarchaeota,0.1346661832495986,0.821261146945825,0.7097791798107256,1.896755788898668,1.379073112765026,0.8036739380022963,1.8141144395120417,0.9019934813916471,0.8613850164343194,0.5490885130683066,0.5195169896096602,0.8254691160692782,1.2891414622983333,0.8707560332799338,1.2996941896024465,1.1978221415607986,0.38372985418265537,0.45773573390296,0.545280612244898,0.8956948858711354
Candidatus Verstraetearchaeota,0.10876884031698349,0.28550280215713225,0.6282860147213459,0.4794998634335832,1.9294514979048094,1.1809086435952107,1.4366108567234086,0.9398923671644053,1.2694094979032076,0.7160114210410717,0.3875315922493682,1.272142059512601,1.7277546817193636,0.4754276264792517,0.3950050968399592,0.3629764065335753,0.31977487848554614,0.3800593669376092,0.42091836734693877,0.5586054126938265
Candidatus Aenigmarchaeota,0.15020458900916767,0.27140389834690354,0.39957939011566773,0.5826833783496708,0.8787291262743135,0.885681482696408,0.9227865357055473,1.455317213673918,0.6007027088291964,0.601801010322864,0.30609379387812413,0.5364454467824221,0.6865250390937869,0.5787814583225673,1.019367991845056,0.5600207415089448,0.07674597083653108,0.34399533941798205,0.5102040816326531,0.49118751805836464
Candidatus Woesearchaeota,0.15020458900916767,0.19385992739064536,0.14458464773922186,0.6282055172832387,0.7505159797360685,0.5248482860423158,0.6676220769687861,0.704919275373304,2.0061203672220334,0.4788051833955633,0.17972479640550407,0.40726062490420617,0.8314581029024752,0.328148416102527,1.1085626911314985,0.5185377236193933,0.10232796111537479,0.11928870641107443,0.3125,0.33227390927477607
Candidatus Korarchaeota,0.10876884031698349,0.260829720489232,0.5967402733964248,0.34900306515735485,0.31896929138782915,0.2378218796129244,0.31808172253486666,0.219813537481998,0.22668026748271564,0.3338458159455304,0.4408873911822522,0.39193361213899414,0.3852168274915138,0.31264534132602967,0.2930682976554536,0.30593725693544205,0.38372985418265537,0.41889755042028465,0.42091836734693877,0.31782721756717713
Candidatus Heimdallarchaeota,0.0673330916247993,0.32427478763526135,0.3075709779179811,0.36114230220630633,0.2970792419788605,0.28702640642939153,0.32856793316788424,0.22739331463654966,0.13600816048962938,0.18888644849549746,0.2723953945520921,0.24961135074773924,0.22121362370799802,0.2945584207534494,0.3312945973496432,0.2644542390458906,0.2174469173701714,0.26909312841567956,0.232780612244898,0.3900606761051719
Other taxa,0.3573833324700885,0.7401924500370096,0.7124079915878024,0.8891991138356954,0.7598974294827694,0.6642611120223061,0.9053095179838512,0.856514818464337,1.0200612036722203,0.8565780803865581,0.6430777871384443,0.6984738674432354,0.7513635150082002,0.6588806780011368,0.8027522935779816,0.700025926886181,0.3965208493220772,0.6075401559075652,0.6792091836734693,0.8090147356255417
