__genus__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,74.86743298469992,76.95820315060412,86.09726006271526,78.92115224436948,84.48519606565267,78.10981776358841,81.16786608260325,81.00088065244859,66.77987033034888,82.31635632750579,85.98697328193539,78.66695187165776,77.34001242621932,85.41978175802501,72.86371485618693,76.76927645253885,87.16491661519457,85.9613310098747,86.13809121621621,84.83420059177635
Anaeromyxobacter,0.6721232113303987,1.0349071788037025,0.04883565516886855,2.4517767753321404,1.0668056989883392,4.7512344087727305,2.0113031914893615,3.189493433395872,4.741554410880551,2.0383783988774695,0.1409012362089592,4.371336898395722,4.920006213109661,0.34517863391976583,6.566024499487345,5.31525289517965,0.1358863495985176,0.09459795867562858,0.12844876126126129,0.37547189062340575
Bradyrhizobium,1.2237821285027528,0.6132243804030385,0.06168714337120238,0.7314920954320916,0.156411361881749,0.23795831763469433,0.18186795994993743,0.16655818049546273,1.0464568336556117,0.18203193143463914,0.08507244450352253,0.19336898395721924,0.28813296054675364,0.12248274106830401,0.6239544546975339,0.3274604902834142,0.1358863495985176,0.18089785080076343,0.12492961711711711,0.12855831037649218
Mycobacterium,0.3366245229276201,0.1857152220935568,0.1285148820233383,1.7978046990326493,0.05313975756238909,0.12096214479763627,0.06551157697121403,0.08997970670444538,0.45660616499569395,0.09670446357465205,0.07709690283131729,0.10695187165775401,0.2096924510717614,0.10180383673209684,0.43575630025362905,0.20373486423174636,0.04941321803582458,0.06472491909385113,0.39238457207207206,0.8937863483318029
Candidatus Sulfotelmatobacter,1.0717944676491449,1.9358080797046036,0.06425744101166915,0.40491839780964717,0.08823205029226867,0.08923436911301037,0.07822277847309136,0.06126277903281388,0.21286621926845517,0.12893928476620276,0.0505117639239665,0.05903743315508022,0.056694625660142904,0.07317150765119461,0.21180724191894665,0.14517140123395691,0.12353304508956146,0.23732470334412084,0.17771677927927929,0.14284256708499132
Syntrophorhabdus,0.03771545658219155,0.10851595330172532,0.1593584537089395,0.2449302732168334,0.26770406168222427,0.2895159531222114,0.2160904255319149,0.3005705096297431,0.24780227815602607,0.24081307596040807,0.1648278612255749,0.2549732620320856,0.24619447033240138,0.2051983584131327,0.22192542226539314,0.2103335642878353,0.420012353304509,0.21409011700273833,0.22346565315315317,0.22446689113355783
Candidatus Sulfopaludibacter,0.8967271990362856,0.4529994829105581,0.24674857348480952,0.12287747713571776,0.11329797367075407,0.18441769616688808,0.17306789737171466,0.16081479496113643,0.2364277473554216,0.24650157381774052,0.2047055695866011,0.07871657754010696,0.09552656104380242,0.13679890560875513,0.13086179914737467,0.16414266389521265,0.16059295861642991,0.23400547672392333,0.21818693693693691,0.19385776961534537
Nitrospira,0.3433795300766693,0.38162657402754413,0.06682773865213591,0.13029960662713697,0.18348255913051326,0.13087707469908186,0.10755632040050063,0.12061109622085232,0.43223217042297,0.11756228905153779,0.07177987504984713,0.12406417112299464,0.1700838769804287,0.10339452168103586,0.6239544546975339,0.46108416641921546,0.12353304508956146,0.12944983818770225,0.08621903153153153,0.08978675645342313
Geobacter,0.05798047802933925,0.11288572323333844,0.13108517966380506,0.15091663299219027,0.1975194762224651,0.22804338773324873,0.2229349186483104,0.17995941340889077,0.249427211127541,0.21616291857863398,0.1515352917718995,0.3148663101604278,0.32774153463808636,0.15429644004708426,0.29005450326479953,0.263948002243558,0.22235948116121063,0.13608829142809725,0.1513231981981982,0.16324864809713294
Clostridium,0.05291422266755232,0.4712068576256127,0.21590500179920835,0.3463660429328957,0.14137180785465775,0.216145471851514,0.12711201501877345,0.16272925680591185,0.07555938317544401,0.19530509310174826,0.18343745846072046,0.40213903743315504,0.10096303199751476,0.2306493175961569,0.06880362635583617,0.23012966445610214,0.17294626312538602,0.12447099825740601,0.14780405405405406,0.19997959391898787
Desulfobacca,0.025894194071355393,0.21266213667183756,0.13365547730427182,0.13772173611855615,0.11329797367075407,0.23002637371353787,0.19164580725907382,0.22973542137305203,0.21530361872572756,0.12893928476620276,0.38814302804732154,0.17711229946524065,0.10251630941286113,0.1813380841790475,0.09443634990016729,0.0965059883203009,0.11117974058060531,0.37341299477221807,0.3607122747747748,0.09794918885827977
