OTU,Metabolism,log2FoldChange,Comparasion,Tools,Tools.2,abs_lfc,comparison_full,comparison_short,season,Tools.1,display_label
K00392: sir,Sulfur metabolism: Assimilatory sulfate reduction,-5.24743743077244,VIDvsAMD,DESEq2,NT,5.24743743077244,Violão (dry) vs Amendoim (dry),VI.D vs AM.D,Dry,,K00392: sir — Sulfur metabolism: | Assimilatory sulfate reduction
K15876: nrfH,Nitrogen: Dissimilatory nitrate reduction,-4.53595043518695,TIADvsTID,DESEq2,NT,4.53595043518695,Três Irmãs Adjacent (dry) vs Três Irmãs (dry),TIA.D vs TI.D,Dry,,K15876: nrfH — Nitrogen: Dissimilatory | nitrate reduction
K01965: pccA,Carbon Fixation: 3-Hydroxypropionate bi-cycle,-4.31921019957745,VIDvsTID,DESEq2,NT,4.31921019957745,Violão (dry) vs Três Irmãs (dry),VI.D vs TI.D,Dry,,K01965: pccA — Carbon Fixation: | 3-Hydroxypropionate bi-cycle
K00185: dmsC,Anaerobic oxidative phosphorylation,-4.00566719161739,AMDvsVID,DESEq2,NT,4.00566719161739,Amendoim (dry) vs Violão (dry),AM.D vs VI.D,Dry,,K00185: dmsC — Anaerobic oxidative | phosphorylation
K02567: napA,Nitrogen: Dissimilatory nitrate reduction - Denitrification - Nitrification,-3.85684781899721,VIDvsTID,DESEq2,NT,3.85684781899721,Violão (dry) vs Três Irmãs (dry),VI.D vs TI.D,Dry,,K02567: napA — Nitrogen: Dissimilatory | nitrate reduction - Denitrification - | Nitrification
K10946: pmoC-amoC,Nitrification - Methane oxidation - Methanotrophs,3.3873666167279,TIDvsTIAD,Aldex2,NT,3.3873666167279,Três Irmãs (dry) vs Três Irmãs Adjacent (dry),TI.D vs TIA.D,Dry,,K10946: pmoC-amoC — Nitrification - Methane | oxidation - Methanotrophs
K00185: dmsC,Anaerobic oxidative phosphorylation,3.43028480497467,TIDvsAMD,Aldex2,NT,3.43028480497467,Três Irmãs (dry) vs Amendoim (dry),TI.D vs AM.D,Dry,,K00185: dmsC — Anaerobic oxidative | phosphorylation
K00583: mtrG,Methanogenesis,3.78706784506778,VIDvsTID,Aldex2,NT,3.78706784506778,Violão (dry) vs Três Irmãs (dry),VI.D vs TI.D,Dry,,K00583: mtrG — Methanogenesis
K05301: E1.8.2.1,Sulfur metabolism: Sulfite oxydation,3.83711976337396,TIDvsTIAD,Aldex2,NT,3.83711976337396,Três Irmãs (dry) vs Três Irmãs Adjacent (dry),TI.D vs TIA.D,Dry,,K05301: E1.8.2.1 — Sulfur metabolism: | Sulfite oxydation
K02567: napA,Nitrogen: Dissimilatory nitrate reduction - Denitrification - Nitrification,3.85684781899721,TIDvsVID,DESEq2,Aldex2,3.85684781899721,Três Irmãs (dry) vs Violão (dry),TI.D vs VI.D,Dry,,K02567: napA — Nitrogen: Dissimilatory | nitrate reduction - Denitrification - | Nitrification
K19745: acuI,Carbon Fixation: 3-Hydroxypropionate bi-cycle,3.99310916940499,TIDvsVID,DESEq2,NT,3.99310916940499,Três Irmãs (dry) vs Violão (dry),TI.D vs VI.D,Dry,,K19745: acuI — Carbon Fixation: | 3-Hydroxypropionate bi-cycle
K00185: dmsC,Anaerobic oxidative phosphorylation,4.00566719161739,VIDvsAMD,DESEq2,NT,4.00566719161739,Violão (dry) vs Amendoim (dry),VI.D vs AM.D,Dry,,K00185: dmsC — Anaerobic oxidative | phosphorylation
K01965: pccA,Carbon Fixation: 3-Hydroxypropionate bi-cycle,4.31921019957745,TIDvsVID,DESEq2,NT,4.31921019957745,Três Irmãs (dry) vs Violão (dry),TI.D vs VI.D,Dry,,K01965: pccA — Carbon Fixation: | 3-Hydroxypropionate bi-cycle
K00380: cysJ,Sulfur metabolism: Assimilatory sulfate reduction,4.34300984105335,TIDvsTIAD,Aldex2,NT,4.34300984105335,Três Irmãs (dry) vs Três Irmãs Adjacent (dry),TI.D vs TIA.D,Dry,,K00380: cysJ — Sulfur metabolism: | Assimilatory sulfate reduction
K15876: nrfH,Nitrogen: Dissimilatory nitrate reduction,4.53595043518695,TIDvsTIAD,DESEq2,Aldex2,4.53595043518695,Três Irmãs (dry) vs Três Irmãs Adjacent (dry),TI.D vs TIA.D,Dry,,K15876: nrfH — Nitrogen: Dissimilatory | nitrate reduction
K00392: sir,Sulfur metabolism: Assimilatory sulfate reduction,5.24743743077244,AMDvsVID,DESEq2,NT,5.24743743077244,Amendoim (dry) vs Violão (dry),AM.D vs VI.D,Dry,,K00392: sir — Sulfur metabolism: | Assimilatory sulfate reduction
K00376: nosZ,Nitrogen: Denitrification,-4.83648982955894,TIARvsAMR,DESEq2,,4.83648982955894,Três Irmãs Adjacent (rainy) vs Amendoim (rainy),TIA.R vs AM.R,Rainy,NT,K00376: nosZ — Nitrogen: Denitrification
