Genus,RDA1,RDA2,Vector_strength,Mean_relative_abundance_percent,Selection_score
Unclassified,0.8789133812297772,0.323202654009175,0.9364553845556841,176.89078218207686,4.851934337585228
Methanoregula,-0.9597586583387874,-0.03206627776045691,0.9602941884785516,3.9593551295358496,1.5376957662219066
Methanoculleus,-0.7648910008675357,-0.14479800846677326,0.7784758868867322,2.1274915498478633,0.8876425425273604
Methanothrix,-0.7428276988294946,-0.16923432929924753,0.7618616989727784,1.8217201450014886,0.790314703655846
Methanofollis,-0.7808899241090639,3.35543776054393e-05,0.7808899248299698,1.4183072979696525,0.689578772779122
Methanolinea,-0.7860163186955216,0.0161024047429321,0.7861812390881412,1.4023011406209283,0.6890305328999177
Candidatus Nitrosotalea,0.27335984869605234,-0.41477276263134844,0.4967514987395303,1.2494194236284706,0.40270260499069127
Candidatus Methanoperedens,0.6063207333769401,0.09110056026444244,0.6131265316419163,1.168642151103011,0.47462200528077253
Methanocella,-0.3335689113523508,-0.02211038048538624,0.33430089372599797,0.8678612462958807,0.20886921190484622
Methanobacterium,-0.00888416722346741,-0.4574065019535159,0.45749277202662586,0.691880735747942,0.24056835222244263
Methanosarcina,-0.8529415745653858,-0.2666692181884413,0.8936564225424187,0.5741122334581702,0.4054442799899902
Candidatus Methanosuratincola,-0.7717878410434683,0.20048624398785106,0.7974027875615272,0.5170189565236906,0.332315376076954
Candidatus Bilamarchaeum,-0.5102387595850084,0.09942340365256913,0.5198351709693273,0.41560511559781627,0.18067239577404226
Methanosphaerula,-0.853728518347919,0.029801327125402483,0.8542485013969695,0.4139571296875298,0.29590505921737664
Methanocalculus,-0.5574398077794891,-0.028229469724372208,0.558154138440407,0.3743575801666711,0.17748542932264572
Methanospirillum,-0.826899639395588,-0.21363086783944663,0.8540498588059063,0.3459811730496437,0.2537580644081771
Methanomassiliicoccus,-0.7251964500238931,-0.297427876158769,0.7838196429304212,0.25668774987927867,0.17908671206754964
Thermococcus,-0.20462903118785597,-0.4294308046941716,0.4756930275137153,0.23368731262061507,0.09989910349244627
Other genera,-0.47262386470033574,-0.7522063057955993,0.8883623382173199,5.2708317471886685,1.6309524127945825
