Genus,RDA1,RDA2,Vector_strength,Mean_relative_abundance_percent,Selection_score
Unclassified,0.77319267486707,0.29376284580011663,0.8271175986766801,161.18492857441615,4.208984108534639
Anaeromyxobacter,-0.8678311147483325,0.1329901311350813,0.8779619688259052,4.439951769949935,1.487065815150076
Bradyrhizobium,-0.45914923575870187,-0.5841546393529522,0.7430038111445847,0.6812214535710817,0.3860057745749818
Mycobacterium,0.00664226064114139,-0.915174257025964,0.9151983612034333,0.5866908424995051,0.4225018875124668
Candidatus Sulfotelmatobacter,0.05546076249047842,-0.5217738924123934,0.5247131511399395,0.5413346935462149,0.22701647593250454
Syntrophorhabdus,0.17074602088040333,0.533763408126097,0.5604084042025758,0.44985043940426,0.20816953328040474
Candidatus Sulfopaludibacter,0.10056990808027205,-0.4493755363838295,0.46049177963512966,0.44512756346255145,0.16955196664504227
Nitrospira,-0.5415940545349215,-0.27758789556717145,0.6085878405563049,0.39978046965222164,0.20467747333788663
Geobacter,-0.46626854134772316,0.5066676649926349,0.6885626154531064,0.3922377040648258,0.22785384686285812
Clostridium,-0.022094526988278726,-0.2897759311377667,0.29061703045347403,0.38659381984886376,0.09498824919232123
Desulfobacca,0.5452389397589706,0.4850507502694645,0.7297669023506457,0.36021882819851864,0.22450956915702522
Paenibacillus,0.19028920003677072,0.19501082132462064,0.27246871395508376,0.34213541301186473,0.0801771716336943
Streptomyces,0.01722573317458358,-0.34737193555888063,0.34779877443332813,0.32854510714373764,0.09880421974772376
Syntrophus,-0.23655264028591172,0.38616439183015216,0.45285769193399733,0.32295032494180265,0.12673871777312382
Pseudomonas,-0.7230127286405437,-0.0021797350891639283,0.7230160143601961,0.2675384572924454,0.1714103209235441
Thermodesulfovibrio,-0.4441735889823822,0.04806806184120837,0.4467669590722443,0.22354215813938055,0.09013526093593903
Syntrophobacter,0.18106044709106064,0.6158340821702802,0.6418991371417524,0.20260129431230772,0.11842201779613155
Bacillus,0.3918792264738416,-0.07995748879760733,0.39995315745291465,0.19347554026501604,0.07073958395980942
Other genera,-0.6822200605508838,-0.288480290363451,0.7407058045852163,28.251275546279324,2.500565896109262
