Site,Lake,Latitude,Longitude
AM.P1,Amendoim,-6.398361111111112,-50.37155555555555
AM.P2,Amendoim,-6.400833333333334,-50.37188888888889
V1.P1,Violão,-6.4006944444444445,-50.35186111111111
V2.P2,Violão,-6.397861111111111,-50.35388888888889
TIA.P1,Três Irmãs - Adjacent,-6.3476944444444445,-50.44786111111111
TIA.P2,Três Irmãs - Adjacent,-6.346583333333333,-50.44672222222222
TI.P1,Três Irmãs Lake 2,-6.352666666666666,-50.45052777777778
TI.P2,Três Irmãs Lake 3,-6.353527777777777,-50.44430555555555
TI.P3,Três Irmãs Lake 4,-6.355388888888888,-50.445611111111106
TI.P4,Três Irmãs Lake 5,-6.356527777777777,-50.44822222222222
