,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
K00125: fdhB | Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),-1.5151326618590673,-0.4580633628876249,-0.10570692989714407,1.7735273793854203,0.5990059360838176,-0.4580633628876249,0.24664950309333675,0.011745214433016194,0.12919735876317648,-1.1627762288685866,0.12919735876317648,0.8339102247441381,2.478240245366382,0.364101647423497,0.364101647423497,-0.3406112185574646,-2.219845527840029,-0.10570692989714407,-0.22315907422730435,-0.3406112185574646
K00169: porA | Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,-0.5919520409656431,-0.6283798588712212,0.6830215857295883,1.1201554005965246,1.1201554005965246,-0.6648076767767992,1.375150125935571,-1.0655136737381576,-1.247652763266048,0.42802686039054194,-0.22767386190986275,1.8122839408025075,0.6830215857295883,0.5737381320128542,-0.7740911304935333,-0.15481822609870666,-2.4861985720557014,0.06374868133476157,0.24588777086265176,-0.2641016798154408
K00170: porB | Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,-0.686340144328521,-0.27901661653711374,0.942953966837108,0.657827497383123,0.9836863196162486,-0.8900019082242245,1.228080436291093,-0.8492695554450839,-1.0529313193407874,-0.15681955819969154,0.20977161681257495,1.676136316861641,0.41343338070827856,1.228080436291093,-1.0936636721199282,-0.31974896931625446,-2.4785636666107127,0.942953966837108,-0.11608720542055083,-0.3604813220953952
K00171: porD | Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,-0.6101569715042566,0.3583461578675792,0.7457474096163136,1.617400226050966,1.1331486613650479,-1.0944085361901745,0.64889709667913,-1.0944085361901745,-0.8038575973786238,0.06779521905602844,-0.12590540681833873,2.4890530424856183,0.3583461578675792,0.06779521905602844,-0.997558223252991,-0.7070072844414402,-1.7723607267504597,-0.12590540681833873,0.4551964708047628,-0.6101569715042566
K00172: porC | Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,-1.3844114811466157,0.14171141145595303,0.5777465236281155,1.5951617853631614,0.8684365984095572,-0.8757038502790928,0.7230915610188363,-0.730358812888372,-0.5850137754976512,-0.5123412568022907,-0.4396687381069303,2.103869416230684,1.013781635800278,0.7230915610188363,-0.8030313315837324,-0.4396687381069303,-2.1111366681002197,0.14171141145595303,0.5050740049327551,-0.5123412568022907
K00184: dmsB | Anaerobic oxidative phosphorylation,-0.7337993857053429,0.8386278693775348,-0.7337993857053429,0.8386278693775348,1.362770287738494,-0.7337993857053429,1.362770287738494,-0.7337993857053429,-1.257941804066302,-0.7337993857053429,-1.257941804066302,-0.20965696734438363,0.31448545101657555,0.8386278693775348,2.4110551244604124,0.31448545101657555,-0.7337993857053429,0.31448545101657555,-0.20965696734438363,-1.257941804066302
K00185: dmsC | Anaerobic oxidative phosphorylation,-1.4320780207890624,-0.56415194758357,-1.4320780207890624,-0.56415194758357,1.171700198827415,-0.56415194758357,-0.56415194758357,1.171700198827415,0.30377412562192246,-0.56415194758357,-0.56415194758357,-0.56415194758357,1.171700198827415,1.171700198827415,0.30377412562192246,1.171700198827415,-1.4320780207890624,0.30377412562192246,2.0396262720329075,-0.56415194758357
K00189: porG | Carbon Fixation: Arnon-Buchanan cycle,0.25840283834906125,-1.3317684745682379,-0.9342256463389131,2.64365980772501,1.4510313230370357,-0.5366828181095883,1.0534884948077108,-0.9342256463389131,-0.9342256463389131,-0.5366828181095883,1.0534884948077108,1.0534884948077108,-0.5366828181095883,0.25840283834906125,-0.5366828181095883,-0.13913998988026355,-1.3317684745682379,-0.13913998988026355,0.25840283834906125,-0.13913998988026355
K00192: cdhA | Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),-1.746974165776829,-0.10451982188408368,0.90334988914101,1.0153354125882426,0.15677973282612578,-1.1870465485406658,0.23143674845761422,-0.9630755016462005,-1.2990320719878985,0.23143674845761422,0.7167073500622889,1.7619055689031269,0.7167073500622889,1.3512919829299406,-1.4483461032508753,-0.06719131406833947,-1.4483461032508753,0.4554077953520795,0.7540358578780332,-0.029862806252595263
K00193: cdhC | Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),-1.742980751416262,-0.25070271082014745,1.5997220595190347,1.002810843280589,0.8834286000328997,-1.1460695351778163,0.8237374784090551,-0.9669961703062825,-1.0863784135539716,-0.19101158919630284,0.5252818702898322,1.3609575730236565,0.0477528972990755,1.2415753297759673,-1.504216264920884,-0.4297760756916812,-1.32514290004935,0.40589962704214305,0.5849729919136768,0.16713514054676468
