KEGG module,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
"M00175 | Nitrogen fixation, nitrogen -> ammonia",1 block missing,Complete,1 block missing,1 block missing,Complete,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00530 | Dissimilatory nitrate reduction, nitrate -> ammonia",Complete,Complete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete
"M00531 | Assimilatory nitrate reduction, nitrate -> ammonia",Complete,1 block missing,1 block missing,Complete,Complete,Incomplete,Complete,Incomplete,Complete,1 block missing,Incomplete,Complete,1 block missing,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,1 block missing
M00165 | Reductive pentose phosphate cycle (Calvin cycle),Complete,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,Complete,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
"M00166 | Reductive pentose phosphate cycle, ribulose-5P -> glyceraldehyde-3P",Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
"M00422 | Acetyl-CoA pathway, CO2 -> acetyl-CoA",Complete,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Complete,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,Complete
"M00579 | Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA -> acetate",Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
M00378 | F420 biosynthesis,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,1 block missing,Complete,Incomplete,Incomplete,1 block missing,Complete,1 block missing,Complete
"M00021 | Cysteine biosynthesis, serine -> cysteine",Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Complete
"M00176 | Assimilatory sulfate reduction, sulfate -> H2S",Complete,Complete,1 block missing,Complete,1 block missing,Complete,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,Incomplete,1 block missing,1 block missing,1 block missing
"M00338 | Cysteine biosynthesis, homocysteine + serine -> cysteine",Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,1 block missing,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
M00616 | Sulfate-sulfur assimilation,Complete,Complete,Incomplete,Complete,Incomplete,Complete,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete
M00161 | Photosystem II,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
M00163 | Photosystem I,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing
