Figure,Module_ID,Module_name,Biogeochemical_cycle,Relation_to_iron,Table_S8_biomarker_KOs,Reason_for_inclusion,Sample_or_MAG,Original_status,Displayed_visual_class,Color_hex,Panel,Row_order,Column_order,Source_file,Selection_script,Selection_rule
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.D,1 block missing,1 block missing,#1565C0,P001,1,1,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P1.R,Complete,Complete,#2E7D32,P001,1,2,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.D,1 block missing,1 block missing,#1565C0,P001,1,3,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,AM.P2.R,1 block missing,1 block missing,#1565C0,P001,1,4,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.D,Complete,Complete,#2E7D32,P001,1,5,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P1.R,1 block missing,1 block missing,#1565C0,P001,1,6,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.D,Complete,Complete,#2E7D32,P001,1,7,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TIA.P2.R,1 block missing,1 block missing,#1565C0,P001,1,8,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.D,Complete,Complete,#2E7D32,P001,1,9,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P1.R,1 block missing,1 block missing,#1565C0,P001,1,10,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
S38,M00175,"Nitrogen fixation, nitrogen -> ammonia",Nitrogen,Direct Table S8 iron-biomarker intersection,K02586; K02588; K02591,Contains one or more KO biomarkers analysed in Supplementary Table 8 and belongs to a requested biogeochemical theme.,TI.P2.D,1 block missing,1 block missing,#1565C0,P001,1,11,KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv,scripts/generate_s38_s41_module_figures.py,Thematic catalogue then at least one Complete; display every original state in retained rows.
