figure_id,variant,display_order_index,sample_column,source_order_index,display_label,environmental_group,display_group,group_rank,within_group_rank,record_type,original_record_identifier,grouped_order_index
S40,environmental_group,0,Metatransc of lab 3300055056,6,S2,Akron-AMD,"Akron
AMD",4,1,External iron-rich record,3300055056,0
S40,environmental_group,1,Metatransc of lab 3300055062,50,S14,Akron-AMD,"Akron
AMD",4,13,External iron-rich record,3300055062,1
S40,environmental_group,2,Metatransc of lab 3300055061,10,S21,Akron-AMD,"Akron
AMD",4,20,External iron-rich record,3300055061,2
S40,environmental_group,3,Metatransc of lab 3300055069,59,S23,Akron-AMD,"Akron
AMD",4,22,External iron-rich record,3300055069,3
S40,environmental_group,4,Lab enriched acid 3300038471,24,S25,Akron-AMD,"Akron
AMD",4,24,External iron-rich record,3300038471,4
S40,environmental_group,5,Lab enriched acid 3300038411,27,S28,Akron-AMD,"Akron
AMD",4,27,External iron-rich record,3300038411,5
S40,environmental_group,6,Metatransc of lab 3300046014,5,S30,Akron-AMD,"Akron
AMD",4,29,External iron-rich record,3300046014,6
S40,environmental_group,7,Lab enriched acid 3300038412,42,S34,Akron-AMD,"Akron
AMD",4,33,External iron-rich record,3300038412,7
S40,environmental_group,8,Metatransc of lab 3300046013,39,S35,Akron-AMD,"Akron
AMD",4,34,External iron-rich record,3300046013,8
S40,environmental_group,9,Lab enriched acid 3300038413,1,S37,Akron-AMD,"Akron
AMD",4,36,External iron-rich record,3300038413,9
S40,environmental_group,10,Metatransc of lab 3300055057,44,S61,Akron-AMD,"Akron
AMD",4,60,External iron-rich record,3300055057,10
S40,environmental_group,11,Lab enriched sediment 3300039027,21,S39,Burr-Oak-BO4,"Burr Oak
BO4",5,38,External iron-rich record,3300039027,11
S40,environmental_group,12,Lab enriched sediment 3300039028,46,S58,Burr-Oak-BO4,"Burr Oak
BO4",5,57,External iron-rich record,3300039028,12
S40,environmental_group,13,Hydrotherm Fe rich 3300023307,61,S7,Hydrothermal-Fe-mats,"Hydrothermal
Fe mats",6,6,External iron-rich record,3300023307,13
S40,environmental_group,14,Hydrotherm Fe rich 3300023310,4,S15,Hydrothermal-Fe-mats,"Hydrothermal
Fe mats",6,14,External iron-rich record,3300023310,14
S40,environmental_group,15,Hydrotherm Fe rich 3300023442,51,S19,Hydrothermal-Fe-mats,"Hydrothermal
Fe mats",6,18,External iron-rich record,3300023442,15
S40,environmental_group,16,Hydrotherm Fe rich 3300023313,53,S20,Hydrothermal-Fe-mats,"Hydrothermal
Fe mats",6,19,External iron-rich record,3300023313,16
