,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Candidatus Bathyarchaeota,9.162479929559227,50.78777625039653,74.03259726603575,51.877029528694116,42.32910125711427,48.06462194521896,52.605823342304866,48.43477601758509,23.40473761759039,57.97496156380409,67.77871384442572,58.796610540605634,40.97028872191922,60.25786781044907,27.280835881753312,40.48224008296604,38.24507546687132,60.04660582017921,57.83482142857142,55.797938938649715
Methanobacteriota,42.269643134614384,24.715378379331007,9.931650893796004,25.17374283026312,26.474451185189817,28.89945875020502,19.186270054877834,21.238535587053743,41.788507310438625,17.118383483417528,14.700926705981466,17.352368023472227,27.994965483046645,21.024753242726472,42.928134556574925,34.799066632097485,42.082374008697876,19.87405331927761,21.93877551020408,25.82586920928441
Thermoplasmatota,0.0,1.75531352437348,1.2592008412197688,4.515796182209948,8.61842516730252,5.330490405117271,5.798874480058723,7.8678086864246195,9.803921568627452,7.182077750933451,1.4349901713001967,5.944691379650107,10.17582669056791,3.2633972404526896,9.607543323139653,5.885403163080114,1.4837554361729342,1.5673981191222568,1.9228316326530615,2.5859578156602137
Nitrososphaerota,22.313150670741184,9.143139120933347,1.4353312302839116,0.0,1.0350866220526613,0.0,0.0,0.0,0.0,0.0,1.2552653748946925,1.1079240655996148,0.0,0.0,2.3190621814475025,1.2081928960331865,0.0,1.2983049907065776,1.1192602040816326,0.0
Candidatus Thorarchaeota,0.0,1.194882097916887,1.0541535226077812,1.5325786774301235,1.9857401963850145,0.0,2.5166905519242198,1.4249981050557115,1.337413578148022,1.3222051394684824,1.0643077787138444,1.1101136388517878,1.6324039818452267,1.6898351506382099,1.325178389398573,2.4526834327197307,0.0,0.0,1.2372448979591837,2.470384281999422
Thermoproteota,0.0,1.3499700398294032,2.1083070452155623,1.477952110709842,1.2633685658890488,0.0,1.4191338390017127,1.0763283559463352,0.0,1.0542499450911487,1.5922493681550125,1.372862429112566,1.0564857546054387,1.4831274869515787,0.0,1.1200414830178895,0.0,1.406497073265459,1.4572704081632653,1.5987672156409516
Candidatus Micrarchaeota,0.0,0.0,0.0,0.0,0.0,1.4761358044940134,0.0,2.887895095884181,1.4167516717669728,1.4583790907094223,0.0,1.4385496266777604,2.2388344330447385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Lokiarchaeota,0.0,0.0,0.0,1.896755788898668,1.379073112765026,0.0,1.8141144395120417,0.0,0.0,0.0,0.0,0.0,1.2891414622983333,0.0,1.2996941896024465,1.1978221415607986,0.0,0.0,0.0,0.0
Candidatus Verstraetearchaeota,0.0,0.0,0.0,0.0,1.9294514979048094,1.1809086435952107,1.4366108567234086,0.0,1.2694094979032076,0.0,0.0,1.272142059512601,1.7277546817193636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Woesearchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0061203672220334,0.0,0.0,0.0,0.0,0.0,1.1085626911314985,0.0,0.0,0.0,0.0,0.0
Candidatus Aenigmarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455317213673918,0.0,0.0,0.0,0.0,0.0,0.0,1.019367991845056,0.0,0.0,0.0,0.0,0.0
Unclassified,22.535867819961673,7.807267984914174,6.309148264984227,8.764529149342964,11.23584964663206,9.111038215515828,10.126184067950645,11.013416205563557,14.3488609316559,9.31254118163848,8.89076102218478,8.495544218431828,9.275716083756055,7.079737481267117,9.722222222222223,9.54627949183303,13.788692760296751,11.976031292479263,10.644132653061225,6.399884426466339
Other taxa (<1%),3.7188584451235305,3.246272602305171,3.869610935856992,4.761615732451215,3.749452748764777,5.937346235853696,5.096298367646544,4.600924732812855,4.624277456647399,4.577201844937405,3.2827857343442854,3.1091940180858746,3.638582707197071,5.201281587514857,3.389398572884812,3.308270676691729,4.400102327961117,3.8311093849696225,3.8456632653061225,5.321198112298951
