__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,86.40389496037706,89.09097317683552,87.90746582544692,78.6349427938454,74.24792044530615,67.48400852878467,77.14705162711036,74.38793299476997,50.821715969624826,77.52251262903577,88.05110923897777,79.60850430251143,69.0072085129105,84.59769520954988,71.69979612640164,80.24889810733731,86.40317216679458,86.44269980858326,85.19451530612245,81.26745641914667
Methanomicrobia,10.172476303931214,4.994536674773538,4.668769716088328,10.709841886437436,12.211520420288949,22.576677054289,11.730574294802334,13.105434700219817,34.3420605236314,11.350757742148032,5.248525695029483,8.6772787983622,15.069224608108623,7.648183556405352,14.462283384301736,10.002592688618096,9.503709388590433,7.456931228673677,8.303571428571429,11.234710584609456
Thermoplasmata,0.7976381623245453,1.6883437312748935,1.19348054679285,4.458134806227427,8.580899368315716,5.256683614892572,5.742948023349296,7.799590692033656,9.69058143488609,7.111794421260704,1.3788261724234758,5.881193755337086,10.099546130668598,3.21947186191928,9.518348623853212,5.807622504537205,1.4325914556152468,1.5119149998612926,1.8590561224489797,2.5281710488298175
Thermoprotei,0.6267156989692856,1.2724260688731457,2.045215562565721,1.4172559254650843,1.228969916817812,0.9184845005740532,1.3667027858366247,1.0384294701735768,0.7140428425705541,0.9971447397320445,1.524852569502948,1.298416938538679,1.018345474655784,1.4288667252338378,0.751783893985729,1.0370754472387866,0.920951650038373,1.3260465503370602,1.4094387755102042,1.5457960127130885
Hadesarchaea,0.17092246335525973,0.722568820274224,2.095162986330179,1.0318351491608753,0.6879729814247295,0.5494505494505497,0.7969520081093362,0.6973394982187525,0.5440326419585173,0.8302218317592792,2.044369559112608,1.2765212060169475,0.49582363934551277,1.1937367577902949,0.4204892966360857,0.5444646098003629,0.5244308007162958,1.5784947429744505,1.2181122448979593,0.6019454878166232
Methanobacteria,0.11912777749002951,0.26082972048923203,0.31282860147213465,1.653971047919638,0.5722684345487523,0.8528784648187636,0.6746128840574644,0.7352383839915108,0.5326986285843814,0.2987041511091587,0.272395394552092,0.38317531913030156,0.5301498913002021,0.3203968787142783,0.7772680937818554,0.5081669691470054,0.19186492709132769,0.2885122201570173,0.4177295918367347,1.1605509005104495
Candidatus Micrarchaeia,0.44025482985445685,0.0986923266716013,0.0762355415352261,0.11228794270280111,0.15010319594721372,0.3198294243070364,0.20622880911601243,0.34866974910937626,0.8613850164343191,0.2679551943773336,0.08143779837124399,0.7991942370432003,1.5942637018955719,0.08785075706681825,0.31855249745158004,0.21778584392014522,0.06395497569710924,0.047160651371820135,0.08928571428571429,0.10594240585572569
Halobacteria,0.43507536126793384,0.30312643191991834,0.22344900105152476,0.2852720706503596,0.32522359121896305,0.32803017877644763,0.3075955119018491,0.265292200409308,0.6120367222033318,0.2547770700636942,0.19095759618084798,0.25180092399991244,0.36614668751668633,0.18345305152188515,0.5861365953109073,0.3992740471869328,0.17907393195190585,0.21083585319166648,0.1913265306122449,0.1974381200038524
Archaeoglobi,0.0932304345574144,0.3383736914454902,0.33123028391167203,0.35203787441959267,0.3095878416411283,0.28702640642939165,0.32507252962354505,0.3031910861820663,0.21534625410857977,0.30748956731825156,0.286436394271272,0.317488121565107,0.2784240436324802,0.3074776497338638,0.3695208970438329,0.33704952035260566,0.17907393195190585,0.3051571559353068,0.3380102040816327,0.29374939805451217
Thermococci,0.15538405759569066,0.21148355715343137,0.3364879074658255,0.32168978179721397,0.2939520920632935,0.3198294243070364,0.3495403544339194,0.23497309179110137,0.3400204012240733,0.2591697781682406,0.23869699522606,0.3262464145737996,0.26698195964758376,0.2583845796082889,0.35677879714576965,0.19704433497536944,0.14070094653364032,0.21915832108081124,0.24872448979591835,0.32264278146971004
Candidatus Methanomethylicia,0.02071787434609209,0.04582143738324347,0.11303890641430078,0.13656641680070408,0.722371630495966,0.475643759225849,0.5767415848159669,0.3183506404911696,0.5440326419585173,0.24159894575005486,0.07582139848357199,0.5014122747476517,0.6598268431290286,0.11627306082373003,0.11467889908256884,0.11407829919626654,0.08953696597595293,0.08599883485449554,0.09247448979591837,0.12520466146585763
Theionarchaea,0.03625628010566116,0.12336540833950164,0.21819137749737122,0.18208855573427207,0.16573894552504848,0.16401508938822382,0.26565066936977877,0.23497309179110137,0.1473421738637651,0.18010103228640453,0.15725919685481599,0.17078671366950585,0.17925931576337767,0.1705338225414707,0.16564729867482164,0.13481980814104225,0.051163980557687394,0.11096623852192974,0.15943877551020408,0.22633150341905034
Nitrososphaeria,0.4039985497487957,0.574530330266822,0.1235541535226078,0.11228794270280111,0.09694164738257552,0.05740528128587832,0.09787129924149743,0.06063821723641326,0.102006120367222,0.06589062156819678,0.129177197416456,0.1269952486260428,0.0877226438842061,0.10852152343548134,0.08919469928644241,0.08296603577910293,0.12790995139421849,0.11096623852192974,0.11798469387755102,0.08186458634306076
Candidatus Methanoliparia,0.010358937173046045,0.08459342286137254,0.13669821240799163,0.15781008163636914,0.10319594721370942,0.13941282597999022,0.14331154531790696,0.16675509740013647,0.17001020061203664,0.10103228640456839,0.143218197135636,0.1532701276521206,0.09153667187917158,0.13694382719239315,0.10193679918450564,0.09852216748768472,0.03837298541826554,0.09432130274364027,0.13392857142857142,0.07223345853799479
Methanococci,0.04143574869218418,0.06344506714602942,0.11303890641430078,0.10925313344056327,0.12195884670711113,0.0738067902247007,0.09437589569715824,0.11369665731827486,0.09067210699308621,0.07028332967274324,0.061780398764392,0.09853079634779185,0.10297875586406803,0.10076998604723268,0.0764525993883792,0.08815141301529686,0.03837298541826554,0.0832246788914473,0.09566326530612244,0.08668015024559375
Candidatus Methanofastidiosa,0.005179468586523022,0.04934616333580065,0.021030494216614095,0.05766137598251948,0.06254299831133904,0.05740528128587832,0.05243105316508791,0.053058440081861585,0.09067210699308621,0.03074895673182516,0.016849199663016,0.04379146504346303,0.026698195964758375,0.0258384579608289,0.0764525993883792,0.051853772361939325,0.0,0.022193247704385948,0.035076530612244895,0.043340075122796876
Candidatus Nanoarchaeia,0.0,0.01409890381022876,0.018401682439537336,0.15781008163636914,0.02814434924010257,0.024602263408233568,0.03495403544339194,0.022739331463654974,0.06800408024481466,0.026356248627278707,0.01404099971918,0.026274879026077825,0.019070139974827413,0.0258384579608289,0.02548419979612641,0.041483017889551464,0.012790995139421849,0.022193247704385948,0.022321428571428572,0.028893383415197923
Candidatus Poseidoniia,0.04143574869218418,0.017623629762785947,0.013144058885383808,0.02124366483566508,0.018762899493401715,0.024602263408233568,0.02796322835471355,0.04547866292730995,0.05667006687067889,0.013178124313639353,0.011232799775343999,0.021895732521731517,0.0419543079446203,0.01291922898041445,0.05096839959225282,0.046668395125745395,0.051163980557687394,0.022193247704385948,0.01594387755102041,0.014446691707598961
Methanonatronarchaeia,0.010358937173046045,0.021148355715343136,0.015772870662460574,0.018208855573427208,0.021890049408968666,0.016401508938822376,0.03145863189905274,0.03031910861820663,0.022668026748271553,0.03514166483637162,0.01404099971918,0.010947866260865758,0.022884167969792896,0.007751537388248668,0.0,0.005185377236193933,0.012790995139421849,0.01664493577828946,0.022321428571428572,0.024077819512664928
Methanopyri,0.005179468586523022,0.017623629762785947,0.018401682439537336,0.036417711146854416,0.012508599662267809,0.024602263408233568,0.0069908070886783875,0.007579777154551657,0.022668026748271553,0.01757083241818581,0.025273799494523998,0.008758293008692608,0.022884167969792896,0.0258384579608289,0.012742099898063205,0.020741508944775732,0.012790995139421849,0.019419091741337706,0.012755102040816327,0.024077819512664928
Conexivisphaeria,0.010358937173046045,0.00352472595255719,0.007886435331230287,0.02124366483566508,0.018762899493401715,0.024602263408233568,0.013981614177356775,0.007579777154551657,0.011334013374135777,0.008785416209092905,0.030890199382196,0.013137439513038912,0.011442083984896448,0.015503074776497336,0.02548419979612641,0.0155561317085818,0.025581990278843697,0.022193247704385948,0.01594387755102041,0.014446691707598961
Nanohaloarchaea,0.0,0.00352472595255719,0.010515247108307047,0.006069618524475736,0.01563574957783476,0.024602263408233568,0.0069908070886783875,0.022739331463654974,0.0,0.004392708104546453,0.0028081999438359997,0.002189573252173152,0.007628055989930965,0.0051676915921657785,0.0,0.0,0.0,0.0027741559630482435,0.006377551020408163,0.0
Candidatus Nanohalobia,0.0,0.0,0.0,0.006069618524475736,0.003127149915566952,0.0,0.0,0.0,0.0,0.004392708104546453,0.0,0.002189573252173152,0.0,0.0025838457960828893,0.0,0.0,0.0,0.0,0.0,0.0
