Sample,Lake,Season,Lake_season,Original_CDS_count,Rarefaction_depth_CDS,Observed_OTUs,Chao1,Shannon,Singletons,Doubletons,Retained_all_samples
AM.P1.D,AM,DRY,AM-D,420093,32999,3020,8104.486997635934,3.3034138023153545,2074,423,True
AM.P1.R,AM,RAINY,AM-R,358885,32999,2903,7619.290726817043,3.315849961285301,1940,399,True
AM.P2.R,AM,RAINY,AM-R,350023,32999,2686,6725.806970509384,3.2753942290219706,1736,373,True
AM.P2.D,AM,DRY,AM-D,188440,32999,1773,4739.259259259259,2.6241952327951257,1132,216,True
TIA.P1.R,TIA,RAINY,TIA-R,146504,32999,2688,6891.86914600551,3.232058109142332,1747,363,True
TIA.P1.D,TIA,DRY,TIA-D,314919,32999,2443,5790.501400560224,3.1269552934621414,1546,357,True
TIA.P2.D,TIA,DRY,TIA-D,318765,32999,2556,5997.493386243386,3.1088494296815865,1613,378,True
TIA.P2.R,TIA,RAINY,TIA-R,156703,32999,2544,6539.587209302325,3.1310773240212546,1658,344,True
TI.P1.D,TI,DRY,TI-D,292364,32999,3503,7999.822669104205,3.6267749248437235,2218,547,True
TI.P1.R,TI,RAINY,TI-R,171793,32999,2435,6007.904692082111,3.185787201646587,1561,341,True
TI.P2.D,TI,DRY,TI-D,170937,32999,1868,4788.254201680673,2.8079277757572125,1179,238,True
TI.P2.R,TI,RAINY,TI-R,376162,32999,2578,6375.414084507042,3.203078344114301,1642,355,True
TI.P3.D,TI,DRY,TI-D,352736,32999,2774,6777.321243523316,3.350941204992675,1758,386,True
TI.P3.R,TI,RAINY,TI-R,241401,32999,2151,5499.699300699301,2.9645214341153276,1384,286,True
TI.P4.D,TI,DRY,TI-D,337127,32999,3110,7287.7420718816065,3.536017417571953,1988,473,True
TI.P4.R,TI,RAINY,TI-R,307928,32999,2959,7074.2375,3.457707915846902,1903,440,True
VI.P1.D,VI,DRY,VI-D,32999,32999,1851,4687.371541501976,3.036387164508338,1198,253,True
VI.P1.R,VI,RAINY,VI-R,215425,32999,2113,5548.266666666666,2.998596770986058,1362,270,True
VI.P2.D,VI,DRY,VI-D,207350,32999,2090,4945.6,2.9696687453147708,1298,295,True
VI.P2.R,VI,RAINY,VI-R,164610,32999,2345,5684.024390243902,3.0719712412678044,1480,328,True
