__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,68.84252952501042,70.70651896844296,78.43263249884338,71.7686934578052,77.9109056819435,70.06286065557515,73.6232790988736,73.691465329096,57.310573438845644,75.09386021464599,78.87013159643759,71.2812834224599,69.55032618825723,78.42076798269336,64.9634396416815,69.40842653997163,81.16121062384188,79.95685005393744,79.73324887387386,77.63493521069277
Myxococcales,1.985409184558054,2.292672624119673,0.241607978203876,2.997715633478752,1.4458024604710389,5.482956235499414,2.529529098873592,3.8136079947926644,5.741700654847988,2.5693048655618336,0.37485045859364613,5.091764705882353,5.789841565703634,0.6505901441160564,7.794371593545951,6.272889240819557,0.4570722668313775,0.43813791386606915,0.3888654279279279,0.7244158759310273
Hyphomicrobiales,4.307442892043727,3.2518371241087483,0.46779417056495143,3.742402625784478,0.9454866298364698,1.5090523310000197,1.3366317271589485,1.0070069303518783,5.463024650233179,1.3500701581402401,0.571580486508042,1.0814973262032086,1.492699596147872,0.7269430216651291,2.6152123468782045,1.6867927018377378,0.667078443483632,0.9758526263380634,0.7390202702702702,0.7427813488419548
Desulfobacterales,0.39179041464485564,0.8972594259578901,1.6784043592247981,1.7631680947393595,1.8338229543699929,1.7450276626544252,1.722856695869837,1.8206532143814378,1.3787556263304142,1.8961659524441576,1.8024724179183838,1.7591443850267379,1.7287977632805218,1.8038367320968411,1.4549943338190063,1.5523441881949254,2.717726991970353,1.5782922579039085,1.8968186936936933,1.7447199265381081
Burkholderiales,2.331040383684406,1.45440509223856,0.4266694083174831,0.8832334094788841,0.9144048848471482,1.947292232643915,1.472543804755945,1.4147873032890457,3.668286183194944,1.0637490993211727,0.42270370862687756,1.7317647058823529,1.8856787822305063,0.5885534311074349,2.475581458097243,1.968062291728529,0.49413218035824596,1.294498381877023,0.5085163288288288,0.732578308335884
Anaerolineales,0.7638787251049842,0.9045423758439116,2.534313473500231,1.0836309057472022,1.361580957919328,1.045033611612366,1.6045447434292865,1.3516100624114564,1.330820103670724,1.3386931624255751,2.2411272098896715,1.2731550802139038,1.5027958993476234,1.7513441287818536,1.0387998489018402,1.1019829093668545,0.9264978381717112,1.2513484358144555,1.2334600225225223,1.9691868176716656
Eubacteriales,0.37377706224739093,1.005047084271013,1.5421785842800597,1.1825926322994582,1.120948093485868,1.1897915881734715,1.062852002503129,1.0338093961787345,0.5955379340602202,1.1206340778944974,1.377110195400771,1.3244919786096256,0.8791550170860516,1.3663983711386125,0.6320489989746911,0.8982480451351085,1.1365040148239656,0.9692141730976683,1.105011261261261,1.263136414651566
Bacillales,0.5088772052283757,0.5425797665086266,1.2645864391096489,0.6853099563743722,0.8231649237494613,0.7178409248646611,0.8633839173967459,0.8040739748056823,0.6223493280902164,0.7982858659789904,1.01023527847933,0.7572192513368984,0.6508232370301336,1.1230235739509435,0.5382871944309536,0.6582203305948727,0.9264978381717112,0.8414239482200649,0.8129222972972974,0.8284868890929495
Nitrospirales,0.6535469416705134,0.7450457733400335,0.3032951215750784,0.4618213905771943,0.4692340856452471,0.596878780067025,0.3950250312891114,0.5111613125550408,1.1366406135746903,0.5423034623990292,0.4173866808454075,1.116577540106952,1.1688412550481517,0.4565265803454969,1.6256543089957374,1.3807779867366128,0.43236565781346514,0.3900091278732056,0.34487612612612606,0.289766350372411
Desulfuromonadales,0.2454319264154555,0.4027471286970074,0.40867732483421576,0.5632571602932566,0.6366744538135297,0.8031093220170932,0.7128050688360451,0.6624037982923001,0.8433402122162462,0.7546740490727747,0.5503123753821614,1.0592513368983958,1.056228642435539,0.5153819234562403,0.9585289514866981,0.8743277574317858,0.5682520074119828,0.4862666998589329,0.5349099099099098,0.5121926334047545
