__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,84.84487491583364,90.33167671213565,92.40273396424816,83.42690661891899,81.2277190568516,72.16663933081844,82.3936523471635,81.14151443947547,57.497449846990826,82.69712277619152,91.93484976130301,85.48750848459636,76.7306152027156,88.78869309079634,78.68246687054027,84.97277676950998,88.296239447429,89.80497683579772,88.52678571428572,84.5564865645767
Methanomicrobiales,0.35220386388356556,2.795107680377851,2.665615141955836,6.807077175199537,8.621552317218088,18.38609152041988,7.515117620329269,9.16395057985295,28.83373002380143,8.947946408961124,3.2799775344004503,5.9731558319283575,10.885235897631489,4.904139320965325,9.059633027522935,6.346901737101374,4.029163468917881,3.839431852858768,5.22640306122449,7.892709236251563
Methanosarcinales,9.426632827471902,1.469810722216348,0.9411146161934806,2.555309398804285,1.604227906685847,1.6319501394128262,1.6148764374847075,1.5765936481467444,2.3574747818202426,1.1464968152866242,1.2749227745015448,1.4385496266777607,1.7201266257294328,1.4133636504573408,2.522935779816514,2.04303863106041,4.847787157840879,2.9128637612006547,2.276785714285714,1.372435712221901
Thermoplasmatales,0.1968198062878749,0.4370660181170915,0.2733964248159832,1.3262116475979482,2.789417724685722,1.3367229785140233,1.7372155615365796,1.955582505874327,2.7654992632891306,2.763013397759719,0.3454085930918282,1.9268244619123736,3.0283382280025934,0.9818614025114981,2.3572884811416923,1.8304381643764585,0.4860578152980301,0.366188587122368,0.46875,0.688625638062217
Methanotrichales,0.16574299476873677,0.22205773501110293,0.2050473186119874,0.5493004764650541,1.263368565889049,1.771362965392816,1.7372155615365796,1.5993329796103997,2.4821489289357364,0.6105864265319569,0.15445099691098008,0.7575923452519105,1.6934284297646744,0.31781303291819546,2.025993883792049,0.9644801659320715,0.26861089792785875,0.2025133853025217,0.26785714285714285,0.9582972166040642
Methanobacteriales,0.11912777749002955,0.260829720489232,0.3128286014721346,1.653971047919638,0.5722684345487523,0.8528784648187633,0.6746128840574646,0.7352383839915105,0.5326986285843817,0.2987041511091588,0.27239539455209216,0.38317531913030156,0.5301498913002021,0.32039687871427835,0.7772680937818552,0.5081669691470054,0.19186492709132766,0.2885122201570172,0.4177295918367347,1.1605509005104495
Methanocellales,0.1502045890091677,0.3242747876352614,0.18401682439537329,0.5401960486783405,0.5003439864907123,0.5084467771034935,0.5627599706386102,0.5078450693549609,0.3853564547206166,0.4436635185591917,0.3397921932041562,0.29340281579120236,0.49963766734047826,0.8164952715621931,0.4969418960244648,0.40964480165932066,0.2814018930672806,0.36896274308541627,0.3284438775510204,0.7367812770875469
Methanomassiliicoccales,0.3055886466048584,0.31722533573014705,0.16561514195583596,0.4946739097447725,0.3721308399524674,0.46744300475643763,0.5243105316508792,0.4623664064276509,1.042729230420492,0.5446958049637601,0.24712159505756812,0.31091940180858757,0.45005530340592703,0.2790553459769521,0.7900101936799184,0.43557168784029043,0.30698388334612425,0.274641440341776,0.2997448979591837,0.38524511220263885
Candidatus Methanomethylicales,0.020717874346092097,0.045821437383243464,0.11303890641430074,0.13656641680070408,0.7223716304959661,0.4756437592258488,0.5767415848159669,0.3183506404911695,0.5440326419585175,0.24159894575005492,0.07582139848357203,0.5014122747476517,0.6598268431290286,0.11627306082373004,0.11467889908256881,0.11407829919626654,0.08953696597595291,0.08599883485449551,0.09247448979591837,0.12520466146585763
Nitrosopumilales,2.258248303724038,1.2830002467308168,0.06309148264984228,0.0758702315559467,0.06879729814247294,0.06560603575528948,0.09787129924149746,0.030319108618206615,0.13600816048962938,0.0746760377772897,0.06739679865206402,0.0547393313043288,0.05339639192951676,0.04650922432949201,0.31855249745158,0.1400051853772362,0.012790995139421849,0.0721280550392543,0.06696428571428571,0.052971202927862844
Archaeoglobales,0.08805096597089139,0.2573049945366748,0.29442691903259727,0.2913416891748353,0.27518919256989177,0.221420370674102,0.2831276870914748,0.265292200409308,0.1813442139861725,0.27234790248188007,0.23308059533838815,0.26055921700860507,0.21739959571303252,0.2609684254043719,0.34403669724770647,0.2955665024630542,0.11511895625479661,0.25244819263739005,0.28061224489795916,0.2648560146393143
Candidatus Altiarchaeales,0.06733309162479931,0.2079588312008741,0.1813880126182965,0.16691450942308272,0.22828194383638759,0.2378218796129244,0.31109091544618833,0.2804517547184112,0.4306925082171597,0.28991873490006587,0.1769165964616681,0.2277156182260078,0.28986612761737673,0.16794997674538784,0.4204892966360856,0.21778584392014522,0.07674597083653106,0.1442561100785086,0.16581632653061223,0.16854473658865451
Candidatus Anstonellales,0.015538405759569069,0.03877198547812908,0.02891692954784437,0.05159175745804376,0.09068734755144163,0.2378218796129244,0.15030235240658538,0.25771242325475624,0.5893686954550607,0.1976718647045904,0.042122999157540024,0.7400757592345253,1.483656890041573,0.041341532737326235,0.22935779816513763,0.13481980814104225,0.03837298541826553,0.013870779815241213,0.035076530612244895,0.0337089473177309
Methanophagales,0.07251256021132234,0.15508794191251632,0.6256572029442692,0.17601893720979633,0.1657389455250485,0.2460226340823356,0.2446782481037436,0.21981353748199797,0.1926782273603083,0.12738853503184713,0.1769165964616681,0.16202842066081324,0.22121362370799802,0.16794997674538784,0.2803261977573904,0.18667358050298158,0.06395497569710924,0.0970954587066885,0.14987244897959184,0.19262255610131943
Thermococcales,0.1087688403169835,0.14098903810228758,0.1813880126182965,0.21547145761888858,0.1782475451873163,0.221420370674102,0.21671501974903007,0.15159554309103312,0.1813442139861725,0.1493520755545794,0.1572591968548161,0.2036303124521031,0.1563751477935848,0.16794997674538784,0.2420998980632008,0.12963443090484833,0.08953696597595291,0.13315948622631565,0.14668367346938777,0.19262255610131943
Halobacteriales,0.2641528979126742,0.1480384900074019,0.11303890641430074,0.1426360353251798,0.18762899493401716,0.1804165983270461,0.16777937012828134,0.15159554309103312,0.27201632097925876,0.09663957830002197,0.09267059814658805,0.13356396838256226,0.1830733437583432,0.0749315280864038,0.2675840978593272,0.233341975628727,0.07674597083653106,0.10264377063278497,0.07334183673469388,0.0674178946354618
Desulfurococcales,0.08805096597089139,0.14451376405484476,0.23396424815983174,0.14870565384965553,0.1594846456939146,0.09840905363293423,0.143311545317907,0.1894944288637914,0.14734217386376516,0.1405666593454865,0.1572591968548161,0.144511834643428,0.15256111979861933,0.1498630561728076,0.0891946992864424,0.1244490536686544,0.07674597083653106,0.1553527339307016,0.16262755102040816,0.2022536839063854
Candidatus Methanoliparales,0.010358937173046048,0.08459342286137254,0.1366982124079916,0.15781008163636914,0.10319594721370945,0.13941282597999016,0.143311545317907,0.16675509740013642,0.17001020061203673,0.1010322864045684,0.14321819713563605,0.1532701276521206,0.0915366718791716,0.13694382719239317,0.10193679918450561,0.09852216748768472,0.03837298541826553,0.09432130274364024,0.13392857142857142,0.07223345853799479
Nitrososphaerales,0.3729217382296577,0.5463325226463642,0.07623554153522608,0.06980061303147098,0.07505159797360687,0.0574052812858783,0.08738508860847986,0.03789888577275828,0.06800408024481469,0.048319789150010985,0.08424599831508005,0.08539335683475292,0.07246653190434418,0.07234768229032092,0.0891946992864424,0.077780658542909,0.07674597083653106,0.08599883485449551,0.09566326530612244,0.043340075122796876
Sulfolobales,0.13984565183612163,0.130414860244616,0.11829652996845426,0.13353160753846618,0.07817874788917382,0.07380679022470067,0.11884372050753261,0.09853710300917153,0.034002040122407345,0.07906874588183616,0.12917719741645609,0.10072036959996497,0.07246653190434418,0.1291922898041445,0.05096839959225281,0.07259528130671505,0.166282936812484,0.11928870641107443,0.11479591836734696,0.08668015024559375
Thermoproteales,0.09840990314393745,0.10574177857671568,0.13144058885383808,0.12746198901399045,0.09694164738257553,0.09840905363293423,0.10486210633017584,0.12127643447282646,0.06800408024481469,0.06149791346365034,0.09828699803426004,0.08539335683475292,0.06865250390937869,0.09043460286290114,0.0382262996941896,0.08815141301529686,0.025581990278843697,0.11651455044802618,0.08609693877551021,0.12038909756332465
Haloferacales,0.07251256021132234,0.09164287476648693,0.03943217665615142,0.06980061303147098,0.08130589780474078,0.09840905363293423,0.09088049215281906,0.09095732585461987,0.1926782273603083,0.0834614539863826,0.04773939904521202,0.06787677081736769,0.1296769518288264,0.04909307012557491,0.191131498470948,0.09333679025149079,0.051163980557687394,0.06380558715010957,0.06377551020408163,0.0674178946354618
Methanococcales,0.04143574869218419,0.0634450671460294,0.11303890641430074,0.10925313344056327,0.12195884670711116,0.07380679022470067,0.09437589569715825,0.11369665731827482,0.09067210699308625,0.07028332967274326,0.06178039876439203,0.09853079634779185,0.10297875586406804,0.1007699860472327,0.0764525993883792,0.08815141301529686,0.03837298541826553,0.08322467889144727,0.09566326530612244,0.08668015024559375
Thermofilales,0.020717874346092097,0.08106869690881535,0.120925341745531,0.05766137598251948,0.09694164738257553,0.07380679022470067,0.10136670278583665,0.05305844008186158,0.06800408024481469,0.07906874588183616,0.09267059814658805,0.0766350638260603,0.07628055989930967,0.06459614490207224,0.012742099898063202,0.046668395125745395,0.025581990278843697,0.052708963297916606,0.09247448979591837,0.07704902244052778
Others,0.6992282591806082,0.31722533573014705,0.27865404837013674,0.5159175745804376,0.3189692913878292,0.2788256519599803,0.30759551190184914,0.31077086333661785,0.7367108693188258,0.43487810235009877,0.31451839370963214,0.3328151343303191,0.4309851634310995,0.34106764508294146,0.4204892966360856,0.3474202748249935,0.23023791250959322,0.26909312841567956,0.33163265306122447,0.3948762400077048
