__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,73.23328417189241,75.00491599117305,84.42399629877139,76.03476855326203,82.01068810972859,74.65942215788536,78.4828692115144,78.07175402994217,63.179018865471804,79.4436649095529,83.8947228499269,75.84171122994653,74.22180801491146,83.22304584354023,69.65355350493768,73.84687716519845,84.65719579987645,83.57480706995273,83.95622184684684,82.37730843791452
Anaeromyxobacteraceae,0.6721232113303987,1.0349071788037023,0.04883565516886854,2.4517767753321404,1.0668056989883392,4.751234408772731,2.0113031914893615,3.1894934333958713,4.741554410880551,2.0383783988774695,0.1409012362089592,4.371336898395722,4.920006213109661,0.34517863391976583,6.5660244994873445,5.31525289517965,0.13588634959851756,0.09459795867562859,0.12844876126126129,0.37547189062340586
Desulfobacteraceae,0.231921912117357,0.5462212414516374,1.0358299491081069,1.1652743301528135,1.2472803473134344,1.209621447976363,1.1410747809762203,1.188880805605544,0.9213369948489625,1.185103720277599,1.0953077229828527,1.1302673796791445,1.0989437713575645,1.1309769986956384,0.9072635043980357,1.0079514335675872,1.7047560222359477,0.9874699195087546,1.1542792792792793,1.1264156718702176
Syntrophaceae,0.08894092746248157,0.3881812289249637,0.5114892304528863,0.7991159419094664,0.6226375367215777,1.3523964385571796,0.7616943053817272,0.8787379867519238,0.7791553598414065,0.6105654366870189,0.7523594310780274,0.7161497326203209,0.5824790307548928,0.5106098686094233,0.48634720198586157,0.4437625787719819,0.5435453983940702,0.6638453240394989,0.7530968468468469,0.41016222834404675
Nitrospiraceae,0.6304673339112618,0.7013480740239025,0.26731095460854365,0.4156392515194748,0.4321365190450886,0.5552360744809536,0.3676470588235294,0.4690431519699812,1.0781430266001528,0.5062763093025903,0.3828260002658514,1.0498395721925133,1.1105933519726623,0.4008526071326313,1.546732502293454,1.3098419611336567,0.4200123533045089,0.3501784084308357,0.3061655405405405,0.27344148556269776
Anaerolineaceae,0.356326627112347,0.3313742198139934,0.4446614918007504,0.47171756323241987,0.6667535618677121,0.5016954530131473,0.8174280350438048,0.6470881035340965,0.8571521424741229,0.695892904547006,0.7018476671540609,0.4885561497326203,0.681112146629388,0.6362739795756053,0.5119799255301926,0.5402685670922829,0.35824583075972816,0.5244378059912042,0.46452702702702703,0.7489031731455976
Acidobacteriaceae,2.018058385778458,2.6480805785575385,0.23132678764200892,0.6424265415350614,0.2937726219958491,0.30736282694481354,0.3040910513141427,0.25653788719990805,0.5378528135714402,0.4000910159657174,0.2525588196198325,0.22417112299465242,0.23998136067101583,0.28473260586008337,0.4553181155900922,0.40994424098452603,0.4076590487955527,0.6655049373495976,0.4557291666666667,0.31833486378940934
Geobacteraceae,0.1835110275491708,0.3044273052357126,0.32385750269881247,0.3999703114820344,0.45419453161815576,0.6048107239881815,0.5504928035043805,0.5035034651759389,0.6320989259193058,0.5404072964465851,0.3987770836102618,0.8128342245989305,0.7983845914880396,0.36903890815385104,0.7237871674491392,0.6582203305948728,0.4817788758492895,0.36511492822172437,0.39942286036036034,0.3673094582185492
Bradyrhizobiaceae,1.5750425002533128,0.8309845819950913,0.08224952449493651,0.9945653518501719,0.20654320863871983,0.29348192508278964,0.25617959949937424,0.22016311214917483,1.4185664841325294,0.2446054078652964,0.10634055562940316,0.23871657754010694,0.3681267474370922,0.14952438520026726,0.785170794884248,0.4379887162229041,0.13588634959851756,0.23732470334412087,0.15484234234234234,0.151004999489848
Burkholderiaceae,0.7424878691329948,0.43042233826389037,0.19277232303500744,0.25152772165365045,0.27271724635792133,0.4025461539986913,0.34026908635794745,0.3637477505073323,0.75884369769747,0.2901133907239562,0.1276086667552838,0.42010695187165775,0.45278036657347004,0.17338465943435244,0.5814580972424586,0.4767560790524266,0.19765287214329827,0.7717201891959174,0.16715934684684686,0.2346699316396287
