__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,91.02398093955561,93.69426527087519,94.74500525762355,87.69384844162543,86.75339295765838,77.88256519599804,87.2103184312629,86.2351246873342,67.15402924175451,88.0650120799473,94.04942431901151,89.69148912876881,83.24116099012168,91.80920882641723,85.09174311926607,89.58776250972258,91.59631619339986,92.40158681721086,91.4732142857143,87.90330347683714
Methanoregulaceae,0.16056352618221373,1.1843079200592153,1.1487907465825447,3.107644684531577,4.8533366689599085,11.128423814990983,4.128071585864588,5.396801334040779,19.08647852204465,4.269712277619153,1.4602639707947207,3.071971272798932,5.6600175445287775,2.196268926670456,4.587155963302753,3.121597096188748,1.9570222563315427,1.744944100757344,2.3246173469387754,3.4142348068958874
Methanomicrobiaceae,0.07769202879784536,1.0327447040992563,0.967402733964248,2.321629085611969,2.195259240728,3.8051500738067916,1.8246006501450596,2.1450769347381193,4.522271336280177,3.0573248407643314,1.2271833754563324,1.7494690284863483,3.0474083679774213,1.733760529171619,2.8542303771661572,2.0741508944775733,1.3302634944998721,1.3232723943740115,1.823979591836735,2.797842627371665
Methanotrichaceae,0.16574299476873677,0.22205773501110287,0.2050473186119874,0.5493004764650541,1.2633685658890483,1.7713629653928167,1.7372155615365796,1.5993329796103999,2.482148928935736,0.6105864265319569,0.15445099691098005,0.7575923452519105,1.693428429764675,0.3178130329181954,2.025993883792049,0.9644801659320715,0.2686108979278588,0.20251338530252166,0.2678571428571429,0.9582972166040643
Candidatus Methanoperedenaceae,5.215724866628685,0.4405907440696486,0.16561514195583596,0.9741737731783556,0.2626805929076239,0.16401508938822376,0.2202104232933692,0.29561130902751465,0.36268842797234496,0.16253019986821876,0.37068239258635216,0.3569004401042237,0.31656432358213515,0.3824091778202676,0.6625891946992866,0.48224008296603577,2.5837810181632133,1.4647543484894718,0.9056122448979593,0.18299142829625348
Methanosarcinaceae,0.5179468586523023,0.373620950971062,0.2707676130389064,0.5766137598251949,0.6692100819313276,0.820075446941119,0.6885944982348213,0.5912226180550293,1.1560693641618496,0.5139468482319349,0.2948609941027801,0.4510520899476693,0.6255005911743393,0.3824091778202676,0.7645259938837922,0.6429867772880478,0.39652084932207726,0.3883818348267539,0.40816326530612246,0.5200809014735626
Methanobacteriaceae,0.10358937173046048,0.23615663882133164,0.26813880126182965,1.517404631118934,0.5003439864907122,0.7544694111858293,0.6012094096263415,0.644281058136891,0.49869658846197434,0.26356248627278717,0.2386969952260601,0.3393838540868386,0.4843815553606164,0.2816391917730349,0.7008154943934761,0.47186932849364793,0.17907393195190585,0.25799650456348655,0.3730867346938776,1.049792930752191
Methanocellaceae,0.1502045890091677,0.32427478763526135,0.18401682439537329,0.5401960486783405,0.5003439864907122,0.5084467771034937,0.5627599706386102,0.5078450693549609,0.3853564547206165,0.4436635185591917,0.33979219320415616,0.29340281579120236,0.4996376673404784,0.8164952715621931,0.4969418960244649,0.40964480165932066,0.28140189306728064,0.3689627430854162,0.32844387755102045,0.736781277087547
Candidatus Methanomethylicaceae,0.020717874346092097,0.04582143738324346,0.11303890641430074,0.13656641680070408,0.7223716304959658,0.47564375922584895,0.5767415848159669,0.3183506404911696,0.5440326419585174,0.24159894575005492,0.07582139848357203,0.5014122747476517,0.6598268431290287,0.11627306082373003,0.11467889908256884,0.11407829919626654,0.08953696597595293,0.0859988348544955,0.09247448979591838,0.12520466146585765
Candidatus Bilamarchaeaceae,0.005179468586523024,0.02819780762045751,0.01840168243953733,0.039452520409092286,0.08130589780474073,0.21321961620469088,0.13981614177356777,0.2501326461002047,0.5440326419585174,0.1757083241818581,0.03369839932603201,0.7181800267127938,1.4607727220717803,0.020670766368663114,0.22935779816513768,0.1244490536686544,0.012790995139421849,0.011096623852192969,0.025510204081632654,0.02407781951266493
Methanocalculaceae,0.005179468586523024,0.0951676007190441,0.11303890641430074,0.23368031319231589,0.19388329476515098,0.3608331966540923,0.1887517913943165,0.1819146517092398,0.2720163209792587,0.18888644849549746,0.11232799775344005,0.1817345799303716,0.2974941836073077,0.1757015141336365,0.22935779816513768,0.16593207155820586,0.12790995139421849,0.1442561100785086,0.18176020408163268,0.29374939805451217
Methanospirillaceae,0.04143574869218419,0.09869232667160127,0.08675078864353312,0.20940183909441287,0.16573894552504842,0.30342791536821395,0.17826558076129892,0.13643598878192983,0.4873625750878385,0.2240281133318691,0.08705419825891604,0.15108055439994747,0.24409779167779097,0.13435998139631028,0.22935779816513768,0.12963443090484833,0.06395497569710924,0.1109662385219297,0.15625000000000003,0.2215159395165174
Thermococcaceae,0.1087688403169835,0.13746431214973037,0.17875920084121977,0.20636702983217503,0.17199324535618232,0.22142037067410208,0.2062288091160125,0.15159554309103315,0.18134421398617248,0.1493520755545794,0.15445099691098005,0.19925116594775677,0.1449330638086884,0.16278228515322202,0.22935779816513768,0.12963443090484833,0.08953696597595293,0.13315948622631565,0.14668367346938777,0.19262255610131945
Archaeoglobaceae,0.04143574869218419,0.13746431214973037,0.1629863301787592,0.16084489089860698,0.16573894552504842,0.13121207151057898,0.13632073822922858,0.15159554309103315,0.09067210699308624,0.14495936745003293,0.08986239820275203,0.144511834643428,0.12204889583889549,0.13694382719239315,0.19113149847094804,0.16593207155820586,0.11511895625479662,0.1303853302632674,0.15306122448979595,0.15891360878358857
Methanomassiliicoccaceae,0.13984565183612163,0.10926650452927286,0.03943217665615142,0.14567084458741766,0.13134029645381196,0.1476135804494014,0.1887517913943165,0.15159554309103315,0.31735237447580184,0.19327915660004394,0.07582139848357203,0.09196207659127238,0.12204889583889549,0.0981861402511498,0.24209989806320084,0.11407829919626654,0.10232796111537479,0.06935389907620605,0.07971938775510205,0.1444669170759896
Nitrososphaeraceae,0.3729217382296577,0.5463325226463642,0.07623554153522608,0.06980061303147098,0.07505159797360685,0.05740528128587832,0.08738508860847986,0.03789888577275829,0.06800408024481468,0.048319789150010985,0.08424599831508003,0.08539335683475292,0.0724665319043442,0.0723476822903209,0.08919469928644241,0.077780658542909,0.07674597083653108,0.0859988348544955,0.09566326530612246,0.04334007512279688
Sulfolobaceae,0.12948671466307557,0.1233654083395016,0.1025236593059937,0.12442717975175259,0.07505159797360685,0.0738067902247007,0.11534831696319342,0.07579777154551658,0.03400204012240734,0.06589062156819679,0.11513619769727605,0.09196207659127238,0.06865250390937869,0.12402459821197868,0.05096839959225282,0.07259528130671505,0.16628293681248402,0.10819208255888144,0.11160714285714288,0.08668015024559377
Candidatus Methanollivieraceae,0.005179468586523024,0.07754397095625815,0.13406940063091483,0.1213923704895147,0.08130589780474073,0.11481056257175665,0.10486210633017584,0.14401576593648147,0.1133401337413578,0.07906874588183616,0.13479359730412804,0.1269952486260428,0.08390861588924062,0.11110536923156424,0.0764525993883792,0.077780658542909,0.025581990278843697,0.08322467889144726,0.11798469387755102,0.05297120292786286
Thermoproteaceae,0.09840990314393745,0.10574177857671566,0.13144058885383808,0.12746198901399045,0.09694164738257549,0.09840905363293427,0.10486210633017584,0.12127643447282652,0.06800408024481468,0.06149791346365034,0.09828699803426004,0.08539335683475292,0.06865250390937869,0.09043460286290113,0.0382262996941896,0.08815141301529686,0.025581990278843697,0.11651455044802617,0.08609693877551022,0.12038909756332467
Desulfurococcaceae,0.062153623038276276,0.07401924500370095,0.15509989484752892,0.09711389639161178,0.09381449746700854,0.04100377234705594,0.08039428151980148,0.11369665731827486,0.12467414711549359,0.0834614539863826,0.08705419825891604,0.08101421033040662,0.08772264388420613,0.08009921967856957,0.08919469928644241,0.06740990407052112,0.051163980557687394,0.09154714678059199,0.09566326530612246,0.12038909756332467
Thermofilaceae,0.020717874346092097,0.08106869690881534,0.120925341745531,0.05766137598251948,0.09694164738257549,0.0738067902247007,0.10136670278583665,0.053058440081861585,0.06800408024481468,0.07906874588183616,0.09267059814658804,0.0766350638260603,0.07628055989930968,0.06459614490207223,0.012742099898063205,0.046668395125745395,0.025581990278843697,0.05270896329791659,0.09247448979591838,0.07704902244052779
Candidatus Fermentimicrarchaeaceae,0.020717874346092097,0.03877198547812907,0.03154574132492114,0.05766137598251948,0.0781787478891738,0.016401508938822373,0.04893564962074873,0.04547866292730995,0.12467414711549359,0.18010103228640456,0.050547598989048016,0.06787677081736769,0.10679278385903351,0.08268306547465246,0.063710499490316,0.05703914959813327,0.03837298541826554,0.03883818348267539,0.06696428571428573,0.08186458634306078
Halobacteriaceae,0.1087688403169835,0.049346163335800636,0.03680336487907466,0.05766137598251948,0.08443304772030769,0.09020829916352308,0.05942186025376631,0.08337754870006824,0.12467414711549359,0.052712497254557435,0.04212299915754002,0.0547393313043288,0.0724665319043442,0.03100614955299467,0.11467889908256884,0.08296603577910293,0.03837298541826554,0.03883818348267539,0.03188775510204082,0.019262255610131947
Nitrosopumilaceae,0.4816905785466412,0.16566211977018785,0.02891692954784437,0.02124366483566508,0.034398649071236465,0.04100377234705594,0.05243105316508792,0.015159554309103315,0.06800408024481468,0.048319789150010985,0.03650659926986801,0.028464452278250976,0.03814027994965484,0.023254612164746002,0.012742099898063205,0.06740990407052112,0.0,0.033289871556578914,0.03188775510204082,0.028893383415197923
Others,0.9219454084010983,0.5780550562193789,0.5152471083070452,0.8527814026888408,0.6535743323534929,0.7052648843693622,0.6571358663357686,0.5533237322822709,1.122067324039442,0.5974083022183176,0.4942431901151362,0.6021326443476168,0.7055951790686145,0.5555268461578212,0.8027522935779817,0.6637282862328234,0.3581478639038117,0.5132188531639248,0.5293367346938778,0.6452855629394203
