__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Unclassified,19.50677189466692,19.0791438164114,13.7896468411042,18.308744093221947,16.624723021546668,17.99163179916318,16.59105131414268,17.241643374047552,22.04790302400026,17.95479540369373,15.392795427356107,19.35486631016043,19.784871077974525,16.660834155187224,20.916302412174197,20.438648586228513,18.282890673255096,19.784250269687163,16.494228603603602,16.196306499336803
Acidobacteria bacterium,21.74661968183916,15.450049888206719,3.549581041484604,5.9566712573912035,4.366483852532159,4.4775823434928315,4.039228723404255,3.792548914500133,5.753075185648592,5.800371648526678,3.910673933271301,3.018609625668449,3.7597079838459146,4.442783062386664,5.966353677621283,5.854696624764921,7.770228536133415,14.25109949381794,8.54272240990991,5.005611672278339
Dehalococcoidia bacterium,0.20546480078358081,1.520679936201359,8.150413817920116,3.7201362373102205,6.3176153283134635,6.504194015348312,6.049554130162703,7.010759275567638,0.7596561641832275,4.816261519208162,5.609464309451017,3.401069518716578,2.1994408201304756,4.523907994782554,0.661054449301171,1.6966907519218712,1.5812229771463866,2.350012447099826,5.884009009009009,5.242322212019182
Deltaproteobacteria bacterium,2.0000450333809936,2.9554210637476603,3.5084562792371354,3.657460477160458,3.354823184976488,3.5455789327569454,3.2491786608260327,3.442202396906229,3.485481223899514,4.146914937995374,3.6847002525588195,4.489411764705882,4.7087604846225535,3.418381955269939,4.947790189412336,4.738691477778877,4.681902408894379,3.6743838685586256,3.9643158783783785,3.1731455973880216
Chloroflexi bacterium,3.644889274174481,3.286066988573052,4.5674189071094435,2.3346720655786375,3.2435304851760125,2.2863828352733546,3.3694461827284106,2.641957345790098,1.7866138021806601,2.766506124616026,3.865479197128805,2.339251336898396,2.5100963031997514,3.219546336652562,1.93459608224057,2.1247814180606417,1.9641754169240273,2.036345531491163,3.2956784909909906,4.1036628915416795
bacterium,0.6225864922373708,1.4587748621701735,5.089189328124196,1.9784098499905163,2.494560694626869,1.6458783636399692,2.264549436795995,2.0714477160470186,1.238198924294373,2.224202662216997,4.830519739465639,2.5916577540106953,1.8779123951537746,3.2211370216015016,1.1892234633856782,1.429443399650269,3.3230389129092033,2.5259314579702927,2.588330518018018,2.7201305989184776
Deltaproteobacteria bacterium RBG_19FT_COMBO_46_12,0.18801436564853694,1.0684087482794031,1.4573587621446564,2.238184382190188,2.1025296529873567,1.760891550496738,1.7414346057571966,1.8321399854500895,0.876651338132302,2.4593272403200728,1.815764987372059,2.397433155080214,2.410686548617583,2.3112652308083863,1.7767524688360046,2.04229766735953,4.212476837554046,1.9334495062650403,2.1889076576576576,2.0446893174165903
Deltaproteobacteria bacterium RBG_16_47_11,0.18519977933643308,1.0188846890544545,1.3416953683236519,2.343743557179261,1.9070154506351706,1.4872394852168396,1.5859668335419272,1.5047670099934907,0.8847760029898767,1.9795972543517004,1.6589126678186894,2.07572192513369,1.9664492078285183,2.2508192027487035,1.8759106362311804,2.033224454782408,4.4224830142063,1.9284706663347442,2.0938907657657655,1.8324660748903172
Deltaproteobacteria bacterium RBG_16_49_23,0.19476937279758616,0.9708172198067105,1.298000308435717,1.7244080851730594,1.4959343072280096,1.048999583572944,1.2916536295369212,1.2750315886204389,0.5589769422011343,1.7861883272023964,1.775887279011033,1.3972192513368984,1.3567878223050638,1.9135939935736326,1.0361016674761212,1.4277937246362467,4.187770228536134,1.7259978425026967,2.0076717342342345,1.7875726966636059
Deltaproteobacteria bacterium RBG_16_48_10,0.16099433705234004,0.8717691013568136,1.20803989101938,1.8266685359437238,1.4578341036927118,1.2096214479763627,1.2007196495619523,1.1946241911398707,0.6719097837214215,1.672418370055747,1.480792237139439,1.5298395721925133,1.5105622864243555,1.919956733369389,1.3821434353245912,1.6117324886997262,3.5083384805435456,1.593228777694797,1.8862612612612615,1.552902765023977
Candidatus Aminicenantes bacterium,0.09682176913637232,0.8572032015847698,5.00693980362926,1.1339364500779323,1.1389955583183775,0.7118919669237939,0.9807180851063829,1.0165792395757551,0.37129718399116035,0.7300238916910007,4.8464708228100495,1.9875935828877007,0.8395464429947189,2.9841249642095886,0.6131617289946576,0.6846151308192285,0.35824583075972827,1.0422371587420132,0.7442989864864865,1.2529333741454953
Verrucomicrobia bacterium,0.8989788680859687,1.1383250671852128,0.8122140543874982,0.9747730065397208,1.5520819755958168,1.3246346348331317,1.6945009386733416,1.6521805720411988,2.2391576347475666,1.2666388562326973,0.8214807922371394,0.9095187165775401,1.1797141969555762,1.204148506346833,1.3463925314338134,1.2380810980236894,0.5558987029030266,0.8480624014604597,1.0135135135135136,1.087644117947148
Deltaproteobacteria bacterium SM23_61,0.12046429415804463,0.5236440968049699,1.6090063229321956,1.311242876817391,1.051766144961248,0.799143350056515,0.8868507509386734,0.8442776735459661,0.42329503907963795,1.3804088133793468,1.2149408480659312,0.7914438502673796,1.023609816713265,1.2375528902745523,0.9794398575360207,0.8042165693358407,1.3218035824583076,1.1550908638287278,1.5730574324324325,1.1549841852872156
Anaerolineae bacterium,0.7317924411470002,0.5899189407677686,0.7608081015781628,0.646549946808072,0.9244312541985421,0.7951773780959369,1.2232086983729662,0.9687176934563693,0.9026502656765408,0.8134551935985436,1.0846736674199122,0.7854545454545454,1.2333022677850265,1.3918493303216366,1.4651125141654524,1.3362367613580124,0.49413218035824585,0.7335490830636462,1.0891751126126126,1.3957759412304866
Anaerolineales bacterium,0.4069891807302163,0.5673417961211009,2.087081684059014,0.6086146182963739,0.6918194852461975,0.5334232286977731,0.7792944305381727,0.6930351878087069,0.465543296339026,0.6352155940687929,1.5313040010634056,0.7803208556149733,0.8154706430568499,1.1118887793083703,0.5200744698073498,0.5559404797254941,0.5682520074119828,0.7252510165131524,0.7671734234234234,1.2141618202224262
