__taxon__,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
Candidatus Bathyarchaeota archaeon,8.499507950484281,34.67977864721018,47.9968454258675,35.510303177445294,27.72218400150103,30.375594554699028,33.79705687021567,30.463124384143107,15.176243907967812,36.60443663518559,43.80791912384161,37.148299796369685,26.81643083260231,40.07544829724562,18.11926605504587,27.005444646098002,26.80992581222819,40.16145587704941,39.652423469387756,38.09111046903592
Unclassified,14.704511317138861,9.160762750696133,7.747108307045214,10.3942217231647,11.90193257864782,13.523044120059048,10.933622286693,11.278708405972864,18.16842343873966,10.274544256534153,7.455770850884582,9.283790589214162,12.170563331934856,8.562864968218696,12.347094801223243,10.562613430127042,9.004860578152982,8.042278136876856,8.440688775510203,10.069344120196476
Euryarchaeota archaeon,19.24690526751955,10.408515737901377,0.6203995793901156,5.568874996206488,6.3168428294452434,1.5417418402493026,2.146177776224265,2.804517547184113,1.972118327099626,1.396881177245772,3.2884021342319567,2.977819622955486,5.625691292574087,5.942845330990647,14.615188583078492,13.041223749027742,18.380660015349196,5.523344522429052,6.1957908163265305,6.332466531830878
Candidatus Bathyarchaeota archaeon CG07_land_8_20_14_0_80_47_9,0.10358937173046046,2.763385146804836,2.6945320715036796,3.113714303056053,4.2967039839889924,6.273577169099558,6.0680205529728415,6.480709467141665,2.232800634704749,6.751592356687898,3.7629879247402407,3.812047032033457,3.95133300278424,3.945532530618573,2.331804281345566,3.5208711433756803,2.724481964696854,3.881044192304492,3.638392857142857,3.972840219589715
uncultured archaeon,13.067799243797587,2.224102076063586,0.538906414300736,3.156201632727383,4.4843329789230095,3.7231425291126783,3.6212380719354056,5.21488668233154,5.655672673693755,2.6356248627278718,0.8368435832631282,2.3910139913730815,4.511995118044167,1.4417859542142526,4.345056065239551,3.334197562872699,6.472243540547456,3.2346658529142513,2.407525510204082,1.6565539824713478
Candidatus Bathyarchaeota archaeon BA2,0.046615217278707204,4.776003665714991,10.856992639327023,3.365603471821796,0.919382075176684,0.5658520583893717,1.1325107483658992,0.4547866292730993,0.4873625750878386,1.453986382604876,8.33473743330525,6.778918788728077,1.2891414622983333,5.167691592165779,0.31855249745158,0.928182525278714,1.3174724993604505,4.937997614225873,3.4470663265306123,3.019358566888183
Candidatus Bathyarchaeota archaeon RBG_13_46_16b,0.07769202879784534,1.6178492122237498,1.4589905362776023,2.12133167430427,2.9176308712239662,4.28899458750205,3.4849173337061763,4.456908966876374,1.5754278590048736,4.537667471996485,1.9882055602358883,2.386634844868735,3.131316983866662,2.5011627306082374,2.025993883792049,2.5460202229712214,1.6372473778459968,2.3302910089605238,2.5382653061224487,2.431859770779159
archaeon,4.076241777593618,2.372140566070988,2.171398527865405,1.3595945494825652,2.0670460941897555,1.9681810726586844,2.2685169002761367,2.2208747062836354,2.266802674827156,2.218317592795959,3.1592249368155003,1.979374219964529,1.4455166100919181,2.067076636866312,1.3506625891946993,1.8615504277936221,1.8291123049373244,2.480095430965129,2.42984693877551,1.8780699219878652
Thermoplasmata archaeon,0.23825555498005907,0.7014204645588805,0.6125131440588854,1.7753634184091531,3.4930264556882853,2.14859767098573,2.338424971162921,3.5321761540210717,3.8875665873285734,2.424774873709642,0.6065711878685761,2.4457533226774104,4.164918570502307,1.3926928840886774,4.077471967380224,2.1830438164376456,0.42210283960092104,0.6602491192054818,0.8227040816326531,1.0016372917268614
archaeon RBG_16_50_20,0.46615217278707205,1.2230799055373445,1.3354363827549947,1.7359108980000606,1.5760835574457441,1.025094308676398,1.422629242546052,0.8413552641552339,2.39147682194265,1.739512409400395,2.7239539455209205,1.8392415318254474,0.7589915709981312,1.3177613560022738,1.337920489296636,1.623023074928701,2.877973906369916,3.720143146447694,3.1377551020408165,0.8138302995280746
