MAG_ID,lake_season_group,abundance,taxonomy_label,display_label
MAG.1,AM-D,0.140896,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,AM-R,0.201624,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,TI-D,0.02906875,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,TI-R,0.02709825,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,TIA-D,0.035179,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,TIA-R,0.062866,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,VI-D,0.0107955,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.1,VI-R,0.032167,Thermoplasmata RBG-16-68-12,MAG.1 — Thermoplasmata RBG-16-68-12
MAG.2,AM-D,0.227391,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,AM-R,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,TI-D,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,TI-R,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,TIA-D,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,TIA-R,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,VI-D,0.053274,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.2,VI-R,0.0,Candidatus Methanoperedens nitroreducens strain ANME-2d,MAG.2 — Candidatus Methanoperedens nitroreducens strain ANME-2d
MAG.3,AM-D,0.266213,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,AM-R,0.028319999999999998,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,TI-D,0.0,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,TI-R,0.0,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,TIA-D,0.29664250000000003,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,TIA-R,0.24831350000000002,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,VI-D,0.0148695,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.3,VI-R,0.034577,Candidatus Aminicenantes bacterium,MAG.3 — Candidatus Aminicenantes bacterium
MAG.4,AM-D,0.058944,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,AM-R,0.0,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,TI-D,0.0109775,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,TI-R,0.00627825,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,TIA-D,0.0,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,TIA-R,0.0,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,VI-D,0.037606,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
MAG.4,VI-R,0.4033815,Acidobacteria bacterium UBA7541,MAG.4 — Acidobacteria bacterium UBA7541
