KO,Metabolism,KO description,amazonian_mean_relative_abundance,external_mean_relative_abundance,amazonian_mean_percent,external_mean_percent,amazonian_detection_fraction,external_detection_fraction,log2_amazonian_over_external,absolute_log2_contrast,favoured_group,display_label,comparison_method,pseudocount_relative_abundance,n_amazonian_samples,n_external_records,panel,external_contrast_magnitude
K07306: dmsA,Anaerobic oxidative phosphorylation,anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] (dmsA),0.008139964612496008,0.0011594589331985704,0.8139964612496008,0.11594589331985704,0.95,0.34328358208955223,2.811287102053207,2.811287102053207,Amazonian lakes,K07306: dmsA | Anaerobic oxidative phosphorylation,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K05384: cpeU,Oxygenic photosynthesis (Plants and Cyanobacteria),bilin biosynthesis protein,0.0007493203861673786,0.00010454991020559224,0.07493203861673786,0.010454991020559225,0.8,0.2537313432835821,2.8382381266737555,2.8382381266737555,Amazonian lakes,K05384: cpeU | Oxygenic photosynthesis,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00580: mtrD,Methanogenesis (acetate; CO2),tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86],0.0007120703224684069,8.99951815212221e-05,0.07120703224684069,0.008999518152122209,0.85,0.2537313432835821,2.98038228220105,2.98038228220105,Amazonian lakes,K00580: mtrD | Methanogenesis (acetate; CO2),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00579: mtrC ,Methanogenesis (acetate; CO2),tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86],0.0008077819593954478,9.829955032478442e-05,0.08077819593954477,0.009829955032478441,0.95,0.22388059701492538,3.0352867117196674,3.0352867117196674,Amazonian lakes,K00579: mtrC | Methanogenesis (acetate; CO2),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K10535: hao,"Nitrogen: Nitrification; Complete nitrification, comammox (oxidation pathways)",hydroxylamine dehydrogenase [EC:1.7.2.6] (hao),0.006801657449858399,0.0008097787796225871,0.6801657449858399,0.0809778779622587,1.0,0.4626865671641791,3.069869347196482,3.069869347196482,Amazonian lakes,"K10535: hao | N: Nitrification; Complete nitrification, c…",Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K03421: mcrC,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),methyl-coenzyme M reductase subunit C (mcrC),0.0008621312234906361,0.00010112507306550869,0.08621312234906361,0.010112507306550868,0.9,0.2537313432835821,3.088423061614148,3.088423061614148,Amazonian lakes,K03421: mcrC | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K08264: hdrD,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),heterodisulfide reductase subunit D [EC:1.8.98.1] (hdrD),0.019555427513118243,0.002275479354058011,1.9555427513118242,0.22754793540580112,1.0,0.417910447761194,3.103177711412228,3.103177711412228,Amazonian lakes,K08264: hdrD | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00402: mcrG,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1],0.0010095967460745413,0.00010417414870799229,0.10095967460745413,0.01041741487079923,0.95,0.2537313432835821,3.273412051463518,3.273412051463518,Amazonian lakes,K00402: mcrG | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K22015: fdhF,Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) ,formate dehydrogenase (hydrogenase) [EC:1.17.98.4],0.00021405030963554108,1.755926251097454e-05,0.02140503096355411,0.001755926251097454,0.5,0.014925373134328358,3.5877532995084307,3.5877532995084307,Amazonian lakes,K22015: fdhF | reductive acetyl-CoA pathway (Wood-Ljungdah…,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00581: mtrE,Methanogenesis (acetate; CO2),tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86] (mtrE),0.0011733449491870243,9.199359486596658e-05,0.11733449491870243,0.009199359486596658,1.0,0.2537313432835821,3.669112804923859,3.669112804923859,Amazonian lakes,K00581: mtrE | Methanogenesis (acetate; CO2),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00196: cooF,Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) ,anaerobic carbon-monoxide dehydrogenase iron sulfur subunit (cooF),0.014220049946210445,0.0011118259780711888,1.4220049946210445,0.11118259780711888,1.0,0.34328358208955223,3.67660561051336,3.67660561051336,Amazonian lakes,K00196: cooF | reductive acetyl-CoA pathway (Wood-Ljungdah…,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00578: mtrB ,Methanogenesis (acetate; CO2),tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86],0.0006353087592168166,4.856810560927734e-05,0.06353087592168166,0.0048568105609277335,0.85,0.13432835820895522,3.7021033822876293,3.7021033822876293,Amazonian lakes,K00578: mtrB | Methanogenesis (acetate; CO2),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00401: mcrB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),methyl-coenzyme M reductase beta subunit [EC:2.8.4.1] (mcrB),0.001792671871196873,0.00012265211648421776,0.17926718711968728,0.012265211648421776,1.0,0.2537313432835821,3.866557040582454,3.866557040582454,Amazonian lakes,K00401: mcrB | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K15022: fdhB,Carbon Fixation: reductive acetyl-CoA pathway (Wood-Ljungdahl pathway) ,formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10],0.014530444941935708,0.0009704129614215735,1.4530444941935707,0.09704129614215734,1.0,0.417910447761194,3.903967386466562,3.903967386466562,Amazonian lakes,K15022: fdhB | reductive acetyl-CoA pathway (Wood-Ljungdah…,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00582: mtrF,Methanogenesis (acetate; CO2),tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86] (mtrF),0.0003737118531850607,2.447992931932153e-05,0.03737118531850607,0.002447992931932153,0.7,0.14925373134328357,3.917694759251378,3.917694759251378,Amazonian lakes,K00582: mtrF | Methanogenesis (acetate; CO2),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00399: mcrA,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1] (mcrA),0.002149062663843703,0.00013894826787716317,0.2149062663843703,0.013894826787716317,1.0,0.26865671641791045,3.9485080242174195,3.9485080242174195,Amazonian lakes,K00399: mcrA | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K05884: comC,"Methanogenesis: Coenzyme M (mercaptoethane sulfonate, CoM) biosynthesis",L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337],0.0063689900475726886,0.00038261071862371985,0.6368990047572689,0.03826107186237199,1.0,0.417910447761194,4.056173355991664,4.056173355991664,Amazonian lakes,K05884: comC | Methanogenesis: Coenzyme M (mercaptoethane…,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),0.0075747402542611,0.00037941974773254047,0.75747402542611,0.03794197477325405,1.0,0.2537313432835821,4.318369663920577,4.318369663920577,Amazonian lakes,K00125: fdhB | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K23349: dmsD,Anaerobic oxidative phosphorylation,putative dimethyl sulfoxide reductase chaperone,0.0006555729235012467,1.755926251097454e-05,0.06555729235012467,0.001755926251097454,0.7,0.014925373134328358,5.2013536025482825,5.2013536025482825,Amazonian lakes,K23349: dmsD | Anaerobic oxidative phosphorylation,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K12264: norV,Nitrogen: Denitrification (reduction pathway),anaerobic nitric oxide reductase flavorubredoxin (norV),0.006502227149763814,4.5352911673016636e-05,0.6502227149763814,0.004535291167301663,1.0,0.208955223880597,7.155220048392852,7.155220048392852,Amazonian lakes,K12264: norV | N: Denitrification (reduction pathway),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K22481: hdrB1,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),heterodisulfide reductase subunit B1 [EC:1.8.7.3],0.0001868234641160049,0.0,0.01868234641160049,0.0,0.35,0.0,9.458588850378634,9.458588850378634,Amazonian lakes,K22481: hdrB1 | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K22482: hdrC1,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),heterodisulfide reductase subunit C1 [EC:1.8.7.3],0.00021448880454549992,0.0,0.02144888045454999,0.0,0.4,0.0,9.657551034619187,9.657551034619187,Amazonian lakes,K22482: hdrC1 | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K22480: hdrA1,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),heterodisulfide reductase subunit A1 [EC:1.8.7.3],0.0006645138474128153,0.0,0.06645138474128152,0.0,0.8,0.0,11.2877376963769,11.2877376963769,Amazonian lakes,K22480: hdrA1 | Methanogenesis: mixed substrates,Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
K22903: VnfE,Nitrogen: Nitrogen fixation (reduction pathway),nitrogenase vanadium-cofactor synthesis protein VnfE,0.0007891548542050715,0.0,0.07891548542050715,0.0,0.9,0.0,11.535655711772566,11.535655711772566,Amazonian lakes,K22903: VnfE | N: Nitrogen fixation (reduction pathway),Within-sample marker-panel relative abundance; group means; descriptive log2 ratio,2.6590723560178796e-07,20,67,Higher in Amazonian lakes,
