domain,taxonomic_level,sample_or_group,original_taxon,original_relative_abundance,displayed_percentage,sum_before,sum_after,validation_status
Bacteria,Phylum,AM.P1.D,Unclassified,3.915089560136451,3.915089560136451,100.0,100.00000000000001,PASS
Bacteria,Phylum,AM.P1.R,Unclassified,4.901425273292694,4.901425273292694,100.00000000000003,99.99999999999999,PASS
Bacteria,Phylum,AM.P2.D,Unclassified,9.397008173546496,9.397008173546496,100.00000000000001,100.0,PASS
Bacteria,Phylum,AM.P2.R,Unclassified,5.275484706289842,5.275484706289842,99.99999999999999,100.0,PASS
Bacteria,Phylum,TIA.P1.D,Unclassified,7.696241114130162,7.696241114130162,100.00000000000001,99.99999999999999,PASS
Bacteria,Phylum,TIA.P1.R,Unclassified,5.26879374962819,5.26879374962819,99.99999999999999,100.0,PASS
Bacteria,Phylum,TIA.P2.D,Unclassified,6.144399249061327,6.144399249061327,100.0,100.0,PASS
Bacteria,Phylum,TIA.P2.R,Unclassified,6.091817590075429,6.091817590075429,99.99999999999999,99.99999999999999,PASS
Bacteria,Phylum,TI.P1.D,Unclassified,4.3686322939178766,4.3686322939178766,100.0,100.0,PASS
Bacteria,Phylum,TI.P1.R,Unclassified,5.726421176381357,5.726421176381357,99.99999999999999,99.99999999999999,PASS
Bacteria,Phylum,TI.P2.D,Unclassified,8.786388408879436,8.786388408879436,100.0,100.0,PASS
Bacteria,Phylum,TI.P2.R,Unclassified,6.572834224598931,6.572834224598931,100.0,100.0,PASS
Bacteria,Phylum,TI.P3.D,Unclassified,5.611991301646474,5.611991301646474,99.99999999999999,100.0,PASS
Bacteria,Phylum,TI.P3.R,Unclassified,7.306015970476887,7.306015970476887,99.99999999999999,100.00000000000001,PASS
Bacteria,Phylum,TI.P4.D,Unclassified,4.371728455021316,4.371728455021316,100.0,100.0,PASS
Bacteria,Phylum,TI.P4.R,Unclassified,5.435679171203273,5.435679171203273,99.99999999999999,100.0,PASS
Bacteria,Phylum,VI.P1.D,Unclassified,7.831995058678197,7.831995058678197,99.99999999999999,100.0,PASS
Bacteria,Phylum,VI.P1.R,Unclassified,7.307277404364783,7.307277404364783,100.00000000000003,100.0,PASS
Bacteria,Phylum,VI.P2.D,Unclassified,6.6441441441441444,6.6441441441441444,100.0,100.0,PASS
Bacteria,Phylum,VI.P2.R,Unclassified,6.936026936026936,6.936026936026936,100.0,100.00000000000003,PASS
Bacteria,Genus,AM.P1.D,Unclassified,74.86743298469992,74.86743298469992,99.99999999999997,100.0000000000007,PASS
Bacteria,Genus,AM.P1.R,Unclassified,76.95820315060412,76.95820315060412,99.99999999999997,99.99999999999982,PASS
Bacteria,Genus,AM.P2.D,Unclassified,86.09726006271526,86.09726006271526,100.0,100.00000000000021,PASS
Bacteria,Genus,AM.P2.R,Unclassified,78.92115224436948,78.92115224436948,99.99999999999997,100.0000000000005,PASS
Bacteria,Genus,TIA.P1.D,Unclassified,84.48519606565267,84.48519606565267,100.00000000000001,99.99999999999956,PASS
Bacteria,Genus,TIA.P1.R,Unclassified,78.10981776358841,78.10981776358841,100.0,99.99999999999957,PASS
Bacteria,Genus,TIA.P2.D,Unclassified,81.16786608260325,81.16786608260325,100.0,100.00000000000045,PASS
Bacteria,Genus,TIA.P2.R,Unclassified,81.00088065244859,81.00088065244859,100.0,99.99999999999957,PASS
Bacteria,Genus,TI.P1.D,Unclassified,66.77987033034888,66.77987033034888,100.00000000000001,100.00000000000077,PASS
Bacteria,Genus,TI.P1.R,Unclassified,82.31635632750579,82.31635632750579,99.99999999999999,100.00000000000074,PASS
Bacteria,Genus,TI.P2.D,Unclassified,85.98697328193539,85.98697328193539,100.00000000000001,99.9999999999996,PASS
Bacteria,Genus,TI.P2.R,Unclassified,78.66695187165776,78.66695187165776,99.99999999999997,99.99999999999937,PASS
Bacteria,Genus,TI.P3.D,Unclassified,77.34001242621932,77.34001242621932,100.00000000000001,100.0000000000006,PASS
Bacteria,Genus,TI.P3.R,Unclassified,85.41978175802501,85.41978175802501,100.0,99.99999999999966,PASS
Bacteria,Genus,TI.P4.D,Unclassified,72.86371485618693,72.86371485618693,100.0,99.99999999999926,PASS
Bacteria,Genus,TI.P4.R,Unclassified,76.76927645253885,76.76927645253885,99.99999999999999,99.99999999999956,PASS
Bacteria,Genus,VI.P1.D,Unclassified,87.16491661519457,87.16491661519457,100.00000000000004,99.9999999999999,PASS
Bacteria,Genus,VI.P1.R,Unclassified,85.9613310098747,85.9613310098747,100.0,99.99999999999923,PASS
Bacteria,Genus,VI.P2.D,Unclassified,86.13809121621621,86.13809121621621,100.0,99.99999999999955,PASS
Bacteria,Genus,VI.P2.R,Unclassified,84.83420059177635,84.83420059177635,100.0,100.00000000000028,PASS
Archaea,Phylum,AM.P1.D,Unclassified,22.535867819961673,22.535867819961673,100.0,99.99999999999999,PASS
Archaea,Phylum,AM.P1.R,Unclassified,7.807267984914174,7.807267984914174,100.0,100.0,PASS
Archaea,Phylum,AM.P2.D,Unclassified,6.309148264984227,6.309148264984227,100.0,100.00000000000001,PASS
Archaea,Phylum,AM.P2.R,Unclassified,8.764529149342964,8.764529149342964,99.99999999999999,100.0,PASS
Archaea,Phylum,TIA.P1.D,Unclassified,11.23584964663206,11.23584964663206,100.00000000000001,100.0,PASS
Archaea,Phylum,TIA.P1.R,Unclassified,9.111038215515828,9.111038215515828,100.00000000000001,100.0,PASS
Archaea,Phylum,TIA.P2.D,Unclassified,10.126184067950645,10.126184067950645,100.0,99.99999999999999,PASS
Archaea,Phylum,TIA.P2.R,Unclassified,11.013416205563557,11.013416205563557,100.00000000000001,100.00000000000001,PASS
Archaea,Phylum,TI.P1.D,Unclassified,14.3488609316559,14.3488609316559,100.0,100.0,PASS
Archaea,Phylum,TI.P1.R,Unclassified,9.31254118163848,9.31254118163848,100.0,100.0,PASS
Archaea,Phylum,TI.P2.D,Unclassified,8.89076102218478,8.89076102218478,100.0,100.00000000000001,PASS
Archaea,Phylum,TI.P2.R,Unclassified,8.495544218431828,8.495544218431828,100.0,100.0,PASS
Archaea,Phylum,TI.P3.D,Unclassified,9.275716083756055,9.275716083756055,100.0,100.0,PASS
Archaea,Phylum,TI.P3.R,Unclassified,7.079737481267117,7.079737481267117,100.0,100.0,PASS
Archaea,Phylum,TI.P4.D,Unclassified,9.722222222222223,9.722222222222223,100.0,100.00000000000001,PASS
Archaea,Phylum,TI.P4.R,Unclassified,9.54627949183303,9.54627949183303,100.0,100.0,PASS
Archaea,Phylum,VI.P1.D,Unclassified,13.788692760296751,13.788692760296751,99.99999999999999,100.0,PASS
Archaea,Phylum,VI.P1.R,Unclassified,11.976031292479263,11.976031292479263,100.0,99.99999999999999,PASS
Archaea,Phylum,VI.P2.D,Unclassified,10.644132653061225,10.644132653061225,99.99999999999999,100.00000000000001,PASS
Archaea,Phylum,VI.P2.R,Unclassified,6.399884426466339,6.399884426466339,100.00000000000001,100.0,PASS
Archaea,Genus,AM.P1.D,Unclassified,84.81897757290102,84.81897757290102,100.00000000000001,100.0,PASS
Archaea,Genus,AM.P1.R,Unclassified,90.1871629480808,90.1871629480808,100.0,100.00000000000003,PASS
Archaea,Genus,AM.P2.D,Unclassified,94.67665615141956,94.67665615141956,99.99999999999999,100.00000000000003,PASS
Archaea,Genus,AM.P2.R,Unclassified,88.48593365906953,88.48593365906953,100.0,99.99999999999999,PASS
Archaea,Genus,TIA.P1.D,Unclassified,87.93545562574269,87.93545562574269,100.0,100.00000000000001,PASS
Archaea,Genus,TIA.P1.R,Unclassified,80.89224208627193,80.89224208627193,99.99999999999996,100.0,PASS
Archaea,Genus,TIA.P2.D,Unclassified,88.32185675836274,88.32185675836274,100.0,100.00000000000001,PASS
Archaea,Genus,TIA.P2.R,Unclassified,87.85719699840826,87.85719699840826,100.0,100.00000000000003,PASS
Archaea,Genus,TI.P1.D,Unclassified,72.92304204918962,72.92304204918962,100.00000000000001,100.00000000000001,PASS
Archaea,Genus,TI.P1.R,Unclassified,89.19833077092028,89.19833077092028,100.00000000000001,100.0,PASS
Archaea,Genus,TI.P2.D,Unclassified,94.25442291491154,94.25442291491154,100.00000000000003,100.0,PASS
Archaea,Genus,TI.P2.R,Unclassified,90.45565019377723,90.45565019377723,99.99999999999997,99.99999999999997,PASS
Archaea,Genus,TI.P3.D,Unclassified,84.8735649719669,84.8735649719669,100.00000000000001,100.00000000000001,PASS
Archaea,Genus,TI.P3.R,Unclassified,92.31822644824557,92.31822644824557,99.99999999999997,99.99999999999999,PASS
Archaea,Genus,TI.P4.D,Unclassified,85.33384301732926,85.33384301732926,99.99999999999999,100.00000000000003,PASS
Archaea,Genus,TI.P4.R,Unclassified,90.13741249675914,90.13741249675914,100.0,100.0,PASS
Archaea,Genus,VI.P1.D,Unclassified,92.46610386288053,92.46610386288053,100.0,100.00000000000001,PASS
Archaea,Genus,VI.P1.R,Unclassified,92.90648320248565,92.90648320248565,99.99999999999999,100.00000000000001,PASS
Archaea,Genus,VI.P2.D,Unclassified,92.07589285714286,92.07589285714286,100.00000000000001,100.00000000000001,PASS
Archaea,Genus,VI.P2.R,Unclassified,88.78936723490321,88.78936723490321,100.00000000000001,100.0,PASS
