Module_id,Completeness,AM.P1.D,AM.P1.R ,AM.P2.D,AM.P2.R,TIA.P1.D ,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D ,TI.P2.R ,TI.P3.D,TI.P3.R,TI.P4.D ,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R 
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00002,"Glycolysis, core module involving three-carbon compounds",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00004,Pentose phosphate pathway (Pentose phosphate cycle),COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00005,"PRPP biosynthesis, ribose 5P => PRPP",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING,1 BLOCK MISSING
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,1 BLOCK MISSING,1 BLOCK MISSING,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE
