Module_id,Module_name,Sample,KEMET_like_status_3state
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid Mine Drainage 2010484004,INCOMPLETE
M00002,"Glycolysis, core module involving three-carbon compounds",Acid Mine Drainage 2010484004,INCOMPLETE
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Acid Mine Drainage 2010484004,INCOMPLETE
M00004,Pentose phosphate pathway (Pentose phosphate cycle),Acid Mine Drainage 2010484004,INCOMPLETE
M00005,"PRPP biosynthesis, ribose 5P => PRPP",Acid Mine Drainage 2010484004,COMPLETE
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",Acid Mine Drainage 2010484004,INCOMPLETE
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",Acid Mine Drainage 2010484004,INCOMPLETE
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",Acid Mine Drainage 2010484004,INCOMPLETE
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",Acid Mine Drainage 2010484004,INCOMPLETE
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Acid Mine Drainage 2010484004,INCOMPLETE
M00012,Glyoxylate cycle,Acid Mine Drainage 2010484004,INCOMPLETE
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00014,Glucuronate pathway (uronate pathway),Acid Mine Drainage 2010484004,INCOMPLETE
M00015,"Proline biosynthesis, glutamate => proline",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00017,"Methionine biosynthesis, apartate => homoserine => methionine",Acid Mine Drainage 2010484004,INCOMPLETE
M00018,"Threonine biosynthesis, aspartate => homoserine => threonine",Acid Mine Drainage 2010484004,INCOMPLETE
M00019,"Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00020,"Serine biosynthesis, glycerate-3P => serine",Acid Mine Drainage 2010484004,INCOMPLETE
M00021,"Cysteine biosynthesis, serine => cysteine",Acid Mine Drainage 2010484004,INCOMPLETE
M00022,"Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",Acid Mine Drainage 2010484004,INCOMPLETE
M00023,"Tryptophan biosynthesis, chorismate => tryptophan",Acid Mine Drainage 2010484004,INCOMPLETE
M00024,"Phenylalanine biosynthesis, chorismate => phenylalanine",Acid Mine Drainage 2010484004,INCOMPLETE
M00025,"Tyrosine biosynthesis, chorismate => tyrosine",Acid Mine Drainage 2010484004,INCOMPLETE
M00026,"Histidine biosynthesis, PRPP => histidine",Acid Mine Drainage 2010484004,INCOMPLETE
M00027,GABA (gamma-Aminobutyrate) shunt,Acid Mine Drainage 2010484004,INCOMPLETE
M00028,"Ornithine biosynthesis, glutamate => ornithine",Acid Mine Drainage 2010484004,INCOMPLETE
M00029,Urea cycle,Acid Mine Drainage 2010484004,INCOMPLETE
M00030,"Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00031,"Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",Acid Mine Drainage 2010484004,INCOMPLETE
M00032,"Lysine degradation, lysine => saccharopine => acetoacetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00033,"Ectoine biosynthesis, aspartate => ectoine",Acid Mine Drainage 2010484004,INCOMPLETE
M00034,Methionine salvage pathway,Acid Mine Drainage 2010484004,INCOMPLETE
M00035,Methionine degradation,Acid Mine Drainage 2010484004,INCOMPLETE
M00036,"Leucine degradation, leucine => acetoacetate + acetyl-CoA",Acid Mine Drainage 2010484004,INCOMPLETE
M00037,"Melatonin biosynthesis, tryptophan => serotonin => melatonin",Acid Mine Drainage 2010484004,INCOMPLETE
M00038,"Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate",Acid Mine Drainage 2010484004,INCOMPLETE
M00039,"Monolignol biosynthesis, phenylalanine/tyrosine => monolignol",Acid Mine Drainage 2010484004,INCOMPLETE
M00040,"Tyrosine biosynthesis, prephanate => pretyrosine => tyrosine",Acid Mine Drainage 2010484004,INCOMPLETE
M00042,"Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline",Acid Mine Drainage 2010484004,INCOMPLETE
M00043,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",Acid Mine Drainage 2010484004,1 BLOCK MISSING
M00044,"Tyrosine degradation, tyrosine => homogentisate",Acid Mine Drainage 2010484004,INCOMPLETE
M00045,"Histidine degradation, histidine => N-formiminoglutamate => glutamate",Acid Mine Drainage 2010484004,INCOMPLETE
M00046,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",Acid Mine Drainage 2010484004,INCOMPLETE
M00047,Creatine pathway,Acid Mine Drainage 2010484004,INCOMPLETE
M00048,"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",Acid Mine Drainage 2010484004,INCOMPLETE
M00049,"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",Acid Mine Drainage 2010484004,INCOMPLETE
M00050,"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",Acid Mine Drainage 2010484004,INCOMPLETE
M00051,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",Acid Mine Drainage 2010484004,INCOMPLETE
M00052,"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",Acid Mine Drainage 2010484004,INCOMPLETE
M00053,"Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",Acid Mine Drainage 2010484004,INCOMPLETE
M00055,N-glycan precursor biosynthesis,Acid Mine Drainage 2010484004,INCOMPLETE
M00056,"O-glycan biosynthesis, mucin type core",Acid Mine Drainage 2010484004,INCOMPLETE
M00057,"Glycosaminoglycan biosynthesis, linkage tetrasaccharide",Acid Mine Drainage 2010484004,INCOMPLETE
M00058,"Glycosaminoglycan biosynthesis, chondroitin sulfate backbone",Acid Mine Drainage 2010484004,INCOMPLETE
M00059,"Glycosaminoglycan biosynthesis, heparan sulfate backbone",Acid Mine Drainage 2010484004,INCOMPLETE
M00060,"KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type",Acid Mine Drainage 2010484004,INCOMPLETE
