Sample,Depth,Rarefied_richness_mean
AM-D,10,17.85
AM-D,100,147.333333333333
AM-D,1000,1065.3643550257
AM-D,20000,5619.57265937899
AM-D,40000,7524.22272007793
AM-D,60000,8428.74688239666
AM-D,80000,9074.07652257995
AM-D,100000,9744.27458659624
AM-D,120000,10198.2795063677
AM-D,140000,10433.7954672831
AM-D,160000,10748.5840457099
AM-D,180000,11072.9419276773
AM-D,200000,11222.4044536511
AM-D,220000,11356.9332198376
AM-D,240000,11482.5218989146
AM-D,260000,11611.827077145
AM-D,280000,11791.2896832409
AM-D,300000,11813.1092638344
AM-D,320000,11924.289940193
AM-D,340000,12004.7677658372
AM-D,360000,12044.005000303
AM-D,380000,12126.0604238751
AM-D,400000,12135.4663512967
AM-R,10,11.4
AM-R,100,193.255
AM-R,1000,976.056922789443
AM-R,20000,5075.0271285848
AM-R,40000,6782.52416695495
AM-R,60000,7770.74755954831
AM-R,80000,8349.7296397368
AM-R,100000,8959.12623440348
AM-R,120000,9372.77320017467
AM-R,140000,9656.55746322508
AM-R,160000,9879.48320622608
AM-R,180000,10074.401752661
AM-R,200000,10227.7383917236
AM-R,220000,10407.2751061972
AM-R,240000,10435.9136097339
AM-R,260000,10484.7174485753
AM-R,280000,10607.8358298726
AM-R,300000,10761.5641002729
AM-R,320000,10768.6754965802
AM-R,340000,10883.9958436113
TI-D,10,15.6
TI-D,100,352.058333333333
TI-D,1000,1083.8103917664
TI-D,20000,5704.87855769978
TI-D,40000,7368.41596999205
TI-D,60000,8246.36936753306
TI-D,80000,8902.17064154771
TI-D,100000,9401.0245173868
TI-D,120000,9663.12092255169
TI-D,140000,10107.948255263
TI-D,160000,10253.798030852
TI-D,180000,10401.306478922
TI-D,200000,10464.2381293292
TI-D,220000,10525.2977895003
TI-D,240000,10665.9759388485
TI-D,260000,10777.1396827763
TI-D,280000,10861.3688952015
TI-D,300000,10864.196460569
TI-D,320000,10908.5017112194
TI-D,340000,10095.5573899009
TI-R,10,21.2
TI-R,100,240.22
TI-R,1000,821.973585947896
TI-R,20000,4928.87055531623
TI-R,40000,6659.68747858899
TI-R,60000,7369.52356554686
TI-R,80000,7906.08762582719
TI-R,100000,8397.56234151386
TI-R,120000,8697.02292529412
TI-R,140000,8853.49412923998
TI-R,160000,9151.77558150049
TI-R,180000,9271.17535997251
TI-R,200000,9485.34318552531
TI-R,220000,9545.76623802312
TI-R,240000,9572.3910433774
TI-R,260000,9666.92202948194
TI-R,280000,9645.03674570514
TI-R,300000,9505.7937951938
TI-R,320000,9518.37562879341
TI-R,340000,9570.76113450905
TI-R,360000,9598.71836523446
TIA-D,100,170.928333333333
TIA-D,1000,784.081163984134
TIA-D,20000,4377.00673382954
TIA-D,40000,5745.45197107236
TIA-D,60000,6555.91237252312
TIA-D,80000,7252.46884471458
TIA-D,100000,7459.71536211196
TIA-D,120000,7787.9275942629
TIA-D,140000,8114.8883644933
TIA-D,160000,8296.74016736816
TIA-D,180000,8430.62276493749
TIA-D,200000,8654.28375194271
TIA-D,220000,8679.64023970665
TIA-D,240000,8765.4625058978
TIA-D,260000,8867.65337005395
TIA-D,280000,8878.81771099019
TIA-D,300000,8938.10371068835
TIA-R,10,10.35
TIA-R,100,171.963333333333
TIA-R,1000,798.681592114119
TIA-R,20000,4070.25355130447
TIA-R,40000,5161.40356426814
TIA-R,60000,5641.89672098106
TIA-R,80000,5955.66023471636
TIA-R,100000,6106.9967796847
TIA-R,120000,6269.14897338761
TIA-R,140000,6272.47030559816
VI-D,10,13.5
VI-D,100,139.44
VI-D,1000,650.55418357829
VI-D,20000,3303.42084988196
VI-D,40000,4252.49389141324
VI-D,60000,4761.29052074117
VI-D,80000,5197.40631864037
VI-D,100000,5434.20347617565
VI-D,120000,5514.22061030225
VI-D,140000,5650.76675656379
VI-D,160000,5770.39229934956
VI-D,180000,5853.65470653362
VI-D,200000,5829.90298700639
VI-R,10,10.55
VI-R,100,144.51119047619
VI-R,1000,636.934469979296
VI-R,20000,3628.44640456293
VI-R,40000,4599.65983893745
VI-R,60000,4962.00203337792
VI-R,80000,5303.28638856724
VI-R,100000,5665.24174694662
VI-R,120000,5756.39233473904
VI-R,140000,5923.57286143661
VI-R,160000,5908.13378566064
VI-R,180000,6097.86880224341
VI-R,200000,6063.13920338198
