rank,original_name,current_name,ncbi_taxid,status,matched_name_class,source
Family,Abitibacteriaceae,Abitibacteriaceae,,unmatched-kept-unchanged,,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acanthamoebidae,Acanthamoebidae,33677,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acanthopleuribacteraceae,Acanthopleuribacteraceae,533207,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acaryochloridaceae,Acaryochloridaceae,1890429,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acaulosporaceae,Acaulosporaceae,36752,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acetobacteraceae,Acetobacteraceae,433,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acholeplasmataceae,Acholeplasmataceae,2146,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidaminococcaceae,Acidaminococcaceae,909930,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidiferrobacteraceae,Acidiferrobacteraceae,1692041,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidilobaceae,Acidilobaceae,871007,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidimicrobiaceae,Acidimicrobiaceae,84994,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidithiobacillaceae,Acidithiobacillaceae,225058,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidobacteriaceae,Acidobacteriaceae,204434,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acidothermaceae,Acidothermaceae,85032,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ackermannviridae,Ackermannviridae,2169529,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Actinomycetaceae,Actinomycetaceae,2049,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Actinopolymorphaceae,Actinopolymorphaceae,2805400,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Actinopolysporaceae,Actinopolysporaceae,622451,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Actinospicaceae,Actinospicaceae,414713,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Acytosteliaceae,Acytosteliaceae,2058183,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Adintoviridae,Eupolintoviridae,3424646,updated,synonym,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aerococcaceae,Aerococcaceae,186827,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aeromonadaceae,Aeromonadaceae,84642,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aestuariivirgaceae,Aestuariivirgaceae,2650922,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Afifellaceae,Afifellaceae,2829802,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Agaricaceae,Agaricaceae,5339,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aggregatilineaceae,Aggregatilineaceae,2806305,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ahrensiaceae,Ahrensiaceae,2829814,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Ajellomycetaceae,Ajellomycetaceae,299071,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Akkermansiaceae,Akkermansiaceae,1647988,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Albuginaceae,Albuginaceae,65355,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Alcaligenaceae,Alcaligenaceae,506,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Alcanivoracaceae,Alcanivoracaceae,224372,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Algiphilaceae,Algiphilaceae,1266054,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Alicyclobacillaceae,Alicyclobacillaceae,186823,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
Family,Aliterellaceae,Aliterellaceae,2917811,current,scientific name,NCBI taxdump: https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/taxdump.tar.gz
