	Ga0540489_genes.fna.	Ga0541010_genes.fna.	Ga0541012_genes.fna.	Ga0541011_genes.fna.	Ga0541014_genes.fna.	Ga0541013_genes.fna.	Ga0541015_genes.fna.	Ga0541016_genes.fna.	Ga0541017_genes.fna.	Ga0541018_genes.fna.	Ga0541019_genes.fna.	Ga0541020_genes.fna.	Ga0541021_genes.fna.	Ga0541022_genes.fna.	Ga0541023_genes.fna.	Ga0541024_genes.fna.	Ga0541025_genes.fna.	Ga0541026_genes.fna.	Ga0541027_genes.fna.	Ga0541028_genes.fna.
OTU00001	222438	192910	195606	111369	83736	182932	187658	91135	160100	96150	97643	213392	197021	139660	180469	167197	17073	119012	119062	94744
OTU00002	8	1	1	2	0	2	2	0	3	0	0	1	1	0	2	3	0	0	1	1
OTU00003	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0
OTU00004	1460	1067	340	80	258	334	274	191	706	231	123	1010	1176	185	1312	1105	31	141	125	103
OTU00005	1641	9839	11701	18258	3704	8865	9669	4019	1339	8333	15600	16966	7031	15510	1422	5208	2096	14477	12435	7910
OTU00006	869	485	616	721	221	672	565	271	201	466	639	786	478	646	132	402	183	773	623	315
OTU00007	61	61	48	34	23	37	66	26	50	27	24	48	59	46	48	59	5	24	32	31
OTU00008	89	37	15	0	6	9	11	5	19	2	1	12	13	5	16	15	0	7	7	8
OTU00009	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU00010	259	137	40	2	6	11	9	3	49	8	3	18	30	4	48	41	0	5	7	4
OTU00011	169	199	250	49	91	277	339	144	641	189	98	204	360	133	291	280	7	112	91	127
OTU00012	1232	497	111	250	39	143	112	40	33	97	198	209	78	154	23	77	21	229	142	82
OTU00013	479	140	1	1	0	2	2	0	0	2	1	3	1	5	1	4	2	8	3	1
OTU00014	331	311	14	9	2	7	12	1	6	4	9	9	4	7	24	13	1	14	8	3
OTU00015	2523	631	1040	205	454	1434	1036	688	499	600	298	1092	1183	558	341	643	506	1166	755	344
OTU00016	196	325	0	2	1	5	1	3	1	4	1	1	1	3	37	15	0	4	1	2
OTU00017	19	6	6	11	4	2	5	2	0	3	14	11	0	8	3	2	1	5	5	2
OTU00018	3	5	1	1	1	2	0	2	2	5	1	2	3	2	2	0	1	1	2	1
OTU00019	18	4	1	3	4	6	2	2	3	2	7	7	5	5	3	2	1	6	3	2
OTU00020	4	4	1	0	1	1	0	2	0	1	0	1	1	0	0	0	0	0	1	1
OTU00021	4019	3344	2524	1015	1146	2488	2334	1286	2561	1177	838	2769	3020	1572	3083	2813	200	1484	1388	1252
OTU00022	38632	21214	7223	1381	2258	4355	4131	1981	7081	3059	1471	3528	4841	2793	8845	7098	629	8587	4855	2453
OTU00023	6980	4569	1743	151	358	712	520	327	1181	526	205	465	666	582	1275	1121	132	2547	762	476
OTU00024	787	673	448	826	240	661	649	293	200	505	1125	904	379	800	106	359	143	894	762	390
OTU00025	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00026	309	168	71	17	32	55	56	25	66	19	25	51	70	31	100	85	3	24	27	28
OTU00027	264	144	67	20	19	24	29	24	75	15	18	49	36	27	92	65	1	28	27	19
OTU00028	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
OTU00029	3	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU00030	4	1	3	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	0	0
OTU00031	5	4	4	0	2	2	5	0	3	0	0	4	6	1	3	2	0	0	0	1
OTU00032	3716	2953	1835	236	188	2020	614	370	174	318	1171	1360	1475	2300	1147	2515	1437	1991	1943	1315
OTU00033	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0
OTU00034	6	31	42	76	5	24	28	10	4	25	91	64	16	49	2	20	9	76	45	16
OTU00035	9	11	6	0	8	5	6	4	11	3	1	11	16	3	16	8	1	0	0	3
OTU00036	3	32	38	80	5	45	32	14	5	28	51	75	22	39	8	10	5	46	40	20
OTU00037	4	11	19	12	2	25	14	6	11	41	18	31	28	32	5	11	3	14	21	17
OTU00038	12	7	6	1	3	2	2	3	6	3	1	1	8	1	17	10	0	1	0	1
OTU00039	18	14	8	1	0	1	5	1	15	3	1	7	7	0	18	10	0	1	1	2
OTU00040	1106	2003	2399	1980	830	2488	2316	1082	1524	1173	1817	3029	2418	2025	1763	1733	269	1522	1471	1333
OTU00041	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU00042	29	509	769	1122	247	707	780	257	95	528	850	1051	451	947	109	360	115	800	709	526
OTU00043	265	196	29	7	6	18	21	5	52	8	6	13	19	2	48	28	2	33	11	7
OTU00044	1	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0
OTU00045	2	0	0	1	0	1	0	0	3	0	0	2	0	0	3	1	0	0	0	0
OTU00046	650	168	43	3	2	3	3	2	10	1	1	8	4	4	12	12	0	6	1	4
OTU00047	14	1	2	1	0	2	0	1	4	0	0	0	2	1	0	2	0	1	0	0
OTU00048	1	0	2	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0
OTU00049	12	3	6	3	3	4	4	2	4	2	0	6	4	3	6	2	0	0	1	2
OTU00050	236	56	21	0	1	3	4	3	8	2	1	10	9	3	10	6	0	1	3	3
OTU00051	10	4	1	0	0	2	0	1	2	0	1	2	1	0	1	2	0	0	0	0
OTU00052	4	2	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0
