	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Unknown	Unclassified		Unclassified	Unclassified	Unclassified	
OTU00002	Bacteria	Pseudomonadota	 Alphaproteobacteria	Hyphomicrobiales	Phreatobacteraceae	Phreatobacter	 Phreatobacter cathodiphilus
OTU00003	Bacteria	Pseudomonadota	 Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	 Lysobacter segetis
OTU00004	Bacteria	Nitrospirota	 NA	Unclassified	Unclassified	Unclassified	 Nitrospirae bacterium
OTU00005	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 Candidatus Bathyarchaeota archaeon
OTU00006	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00007	Bacteria	Bacillota	 Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	 NA
OTU00008	Bacteria	Actinomycetota	 Actinomycetia	Frankiales	Frankiaceae	Frankia	 NA
OTU00009	Bacteria	Pseudomonadota	 Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	 Xenophilus sp. E41
OTU00010	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	 Labilithrix luteola
OTU00011	Bacteria	Chloroflexota	 Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	 Anaerolineaceae bacterium
OTU00012	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Unclassified	 Thaumarchaeota archaeon
OTU00013	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea sp. TS
OTU00014	Archaea	Nitrososphaerota	 NA	Nitrosopumilales	Unclassified	Unclassified	 Nitrosopumilales archaeon
OTU00015	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 uncultured archaeon
OTU00016	Archaea	Nitrososphaerota	 NA	Unclassified	Unclassified	Nitrosotalea	 Candidatus Nitrosotalea bavarica
OTU00017	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon 13_2_20CM_2_52_21
OTU00018	Bacteria	Synergistota	 NA	Unclassified	Unclassified	Unclassified	 Synergistetes bacterium ADurb.BinA166
OTU00019	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon 13_1_20CM_2_51_12
OTU00020	Bacteria	Pseudomonadota	 Deltaproteobacteria	Desulfurellales	Unclassified	Unclassified	 Desulfurellales bacterium
OTU00021	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00022	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Acidobacteria bacterium
OTU00023	Bacteria	Acidobacteriota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00024	Archaea	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 archaeon
OTU00025	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	 Saccharothrix sp. NRRL B-16314
OTU00026	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 NA
OTU00027	Bacteria	Actinomycetota	 Actinomycetia	Unclassified	Unclassified	Unclassified	 NA
OTU00028	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides rotundus
OTU00029	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella	 Kribbella qitaiheensis
OTU00030	Bacteria	Actinomycetota	 Actinomycetia	Kitasatosporales	Streptomycetaceae	Streptomyces	 Streptomyces albus
OTU00031	Bacteria	Planctomycetota	 Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	 NA
OTU00032	Archaea	Methanobacteriota	 NA	Unclassified	Unclassified	Unclassified	 Euryarchaeota archaeon
OTU00033	Eukaryota	Foraminifera	 NA	Unclassified	Reticulomyxidae	Reticulomyxa	 Reticulomyxa filosa
OTU00034	Archaea	Methanobacteriota	 Hadesarchaea	Unclassified	Unclassified	Unclassified	 Hadesarchaea archaeon YNP_N21
OTU00035	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Archangiaceae	Hyalangium	 Hyalangium sp. H56D21
OTU00036	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 miscellaneous Crenarchaeota group archaeon SMTZ-80
OTU00037	Archaea	Microcaldota	 NA	Candidatus Fermentimicrarchaeales	Candidatus Fermentimicrarchaeaceae	Candidatus Fermentimicrarchaeum	 Candidatus Fermentimicrarchaeum limneticum
OTU00038	Bacteria	Pseudomonadota	 Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter	 Cystobacter fuscus
OTU00039	Bacteria	Pseudomonadota	 Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Georgfuchsia	 Georgfuchsia toluolica
OTU00040	Bacteria	Unclassified	 NA	Unclassified	Unclassified	Unclassified	 bacterium
OTU00041	Bacteria	Pseudomonadota	 Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	 Sphingobium fluviale
OTU00042	Archaea	Candidatus Bathyarchaeota	 NA	Unclassified	Unclassified	Unclassified	 NA
OTU00043	Bacteria	Acidobacteriota	 Acidobacteriia	Terriglobales	Acidobacteriaceae	Candidatus Koribacter	 Candidatus Koribacter versatilis
OTU00044	Bacteria	Bacteroidota	 Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	 NA
OTU00045	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	 Nocardioides islandensis
OTU00046	Bacteria	Actinomycetota	 Actinomycetia	Streptosporangiales	Treboniaceae	Trebonia	 Trebonia kvetii
OTU00047	Bacteria	Actinomycetota	 Actinomycetia	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	 NA
OTU00048	Bacteria	Actinomycetota	 Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	 Mycobacterium sp. ITM-2016-00318
OTU00049	Bacteria	Actinomycetota	 Actinomycetia	Micrococcales	Microbacteriaceae	Unclassified	 NA
OTU00050	Bacteria	Actinomycetota	 Actinomycetia	Pseudonocardiales	Unclassified	Unclassified	 Pseudonocardiales bacterium
OTU00051	Bacteria	Actinomycetota	 Actinomycetia	Cryptosporangiales	Cryptosporangiaceae	Cryptosporangium	 Cryptosporangium aurantiacum
