Function Id,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.2,5.5,-2.437405312307298,4,1.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.2,0.0,0.2630344058337938,7,0.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Control: Burr Oak Reservoir BO4,Metagenomics,0.2,0.0,0.2630344058337938,2,0.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Ferruginous lake/sediment group: Lake Matano,Metagenomics,0.2,1.5,-1.058893689053569,6,0.8333333333333334
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Ferruginous lake/sediment group: Lake Superior,Combined assembly,0.2,19.0,-4.058893689053568,1,1.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.2,0.0,0.2630344058337938,1,0.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Ferruginous lake/sediment group: Lake Towuti,Metagenomics,0.2,5.363636363636363,-2.406816992473875,11,0.6363636363636364
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.2,0.0,0.2630344058337938,21,0.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.2,0.0,0.2630344058337938,4,0.0
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,0.2,0.4444444444444444,-0.2674803108649861,9,0.3333333333333333
K00216: entA,Siderophore synthesis,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28] (entA)",Other iron-rich / unassigned,Metagenomics,0.2,9.0,-3.058893689053569,1,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,27.35,437.75,-3.951978485137057,4,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,27.35,6.428571428571429,1.932192033971379,7,0.8571428571428571
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Control: Burr Oak Reservoir BO4,Metagenomics,27.35,12.5,1.070389327891398,2,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Ferruginous lake/sediment group: Lake Matano,Metagenomics,27.35,189.5,-2.748370357438455,6,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Ferruginous lake/sediment group: Lake Superior,Combined assembly,27.35,906.0,-4.999681910473656,1,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,27.35,18.0,0.5773493166112811,1,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,27.35,175.0,-2.634154788582431,11,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,27.35,6.333333333333333,1.950807712138726,21,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,27.35,1.75,3.365845211417569,4,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,27.35,93.88888888888889,-1.742890428123312,9,1.0
K00338: nuoI,Iron oxidation,NADH-quinone oxidoreductase subunit I [EC:7.1.1.2] (nuoI),Other iron-rich / unassigned,Metagenomics,27.35,312.0,-3.464742016877752,1,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,19.1,330.25,-4.042653048046358,4,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,19.1,5.142857142857143,1.710213763647072,7,0.7142857142857143
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Control: Burr Oak Reservoir BO4,Metagenomics,19.1,10.5,0.8055616402345535,2,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Ferruginous lake/sediment group: Lake Matano,Metagenomics,19.1,175.5,-3.134400776979614,6,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Ferruginous lake/sediment group: Lake Superior,Combined assembly,19.1,814.0,-5.341532652826873,1,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,19.1,27.0,-0.4782313257660378,1,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,19.1,147.3636363636364,-2.883870127042632,11,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,19.1,6.142857142857143,1.492622328574446,21,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,19.1,0.75,3.521768674233962,4,0.75
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,19.1,90.55555555555556,-2.18745192944934,9,1.0
K00340: nuoK,Iron oxidation,NADH-quinone oxidoreductase subunit K [EC:7.1.1.2] (nuoK),Other iron-rich / unassigned,Metagenomics,19.1,262.0,-3.709795393000736,1,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,9.75,263.5,-4.620859157411928,4,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,9.75,13.42857142857143,-0.4245918059920927,7,0.8571428571428571
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Control: Burr Oak Reservoir BO4,Metagenomics,9.75,6.5,0.5193741590935794,2,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Ferruginous lake/sediment group: Lake Matano,Metagenomics,9.75,59.5,-2.492598482572497,6,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Ferruginous lake/sediment group: Lake Superior,Combined assembly,9.75,169.0,-3.983126181435604,1,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,9.75,3.0,1.426264754702098,1,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,9.75,73.9090909090909,-2.800804153843823,11,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,9.75,7.761904761904762,0.2950202214238453,21,0.9523809523809523
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,9.75,9.5,0.03394733192333753,4,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,9.75,118.4444444444444,-3.473931188332412,9,1.0
K00404: ccoN,Iron oxidation,cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9] (ccoN),Other iron-rich / unassigned,Metagenomics,9.75,36.0,-1.783188610926852,1,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,5.3,173.75,-4.793796816762883,4,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,5.3,8.428571428571429,-0.5816873686882954,7,0.7142857142857143
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Control: Burr Oak Reservoir BO4,Metagenomics,5.3,6.5,-0.2515387669959644,2,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Ferruginous lake/sediment group: Lake Matano,Metagenomics,5.3,40.16666666666666,-2.708052902250967,6,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Ferruginous lake/sediment group: Lake Superior,Combined assembly,5.3,269.0,-5.421463768438277,1,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,5.3,3.0,0.655351828612554,1,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,5.3,41.63636363636363,-2.758660665265525,11,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,5.3,3.714285714285714,0.4183126313117046,21,0.9523809523809523
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,5.3,3.75,0.4074243151689685,4,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,5.3,69.0,-3.473931188332412,9,1.0
K00405: ccoO,Iron oxidation,cytochrome c oxidase cbb3-type subunit II (ccoO),Other iron-rich / unassigned,Metagenomics,5.3,60.0,-3.275385508950332,1,1.0
K00406: ccoP,Iron oxidation,cytochrome c oxidase cbb3-type subunit III (ccoP),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,5.0,273.0,-5.51306958223937,4,1.0
K00406: ccoP,Iron oxidation,cytochrome c oxidase cbb3-type subunit III (ccoP),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,5.0,4.428571428571429,0.1443899093351746,7,0.5714285714285714
