KO,category,description,ST8_group,data_layer,amazonian_mean_count,external_group_mean_count,log2_ratio_amazonia_vs_external,n_external_samples,detection_fraction_external
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,3.4,834.25,-7.568560743585035,4,1.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,3.4,13.28571428571429,-1.698997743967186,7,0.8571428571428571
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Control: Burr Oak Reservoir BO4,Metagenomics,3.4,1.5,0.8155754288625727,2,0.5
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Ferruginous lake/sediment group: Lake Matano,Metagenomics,3.4,260.1666666666667,-5.891323440001489,6,1.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Ferruginous lake/sediment group: Lake Superior,Combined assembly,3.4,1576.0,-8.485463421040576,1,1.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,3.4,0.0,2.137503523749935,1,0.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,3.4,182.7272727272727,-5.383918463992503,11,1.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,3.4,0.04761904761904762,2.070389327891398,21,0.04761904761904762
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,3.4,0.0,2.137503523749935,4,0.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,3.4,170.1111111111111,-5.281286110390016,9,1.0
K00184: dmsB,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase iron-sulfur subunit (dmsB),Other iron-rich / unassigned,Metagenomics,3.4,452.0,-6.6858637162963,1,1.0
K00185: dmsC,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase membrane subunit (dmsC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,1.65,473.75,-7.485031830473661,4,1.0
K00185: dmsC,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase membrane subunit (dmsC),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,1.65,7.142857142857143,-1.619542732431301,7,0.5714285714285714
K00185: dmsC,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase membrane subunit (dmsC),Control: Burr Oak Reservoir BO4,Metagenomics,1.65,1.5,0.08406426478847455,2,0.5
K00185: dmsC,Anaerobic oxidative phosphorylation,dimethyl sulfoxide reductase membrane subunit (dmsC),Ferruginous lake/sediment group: Lake Matano,Metagenomics,1.65,242.6666666666667,-6.522772735555445,6,1.0
