KO,Metabolism,KO description,ST8_group,data_layer,mean_count,total_count,detection_fraction,n_samples
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,0.0,0,0.0,4
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,0.0,0,0.0,7
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Control: Burr Oak Reservoir BO4,Metagenomics,0.0,0,0.0,2
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Ferruginous lake/sediment group: Lake Matano,Metagenomics,32.16666666666666,193,0.8333333333333334,6
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Ferruginous lake/sediment group: Lake Superior,Combined assembly,8.0,8,1.0,1
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,0.0,0,0.0,1
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Ferruginous lake/sediment group: Lake Towuti,Metagenomics,19.09090909090909,210,0.6363636363636364,11
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,0.0,0,0.0,21
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,0.0,0,0.0,4
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,1.888888888888889,17,0.4444444444444444,9
K00125: fdhB,Methanogenesis (methanol; acetate; methylamine; dimethylamine; trimethylamine; CO2),formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6] (fdhB),Other iron-rich / unassigned,Metagenomics,0.0,0,0.0,1
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,127.75,511,1.0,4
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,4.857142857142857,34,1.0,7
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Control: Burr Oak Reservoir BO4,Metagenomics,3.5,7,1.0,2
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Matano,Metagenomics,292.8333333333333,1757,0.8333333333333334,6
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Combined assembly,399.0,399,1.0,1
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,3.0,3,1.0,1
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Towuti,Metagenomics,511.7272727272727,5629,1.0,11
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,4.619047619047619,97,1.0,21
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,6.5,26,1.0,4
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,49.0,441,1.0,9
K00169: porA,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Other iron-rich / unassigned,Metagenomics,105.0,105,1.0,1
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,114.75,459,1.0,4
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,5.0,35,0.8571428571428571,7
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Control: Burr Oak Reservoir BO4,Metagenomics,3.5,7,1.0,2
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Matano,Metagenomics,245.5,1473,0.8333333333333334,6
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Combined assembly,338.0,338,1.0,1
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,3.0,3,1.0,1
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Towuti,Metagenomics,484.4545454545454,5329,1.0,11
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,4.809523809523809,101,1.0,21
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,4.75,19,1.0,4
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,41.77777777777778,376,0.8888888888888888,9
K00170: porB,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Other iron-rich / unassigned,Metagenomics,102.0,102,1.0,1
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metagenomics,26.0,104,1.0,4
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Metatranscriptomics,1.142857142857143,8,0.5714285714285714,7
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Control: Burr Oak Reservoir BO4,Metagenomics,1.5,3,1.0,2
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Matano,Metagenomics,89.0,534,0.8333333333333334,6
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Combined assembly,122.0,122,1.0,1
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Superior,Metatranscriptomics,1.0,1,1.0,1
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Ferruginous lake/sediment group: Lake Towuti,Metagenomics,211.4545454545455,2326,0.8181818181818182,11
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metagenomics,3.0,63,0.8571428571428571,21
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Main iron-rich/AMD group: Richmond Mine / Iron Mountain AMD,Metatranscriptomics,3.5,14,1.0,4
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Optional outgroup: Hydrothermal Fe-rich mats,Metagenomics,17.77777777777778,160,0.8888888888888888,9
K00171: porD,Carbon Fixation: Arnon-Buchanan cycle; Dicarboxylate-hydroxybutyrate cycle; Incomplete rTCA cycle,pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Other iron-rich / unassigned,Metagenomics,75.0,75,1.0,1
