taxon,hex_colour
'Candidatus Kapabacteria' thiocyanatum,#B31B50
'Cynodon dactylon' phytoplasma,#EC6062
'Massilia aquatica' Lu et al. 2020,#624FCE
'Megasphaera vaginalis' Bordigoni et al. 2020,#997C21
'Osedax' symbiont bacterium Rs2_46_30_T18,#5CF870
[Acidovorax] ebreus,#1B8F94
[Bacillus] caldolyticus,#16F195
[Brevibacterium] frigoritolerans,#2C92C1
[Clostridium] aminophilum,#8B2ADB
[Clostridium] cellulosi,#5BC6EA
[Clostridium] cocleatum,#6E9B25
[Clostridium] dakarense,#A03A20
[Clostridium] fimetarium,#49CBCD
[Clostridium] hylemonae,#D88B69
[Clostridium] leptum,#D440D6
[Clostridium] methylpentosum,#C77A1D
[Clostridium] paradoxum,#CECF2A
[Clostridium] polysaccharolyticum,#1059A4
[Clostridium] populeti,#CF7EDD
[Clostridium] saccharogumia,#53EFDF
[Clostridium] scindens,#5F53EA
[Clostridium] spiroforme,#A6B21E
[Clostridium] symbiosum,#E7EE36
[Clostridium] thermoalcaliphilum,#2B94C0
[Enterobacter] lignolyticus,#34C06C
[Eubacterium] brachy,#2AADBE
[Eubacterium] cellulosolvens,#199522
[Eubacterium] infirmum,#F5E134
[Eubacterium] minutum,#F1A908
[Eubacterium] nodatum,#108BC6
[Eubacterium] rectale,#328BF6
[Eubacterium] saphenum,#3442CE
[Eubacterium] siraeum,#26D878
[Eubacterium] sulci,#4D50D5
[Flexibacter] sp. ATCC 35103,#49E51D
[Flexibacter] sp. ATCC 35208,#7622B0
[Haemophilus] ducreyi,#6226A0
[Haemophilus] felis,#7A27B0
[Halarcobacter] arenosus,#0EF40A
[Lactobacillus] timonensis,#2ECFD9
[Micrococcus luteus] ATCC 49442,#A3500E
[Mycobacterium] fortunisiensis,#2C41ED
[Mycobacterium] stephanolepidis,#19A831
[Mycoplasma] phocidae,#0CC390
[Ochrobactrum] quorumnocens,#A966E8
[Ochrobactrum] teleogrylli,#F455DD
[Pantoea] beijingensis,#D623B6
[Phormidium] sp. ETS-05,#E7A12B
[Pseudopropionibacterium] massiliense,#41C312
[Ruminococcus] gnavus,#303FE6
[Ruminococcus] lactaris,#E819B5
[Ruminococcus] torques,#59EAF7
[Scytonema hofmanni] UTEX B 1581,#AB157E
Abditibacteria,#DD20C9
Abditibacteriales,#19D96B
Abditibacteriota,#48E25D
Abditibacteriota bacterium,#37D942
Abditibacterium,#5EE370
Abditibacterium utsteinense,#21ADBC
Abiotrophia,#0E97C6
Abitibacteriaceae,#F35EB0
Absicoccus,#1BB206
Absicoccus porci,#CD1826
Absiella,#A56CE0
Abyssibacter,#631B9A
Abyssibacter profundi,#5DD789
Abyssisolibacter,#D91112
Abyssisolibacter fermentans,#E94FB1
Acanthopleuribacter,#B1175B
Acanthopleuribacter pedis,#EE5099
Acanthopleuribacteraceae,#C253DC
Acanthopleuribacterales,#F27762
Acaryochloridaceae,#F85EE7
Acaryochloris,#C50B63
Acaryochloris marina,#B25D2F
Acaryochloris sp. 'Moss Beach',#774BEA
Acaryochloris sp. CCMEE 5410,#32CFD3
Acaryochloris thomasi,#7D1AD7
Acerihabitans,#F2136F
Acerihabitans arboris,#4F7BDF
Acetanaerobacterium,#D16FDD
Acetanaerobacterium elongatum,#982FBD
Acetatifactor,#239489
Acetatifactor muris,#57D59D
Acetilactobacillus,#E6C330
Acetilactobacillus jinshanensis,#228E43
Acetitomaculum,#479B21
Acetitomaculum ruminis,#2A5DAE
Acetivibrio,#D8E343
Acetivibrio cellulolyticus,#16D648
Acetivibrio clariflavus,#58E4C4
Acetivibrio ethanolgignens,#0749BF
Acetivibrio mesophilus,#141F9B
Acetivibrio saccincola,#9452F1
Acetivibrio sp. MSJd-27,#F5EE36
Acetivibrio straminisolvens,#72F04E
Acetivibrio thermocellus,#90D464
Acetoanaerobium,#CD1A8D
Acetoanaerobium noterae,#F1DD5D
Acetoanaerobium pronyense,#209156
Acetobacter,#E20A2A
Acetobacter aceti,#F18150
Acetobacter cibinongensis,#3771F8
Acetobacter conturbans,#E98B38
Acetobacter estunensis,#4514E2
Acetobacter fallax,#B22F57
Acetobacter farinalis,#C58734
Acetobacter garciniae,#EEF11A
Acetobacter ghanensis,#3A2995
Acetobacter indonesiensis,#0EF5AC
Acetobacter lambici,#D5329A
Acetobacter lovaniensis,#75DAD3
Acetobacter malorum,#DA0F4B
Acetobacter musti,#F47223
Acetobacter nitrogenifigens,#3BE7EB
Acetobacter oeni,#1BED6F
Acetobacter okinawensis,#89E167
Acetobacter orientalis,#F0E935
Acetobacter papayae,#F6905F
Acetobacter pasteurianus,#2FA7F0
Acetobacter peroxydans,#5D53E8
Acetobacter pomorum,#17BB8B
Acetobacter sacchari,#DF4D0D
Acetobacter senegalensis,#A61781
Acetobacter sicerae,#28EC70
Acetobacter sp. 46_36,#ED1B9D
Acetobacter sp. CAG:977,#3688F5
Acetobacter sp. P5B1,#0FBC94
Acetobacter syzygii,#3FCCD0
Acetobacter tropicalis,#1143F7
Acetobacteraceae,#AB5117
Acetobacteraceae bacterium,#2B77A5
Acetobacteraceae bacterium AT-5844,#B00EE9
Acetobacteraceae bacterium SCN 69-10,#72E595
Acetobacterium,#A0E866
Acetobacterium bakii,#EA58E4
Acetobacterium dehalogenans,#EFB90C
Acetobacterium fimetarium,#E79112
Acetobacterium malicum,#71B3D9
Acetobacterium paludosum,#C2660B
Acetobacterium sp. KB-1,#BA0D53
Acetobacterium sp. MES1,#A756E1
Acetobacterium tundrae,#DF0B21
Acetobacterium wieringae,#B46EDE
Acetobacterium woodii,#9E41D7
Acetobacteroides,#E1515B
Acetobacteroides hydrogenigenes,#2B4C9E
Acetohalobium,#61C61A
Acetohalobium arabaticum,#4EB6F6
Acetomicrobium,#D5E814
Acetomicrobium flavidum,#07D5D1
Acetomicrobium hydrogeniformans,#B37B0D
Acetomicrobium mobile,#1873F6
Acetomicrobium sp. S15 = DSM 107314,#EE4669
Acetomicrobium thermoterrenum,#D33B65
Acetonema,#9E2FC4
Acetonema longum,#136DC4
Acetothermia bacterium 64_32,#3D5EDA
Acholeplasma,#D51A98
Acholeplasma equifetale,#1CD56C
Acholeplasma equirhinis,#AF24DB
Acholeplasma granularum,#F63198
Acholeplasma hippikon,#7E52D2
Acholeplasma oculi,#F07119
Acholeplasma sp.,#7E4CF1
Acholeplasmataceae,#28AB23
Acholeplasmataceae bacterium,#27E1AA
Acholeplasmatales,#43E333
Acholeplasmatales bacterium,#62D7A1
Achromatium,#22F7F6
Achromatium sp. WMS1,#8DF118
Achromatium sp. WMS2,#5F08AF
Achromatium sp. WMS3,#EB816C
Achromobacter,#3937F4
Achromobacter aegrifaciens,#D02A70
Achromobacter aestuarii,#A12DA5
Achromobacter agilis,#1417BF
Achromobacter aloeverae,#4A9FD5
Achromobacter animicus,#2E16CE
Achromobacter anxifer,#3BC6D9
Achromobacter arsenitoxydans,#F138D5
Achromobacter deleyi,#3493CA
Achromobacter denitrificans,#AD7B0E
Achromobacter insolitus,#AF0D98
Achromobacter insuavis,#661D91
Achromobacter kerstersii,#CE1BD8
Achromobacter marplatensis,#169CA2
Achromobacter mucicolens,#B84E0A
Achromobacter pestifer,#18D0CA
Achromobacter piechaudii,#E62A6C
Achromobacter pulmonis,#C2531E
Achromobacter ruhlandii,#A05415
Achromobacter sp. 2789STDY5608633,#85DD6B
Achromobacter sp. ACM02,#2E50B3
Achromobacter sp. ACM05,#4FC7E2
Achromobacter sp. AONIH1,#59D039
Achromobacter sp. ASV32,#D45830
Achromobacter sp. Bel,#A64A1B
