record_type	figure_id	module_row_index	module	sample_or_record	environmental_group	original_column_index	grouped_column_index	original_value	grouped_value_after_identifier_match	identical
summary	S40							"{""source_matrix"": ""data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv"", ""source_matrix_sha256"": ""8a2c1bbdc72be3a9ba251a4ed9328be66c4d2696fa3efff7774ccb38908c1836"", ""metadata_table"": ""data/module_figure_inputs/st8_metadata_curated.csv"", ""metadata_table_sha256"": ""c08a79c9cddfc95062aeb57873cbab24a5fe2be46c228828b764179eba548701"", ""final_figure_policy"": ""environmental-group only; original order retained only as an audit reference"", ""dimensions"": ""35 x 67"", ""counts"": {""Complete"": 497, ""1 block missing"": 253, ""Incomplete"": 1595, ""Missing"": 0}, ""column_order"": [""Acid mine drainage 3300038494"", ""Lab enriched acid 3300038413"", ""Acid mine drainage 3300008567"", ""Acid mine drainage 3300030091"", ""Hydrotherm Fe rich 3300023310"", ""Metatransc of lab 3300046014"", ""Metatransc of lab 3300055056"", ""Freshwater sediment microbial 3300010391"", ""Freshwater sediment microbial 3300031898"", ""Freshwater microbial communitie 3300024300"", ""Metatransc of lab 3300055061"", ""Hydrotherm Fe rich 3300023368"", ""Acid mine drainage 3300038487"", ""Freshwater sediment microbial 3300031593"", ""Acid mine drainage 3300030082"", ""Freshwater sediment microbial 3300031604"", ""Freshwater sediment microbial 3300021518"", ""Acid mine drainage 3300030398"", ""Acid mine drainage 3300030242"", ""Hydrotherm Fe rich 3300023439"", ""Freshwater microbial communitie 3300024333"", ""Lab enriched sediment 3300039027"", ""Acid mine drainage 3300039205"", ""Freshwater microbial communitie 3300043827"", ""Lab enriched acid 3300038471"", ""Acid mine drainage 3300030335"", ""Freshwater microbial communitie 3300028737"", ""Lab enriched acid 3300038411"", ""Freshwater sediment microbial 3300031877"", ""Acid mine drainage 3300038731"", ""Acid mine drainage 3300038979"", ""Hydrotherm Fe rich 3300023548"", ""Metatransc of freshwater 3300061576"", ""Acid mine drainage 3300038486"", ""Freshwater sediment microbial 3300031587"", ""Acid Mine Drainage 3300005360"", ""Acid mine drainage 3300008723"", ""Acid mine drainage 3300038493"", ""Freshwater sediment microbial 3300036045"", ""Metatransc of lab 3300046013"", ""Acid mine drainage 3300038729"", ""Acid mine drainage 3300030413"", ""Lab enriched acid 3300038412"", ""Freshwater sediment microbial 3300031806"", ""Metatransc of lab 3300055057"", ""Hydrotherm Fe rich 3300023440"", ""Lab enriched sediment 3300039028"", ""Acid mine drainage 3300008566"", ""Freshwater microbial communitie 3300024341"", ""Freshwater sediment microbial 3300021517"", ""Metatransc of lab 3300055062"", ""Hydrotherm Fe rich 3300023442"", ""Freshwater sediment microbial 3300036046"", ""Hydrotherm Fe rich 3300023313"", ""Acid mine drainage 3300039211"", ""Acid mine drainage 3300008721"", ""Pink biofilm microbial 3300003104"", ""Acid mine drainage 3300038681"", ""Acid mine drainage 3300030228"", ""Metatransc of lab 3300055069"", ""Acid Mine Drainage 2010484004"", ""Hydrotherm Fe rich 3300023307"", ""Freshwater sediment microbial 3300031876"", ""Freshwater microbial communitie 3300023177"", ""Biofilm microbial communitie 3300021476"", ""Acid Mine Drainage 3300003083"", ""Hydrotherm Fe rich 3300023444""]}"	"{""dimensions"": ""35 x 67"", ""counts"": {""Complete"": 497, ""1 block missing"": 253, ""Incomplete"": 1595, ""Missing"": 0}, ""column_order"": [""Metatransc of lab 3300055056"", ""Metatransc of lab 3300055062"", ""Metatransc of lab 3300055061"", ""Metatransc of lab 3300055069"", ""Lab enriched acid 3300038471"", ""Lab enriched acid 3300038411"", ""Metatransc of lab 3300046014"", ""Lab enriched acid 3300038412"", ""Metatransc of lab 3300046013"", ""Lab enriched acid 3300038413"", ""Metatransc of lab 3300055057"", ""Lab enriched sediment 3300039027"", ""Lab enriched sediment 3300039028"", ""Hydrotherm Fe rich 3300023307"", ""Hydrotherm Fe rich 3300023310"", ""Hydrotherm Fe rich 3300023442"", ""Hydrotherm Fe rich 3300023313"", ""Hydrotherm Fe rich 3300023368"", ""Hydrotherm Fe rich 3300023444"", ""Hydrotherm Fe rich 3300023440"", ""Hydrotherm Fe rich 3300023439"", ""Hydrotherm Fe rich 3300023548"", ""Freshwater microbial communitie 3300023177"", ""Freshwater microbial communitie 3300024300"", ""Freshwater microbial communitie 3300024333"", ""Freshwater microbial communitie 3300024341"", ""Freshwater microbial communitie 3300028737"", ""Freshwater microbial communitie 3300043827"", ""Metatransc of freshwater 3300061576"", ""Freshwater sediment microbial 3300010391"", ""Freshwater sediment microbial 3300031604"", ""Freshwater sediment microbial 3300021518"", ""Freshwater sediment microbial 3300031593"", ""Freshwater sediment microbial 3300031877"", ""Freshwater sediment microbial 3300036046"", ""Freshwater sediment microbial 3300036045"", ""Freshwater sediment microbial 3300021517"", ""Freshwater sediment microbial 3300031898"", ""Freshwater sediment microbial 3300031876"", ""Freshwater sediment microbial 3300031587"", ""Freshwater sediment microbial 3300031806"", ""Biofilm microbial communitie 3300021476"", ""Acid mine drainage 3300038731"", ""Acid mine drainage 3300038487"", ""Acid mine drainage 3300030091"", ""Acid mine drainage 3300030335"", ""Acid Mine Drainage 2010484004"", ""Acid mine drainage 3300008723"", ""Acid mine drainage 3300008567"", ""Pink biofilm microbial 3300003104"", ""Acid mine drainage 3300030228"", ""Acid mine drainage 3300030082"", ""Acid mine drainage 3300038729"", ""Acid mine drainage 3300038979"", ""Acid Mine Drainage 3300005360"", ""Acid mine drainage 3300039205"", ""Acid Mine Drainage 3300003083"", ""Acid mine drainage 3300008566"", ""Acid mine drainage 3300008721"", ""Acid mine drainage 3300030242"", ""Acid mine drainage 3300039211"", ""Acid mine drainage 3300038493"", ""Acid mine drainage 3300038486"", ""Acid mine drainage 3300030398"", ""Acid mine drainage 3300038494"", ""Acid mine drainage 3300030413"", ""Acid mine drainage 3300038681""]}"	True
summary	S67							"{""source_matrix"": ""data/module_figure_inputs/SupplementaryFigure67_lagoon_plus_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv"", ""source_matrix_sha256"": ""d677c13b27890eda3538548392d582b57bdc7e15890778d68105eaf106390655"", ""metadata_table"": ""data/module_figure_inputs/st8_metadata_curated.csv"", ""metadata_table_sha256"": ""c08a79c9cddfc95062aeb57873cbab24a5fe2be46c228828b764179eba548701"", ""final_figure_policy"": ""original and environmental-group layouts retained"", ""dimensions"": ""39 x 87"", ""counts"": {""Complete"": 670, ""1 block missing"": 572, ""Incomplete"": 2151, ""Missing"": 0}, ""column_order"": [""AM.P1.D"", ""AM.P1.R"", ""AM.P2.D"", ""AM.P2.R"", ""TIA.P1.D"", ""TIA.P1.R"", ""TIA.P2.D"", ""TIA.P2.R"", ""TI.P1.D"", ""TI.P1.R"", ""TI.P2.D"", ""TI.P2.R"", ""TI.P3.D"", ""TI.P3.R"", ""TI.P4.D"", ""TI.P4.R"", ""VI.P1.D"", ""VI.P1.R"", ""VI.P2.D"", ""VI.P2.R"", ""Acid mine drainage 3300038494"", ""Lab enriched acid 3300038413"", ""Acid mine drainage 3300008567"", ""Acid mine drainage 3300030091"", ""Hydrotherm Fe rich 3300023310"", ""Metatransc of lab 3300046014"", ""Metatransc of lab 3300055056"", ""Freshwater sediment microbial 3300010391"", ""Freshwater sediment microbial 3300031898"", ""Freshwater microbial communitie 3300024300"", ""Metatransc of lab 3300055061"", ""Hydrotherm Fe rich 3300023368"", ""Acid mine drainage 3300038487"", ""Freshwater sediment microbial 3300031593"", ""Acid mine drainage 3300030082"", ""Freshwater sediment microbial 3300031604"", ""Freshwater sediment microbial 3300021518"", ""Acid mine drainage 3300030398"", ""Acid mine drainage 3300030242"", ""Hydrotherm Fe rich 3300023439"", ""Freshwater microbial communitie 3300024333"", ""Lab enriched sediment 3300039027"", ""Acid mine drainage 3300039205"", ""Freshwater microbial communitie 3300043827"", ""Lab enriched acid 3300038471"", ""Acid mine drainage 3300030335"", ""Freshwater microbial communitie 3300028737"", ""Lab enriched acid 3300038411"", ""Freshwater sediment microbial 3300031877"", ""Acid mine drainage 3300038731"", ""Acid mine drainage 3300038979"", ""Hydrotherm Fe rich 3300023548"", ""Metatransc of freshwater 3300061576"", ""Acid mine drainage 3300038486"", ""Freshwater sediment microbial 3300031587"", ""Acid Mine Drainage 3300005360"", ""Acid mine drainage 3300008723"", ""Acid mine drainage 3300038493"", ""Freshwater sediment microbial 3300036045"", ""Metatransc of lab 3300046013"", ""Acid mine drainage 3300038729"", ""Acid mine drainage 3300030413"", ""Lab enriched acid 3300038412"", ""Freshwater sediment microbial 3300031806"", ""Metatransc of lab 3300055057"", ""Hydrotherm Fe rich 3300023440"", ""Lab enriched sediment 3300039028"", ""Acid mine drainage 3300008566"", ""Freshwater microbial communitie 3300024341"", ""Freshwater sediment microbial 3300021517"", ""Metatransc of lab 3300055062"", ""Hydrotherm Fe rich 3300023442"", ""Freshwater sediment microbial 3300036046"", ""Hydrotherm Fe rich 3300023313"", ""Acid mine drainage 3300039211"", ""Acid mine drainage 3300008721"", ""Pink biofilm microbial 3300003104"", ""Acid mine drainage 3300038681"", ""Acid mine drainage 3300030228"", ""Metatransc of lab 3300055069"", ""Acid Mine Drainage 2010484004"", ""Hydrotherm Fe rich 3300023307"", ""Freshwater sediment microbial 3300031876"", ""Freshwater microbial communitie 3300023177"", ""Biofilm microbial communitie 3300021476"", ""Acid Mine Drainage 3300003083"", ""Hydrotherm Fe rich 3300023444""]}"	"{""dimensions"": ""39 x 87"", ""counts"": {""Complete"": 670, ""1 block missing"": 572, ""Incomplete"": 2151, ""Missing"": 0}, ""column_order"": [""AM.P1.D"", ""AM.P1.R"", ""AM.P2.D"", ""AM.P2.R"", ""TIA.P1.D"", ""TIA.P1.R"", ""TIA.P2.D"", ""TIA.P2.R"", ""TI.P1.D"", ""TI.P1.R"", ""TI.P2.D"", ""TI.P2.R"", ""TI.P3.D"", ""TI.P3.R"", ""TI.P4.D"", ""TI.P4.R"", ""VI.P1.D"", ""VI.P1.R"", ""VI.P2.D"", ""VI.P2.R"", ""Metatransc of lab 3300055056"", ""Metatransc of lab 3300055062"", ""Metatransc of lab 3300055061"", ""Metatransc of lab 3300055069"", ""Lab enriched acid 3300038471"", ""Lab enriched acid 3300038411"", ""Metatransc of lab 3300046014"", ""Lab enriched acid 3300038412"", ""Metatransc of lab 3300046013"", ""Lab enriched acid 3300038413"", ""Metatransc of lab 3300055057"", ""Lab enriched sediment 3300039027"", ""Lab enriched sediment 3300039028"", ""Hydrotherm Fe rich 3300023307"", ""Hydrotherm Fe rich 3300023310"", ""Hydrotherm Fe rich 3300023442"", ""Hydrotherm Fe rich 3300023313"", ""Hydrotherm Fe rich 3300023368"", ""Hydrotherm Fe rich 3300023444"", ""Hydrotherm Fe rich 3300023440"", ""Hydrotherm Fe rich 3300023439"", ""Hydrotherm Fe rich 3300023548"", ""Freshwater microbial communitie 3300023177"", ""Freshwater microbial communitie 3300024300"", ""Freshwater microbial communitie 3300024333"", ""Freshwater microbial communitie 3300024341"", ""Freshwater microbial communitie 3300028737"", ""Freshwater microbial communitie 3300043827"", ""Metatransc of freshwater 3300061576"", ""Freshwater sediment microbial 3300010391"", ""Freshwater sediment microbial 3300031604"", ""Freshwater sediment microbial 3300021518"", ""Freshwater sediment microbial 3300031593"", ""Freshwater sediment microbial 3300031877"", ""Freshwater sediment microbial 3300036046"", ""Freshwater sediment microbial 3300036045"", ""Freshwater sediment microbial 3300021517"", ""Freshwater sediment microbial 3300031898"", ""Freshwater sediment microbial 3300031876"", ""Freshwater sediment microbial 3300031587"", ""Freshwater sediment microbial 3300031806"", ""Biofilm microbial communitie 3300021476"", ""Acid mine drainage 3300038731"", ""Acid mine drainage 3300038487"", ""Acid mine drainage 3300030091"", ""Acid mine drainage 3300030335"", ""Acid Mine Drainage 2010484004"", ""Acid mine drainage 3300008723"", ""Acid mine drainage 3300008567"", ""Pink biofilm microbial 3300003104"", ""Acid mine drainage 3300030228"", ""Acid mine drainage 3300030082"", ""Acid mine drainage 3300038729"", ""Acid mine drainage 3300038979"", ""Acid Mine Drainage 3300005360"", ""Acid mine drainage 3300039205"", ""Acid Mine Drainage 3300003083"", ""Acid mine drainage 3300008566"", ""Acid mine drainage 3300008721"", ""Acid mine drainage 3300030242"", ""Acid mine drainage 3300039211"", ""Acid mine drainage 3300038493"", ""Acid mine drainage 3300038486"", ""Acid mine drainage 3300030398"", ""Acid mine drainage 3300038494"", ""Acid mine drainage 3300030413"", ""Acid mine drainage 3300038681""]}"	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Acid mine drainage 3300038494	Richmond-AMD	0	64	Incomplete	Incomplete	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Lab enriched acid 3300038413	Akron-AMD	1	9	Complete	Complete	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Acid mine drainage 3300008567	Richmond-AMD	2	48	Incomplete	Incomplete	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Acid mine drainage 3300030091	Richmond-AMD	3	44	Incomplete	Incomplete	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Hydrotherm Fe rich 3300023310	Hydrothermal-Fe-mats	4	14	1 block missing	1 block missing	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Metatransc of lab 3300046014	Akron-AMD	5	6	Complete	Complete	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Metatransc of lab 3300055056	Akron-AMD	6	0	1 block missing	1 block missing	True
cell_comparison	S40	0	M00528 | Nitrification, ammonia -> nitrite	Freshwater sediment microbial 3300010391	Lake-Superior	7	29	Complete	Complete	True
