display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Archaea:Halobacteriota,26128,0.3041479857820595,Phylum,Metagenomics,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Archaea:Thermoproteota,51142,0.5953282413068772,Phylum,Metagenomics,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota,843990,9.82462716320424,Phylum,Metagenomics,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota,1188587,13.835974509213896,Phylum,Metagenomics,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacillota,114435,1.3321025242257338,Phylum,Metagenomics,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacillota_A,43214,0.5030408396197917,Phylum,Metagenomics,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacillota_B,43127,0.502028099465052,Phylum,Metagenomics,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota,391202,4.553861770281431,Phylum,Metagenomics,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Chloroflexota,180933,2.106185223189887,Phylum,Metagenomics,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Cyanobacteriota,147442,1.7163268263808336,Phylum,Metagenomics,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
