display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Archaea:Thermoproteota:Nitrososphaeria:Nitrososphaerales:Nitrososphaeraceae,2321,3.5558347249245474,Family,Metatranscriptomics,25,#E2D015,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Bryobacterales:Bryobacteraceae,1103,1.6898258085272626,Family,Metatranscriptomics,25,#63B612,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Terriglobales:Acidobacteriaceae,2129,3.261685536132857,Family,Metatranscriptomics,25,#DD1751,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Vicinamibacteria:Vicinamibacterales:Vicinamibacteraceae,1172,1.795535673249276,Family,Metatranscriptomics,25,#3BA1EB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales:Acidimicrobiaceae,1416,2.1693502673387157,Family,Metatranscriptomics,25,#B3D869,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Actinomycetales:Dermatophilaceae,1207,1.8491566191227615,Family,Metatranscriptomics,25,#D11D5B,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Thermoleophilia:Solirubrobacterales:Solirubrobacteraceae,1153,1.7664271597750982,Family,Metatranscriptomics,25,#D2A05F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Chitinophagales:Chitinophagaceae,954,1.4615537818087112,Family,Metatranscriptomics,25,#DD7E22,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Cytophagales:Hymenobacteraceae,1782,2.7300721584728755,Family,Metatranscriptomics,25,#95E22F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Chloroflexota:Ktedonobacteria:Ktedonobacterales:Ktedonobacteraceae,4437,6.797603909732968,Family,Metatranscriptomics,25,#9E1463,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
