Module,Metatransc of lab 3300055056,Metatransc of lab 3300055062,Metatransc of lab 3300055061,Metatransc of lab 3300055069,Lab enriched acid 3300038471,Lab enriched acid 3300038411,Metatransc of lab 3300046014,Lab enriched acid 3300038412,Metatransc of lab 3300046013,Lab enriched acid 3300038413,Metatransc of lab 3300055057,Lab enriched sediment 3300039027,Lab enriched sediment 3300039028,Hydrotherm Fe rich 3300023307,Hydrotherm Fe rich 3300023310,Hydrotherm Fe rich 3300023442,Hydrotherm Fe rich 3300023313,Hydrotherm Fe rich 3300023368,Hydrotherm Fe rich 3300023444,Hydrotherm Fe rich 3300023440,Hydrotherm Fe rich 3300023439,Hydrotherm Fe rich 3300023548,Freshwater microbial communitie 3300023177,Freshwater microbial communitie 3300024300,Freshwater microbial communitie 3300024333,Freshwater microbial communitie 3300024341,Freshwater microbial communitie 3300028737,Freshwater microbial communitie 3300043827,Metatransc of freshwater 3300061576,Freshwater sediment microbial 3300010391,Freshwater sediment microbial 3300031604,Freshwater sediment microbial 3300021518,Freshwater sediment microbial 3300031593,Freshwater sediment microbial 3300031877,Freshwater sediment microbial 3300036046,Freshwater sediment microbial 3300036045,Freshwater sediment microbial 3300021517,Freshwater sediment microbial 3300031898,Freshwater sediment microbial 3300031876,Freshwater sediment microbial 3300031587,Freshwater sediment microbial 3300031806,Biofilm microbial communitie 3300021476,Acid mine drainage 3300038731,Acid mine drainage 3300038487,Acid mine drainage 3300030091,Acid mine drainage 3300030335,Acid Mine Drainage 2010484004,Acid mine drainage 3300008723,Acid mine drainage 3300008567,Pink biofilm microbial 3300003104,Acid mine drainage 3300030228,Acid mine drainage 3300030082,Acid mine drainage 3300038729,Acid mine drainage 3300038979,Acid Mine Drainage 3300005360,Acid mine drainage 3300039205,Acid Mine Drainage 3300003083,Acid mine drainage 3300008566,Acid mine drainage 3300008721,Acid mine drainage 3300030242,Acid mine drainage 3300039211,Acid mine drainage 3300038493,Acid mine drainage 3300038486,Acid mine drainage 3300030398,Acid mine drainage 3300038494,Acid mine drainage 3300030413,Acid mine drainage 3300038681
"M00528 | Nitrification, ammonia -> nitrite",1 block missing,Incomplete,1 block missing,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00529 | Denitrification, nitrate -> nitrogen",Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Incomplete,1 block missing,Complete,Incomplete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00530 | Dissimilatory nitrate reduction, nitrate -> ammonia",Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Complete,Incomplete,Complete,1 block missing,1 block missing,Incomplete,Incomplete,Complete,Complete,Complete,Complete,Complete,Incomplete,Incomplete,Complete,Incomplete,Complete,Incomplete,1 block missing,Complete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00804 | Complete nitrification, comammox, ammonia -> nitrite -> nitrate",1 block missing,Incomplete,1 block missing,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,1 block missing,1 block missing,1 block missing,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
M00165 | Reductive pentose phosphate cycle (Calvin cycle),Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,1 block missing,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00166 | Reductive pentose phosphate cycle, ribulose-5P -> glyceraldehyde-3P",1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,1 block missing,1 block missing,1 block missing,Complete,1 block missing,1 block missing,Incomplete,1 block missing,1 block missing,1 block missing,Complete,Complete,1 block missing,1 block missing,1 block missing,Incomplete,1 block missing,Incomplete,Incomplete,Complete,1 block missing,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
M00376 | 3-Hydroxypropionate bi-cycle,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,1 block missing,1 block missing,Complete,Complete,Incomplete,Incomplete,1 block missing,Incomplete,Complete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
M00377 | Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway),Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Complete,Incomplete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Incomplete,Incomplete,Complete,Complete,1 block missing,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,1 block missing,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00422 | Acetyl-CoA pathway, CO2 -> acetyl-CoA",Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Incomplete,Complete,Complete,Complete,Incomplete,Complete,Complete,Complete,Complete,1 block missing,Incomplete,Incomplete,1 block missing,Complete,Incomplete,Complete,Complete,Incomplete,Incomplete,Incomplete,Complete,Complete,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
"M00579 | Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA -> acetate",Incomplete,Incomplete,Incomplete,Incomplete,Complete,Complete,Incomplete,Complete,Incomplete,Complete,Incomplete,Incomplete,Incomplete,1 block missing,1 block missing,Complete,1 block missing,Complete,Complete,Complete,1 block missing,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,1 block missing,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,1 block missing,Complete,Complete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete,Incomplete
