MAG,Display_label,AM-D,AM-R,TI-D,TI-R,TIA-D,TIA-R,VI-D,VI-R
MAG.37,Euryarchaeota archaeon RBG-16-68-12 MAG.37,0.29566600000000004,0.508069,0.17010450000000002,0.06278975,0.1137495,0.570418,0.8479905,1.108371
MAG.7,Candidatus Bathyarchaeota archaeon 20-14-0-80-47-9 MAG.7,0.09336900000000001,0.1302845,0.155251,0.03949375,0.0585995,0.4454805,0.323875,0.48002500000000003
MAG.18,Dehalococcoidia bacterium SZUA-161 MAG.18,0.0,0.0051595,0.13521450000000002,0.420269,0.00085575,0.0,0.0,0.0032935
MAG.10,Candidatus Bathyarchaeota archaeon B26-1 MAG.10,0.030685,0.068497,0.014009,0.00569925,0.0065955,0.068328,0.18813,0.410289
MAG.4,Acidobacteria bacterium UBA7541 MAG.4,0.058944,0.0,0.0093485,0.0,0.003258,0.0125565,0.037606,0.4033815
MAG.13,Nitrospirales bacterium LBB_01 MAG.13,0.0,0.0028535,0.00178525,0.0317225,0.402857,0.2146065,0.0,0.0
MAG.6,Candidatus Bathyarchaeota archaeon 40CM-2-53-6 MAG.6,0.372365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAG.8,Trebonia kvetii MAG.8,0.326911,0.0478575,0.0,0.0,0.0040345,0.001696,0.0,0.001897
MAG.30,Anaerolineales bacterium MAG.30,0.047918999999999996,0.065869,0.08623275,0.01258225,0.028099,0.112971,0.1036105,0.3208395
MAG.47,Candidatus Lokiarchaeota archaeon MAG.47,0.06748649999999999,0.045546,0.011845,0.00415475,0.0,0.020231,0.108773,0.30727699999999997
MAG.38,Candidatus Bathyarchaeota archaeon 40CM-2-53-6 MAG.38,0.0606275,0.0794605,0.12213650000000001,0.112043,0.047742,0.20895249999999999,0.153525,0.2968175
MAG.35,Acidobacteria bacterium UBA7541 MAG.35,0.287335,0.08491075,0.012462375,0.00527325,0.012714,0.05359025,0.06952225,0.16140074999999998
MAG.25,Nitrosotalea sp. MAG.25,0.2742905,0.0792595,0.0,0.0,0.0,0.0,0.0,0.0
MAG.9,Anaeromyxobacter sp. Red267 MAG.9,0.01489199999999995,0.12860349999999995,0.00584725,0.017493,0.27314675,0.146074,0.0,0.007799
MAG.3,Candidatus Aminicenantes bacterium MAG.3,0.266213,0.028319999999999998,0.14279225,0.037127,0.011058,0.1740595,0.0148695,0.034577
MAG.21,Candidatus Bathyarchaeota archaeon BA1 MAG.21,0.0041795,0.003175,0.1286835,0.074752375,0.036349,0.2605405,0.078806,0.19667
MAG.36,Candidatus Bathyarchaeota archaeon FEN-987 MAG.36,0.0,0.084427,0.0,0.0,0.0,0.006968,0.139967,0.2563575
MAG.14,Spirochaetes bacterium RBG_16_67_19 MAG.14,0.02099,0.074849,0.03296,0.01880425,0.0196845,0.1285135,0.073818,0.2523525
