display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Archaea:Halobacteriota,26128,0.3041479857820595,Phylum,all packaged layers,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Archaea:Thermoproteota,51142,0.5953282413068772,Phylum,all packaged layers,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Acidobacteriota,843990,9.82462716320424,Phylum,all packaged layers,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Actinomycetota,1188587,13.835974509213896,Phylum,all packaged layers,20,#EAAD36,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Bacillota,114435,1.3321025242257338,Phylum,all packaged layers,20,#3AF345,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Bacillota_A,43214,0.5030408396197917,Phylum,all packaged layers,20,#D251BD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Bacillota_B,43127,0.502028099465052,Phylum,all packaged layers,20,#609F27,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Bacteroidota,391202,4.553861770281431,Phylum,all packaged layers,20,#BF5CD9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Chloroflexota,180933,2.106185223189887,Phylum,all packaged layers,20,#215EAD,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Cyanobacteriota,147442,1.7163268263808336,Phylum,all packaged layers,20,#CE7012,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Desulfobacterota,183592,2.137137821712334,Phylum,all packaged layers,20,#0F12A1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Gemmatimonadota,170901,1.9894058067261078,Phylum,all packaged layers,20,#A050DB,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Myxococcota,280376,3.263770501440245,Phylum,all packaged layers,20,#BBEC20,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Nitrospirota,104296,1.2140775537785393,Phylum,all packaged layers,20,#16F78E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Patescibacteria,3169,0.03688935115367983,Phylum,all packaged layers,20,#E36AE6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Planctomycetota,418607,4.872874919024441,Phylum,all packaged layers,20,#20419F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Pseudomonadota,4049283,47.1364539310906,Phylum,all packaged layers,20,#59FAB4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Bacteria:Verrucomicrobiota,221289,2.5759569666919075,Phylum,all packaged layers,20,#5BD6A6,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metagenomics,Other taxa,128842,1.4998099657123434,Phylum,all packaged layers,20,#D4A373,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metatranscriptomics,Archaea:Halobacteriota,435,0.2663760004408982,Phylum,all packaged layers,20,#F547E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metatranscriptomics,Archaea:Thermoproteota,4757,2.91298996344219,Phylum,all packaged layers,20,#ADB820,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD | Metatranscriptomics,Bacteria:Acidobacteriota,9991,6.118074989436813,Phylum,all packaged layers,20,#C371E7,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
