display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Archaea:Thermoproteota:Nitrososphaeria:Nitrososphaerales,47295,0.6154060352601178,Order,Metagenomics,25,#E78313,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Bryobacterales,167250,2.176269360339459,Order,Metagenomics,25,#67F0C4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Terriglobales,189757,2.469132107682719,Order,Metagenomics,25,#49E319,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Vicinamibacteria:Vicinamibacterales,389996,5.074656774020614,Order,Metagenomics,25,#165DC4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales,123859,1.6116624615981168,Order,Metagenomics,25,#D58428,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Actinomycetales,218085,2.8377381372175243,Order,Metagenomics,25,#DC628E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Mycobacteriales,308545,4.014810342516821,Order,Metagenomics,25,#F311C5,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Cytophagales,134291,1.7474044165581244,Order,Metagenomics,25,#45C9E2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Chloroflexota:Chloroflexia:Chloroflexales,43194,0.5620435201823772,Order,Metagenomics,25,#F619A2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Cyanobacteriota:Cyanobacteriia:Cyanobacteriales,105296,1.370119333729768,Order,Metagenomics,25,#13EF2E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Desulfobacterota:Desulfobacteria:Desulfobacterales,30012,0.39051836198808876,Order,Metagenomics,25,#6B2594,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Planctomycetota:Planctomycetia:Gemmatales,75634,0.9841551976078604,Order,Metagenomics,25,#E31034,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Planctomycetota:Planctomycetia:Pirellulales,157352,2.0474758528438537,Order,Metagenomics,25,#96D050,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Alphaproteobacteria:Acetobacterales,83149,1.0819409329917231,Order,Metagenomics,25,#F0101A,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Alphaproteobacteria:Caulobacterales,120361,1.5661462270841113,Order,Metagenomics,25,#261FB9,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhizobiales,1292477,16.817806242412335,Order,Metagenomics,25,#D2F356,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Alphaproteobacteria:Rhodobacterales,69732,0.9073579374301415,Order,Metagenomics,25,#3CA31F,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Alphaproteobacteria:Sphingomonadales,272963,3.5518147288869346,Order,Metagenomics,25,#9E25EF,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Gammaproteobacteria:Burkholderiales,974923,12.685770126100007,Order,Metagenomics,25,#87C91B,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Pseudomonadota:Gammaproteobacteria:Pseudomonadales,165015,2.1471873751654162,Order,Metagenomics,25,#1BF738,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
