display_group,taxon,count_or_abundance,relative_abundance_percent,taxonomy_level,layer_filter,top_n,colour_hex,script,input_table
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Archaea:Thermoproteota:Nitrososphaeria:Nitrososphaerales,4656,3.137572020620641,Order,Metatranscriptomics,25,#E78313,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Bryobacterales,2105,1.418511405370801,Order,Metatranscriptomics,25,#67F0C4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Terriglobia:Terriglobales,4642,3.1281377404899087,Order,Metatranscriptomics,25,#49E319,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Acidobacteriota:Vicinamibacteria:Vicinamibacterales,2331,1.5708076417669061,Order,Metatranscriptomics,25,#165DC4,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Acidimicrobiia:Acidimicrobiales,4215,2.840392196502578,Order,Metatranscriptomics,25,#D58428,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Actinomycetales,5894,3.9718319350382427,Order,Metatranscriptomics,25,#DC628E,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Mycobacteriales,7945,5.353953974190505,Order,Metatranscriptomics,25,#F311C5,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Propionibacteriales,3090,2.0822804002830284,Order,Metatranscriptomics,25,#719C29,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Streptomycetales,2218,1.4946595235688536,Order,Metatranscriptomics,25,#B42F84,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Actinomycetes:Streptosporangiales,1889,1.2729539404966475,Order,Metatranscriptomics,25,#381DF3,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Actinomycetota:Thermoleophilia:Solirubrobacterales,2651,1.7864483304693555,Order,Metatranscriptomics,25,#7996DF,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Chitinophagales,1766,1.1900670507766433,Order,Metatranscriptomics,25,#2FEDB1,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Cytophagales,3680,2.4798679200781697,Order,Metatranscriptomics,25,#45C9E2,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
Additional AMD group: Akron / Pennsylvania–Ohio lab-enriched AMD,Bacteria:Bacteroidota:Bacteroidia:Flavobacteriales,444,0.2992014555746487,Order,Metatranscriptomics,25,#14AF95,scripts/final_visual_sync.py,tables/st8_taxonomy_summary_by_group.csv
