Module,Acid mine drainage 3300038494,Lab enriched acid 3300038413,Acid mine drainage 3300008567,Acid mine drainage 3300030091,Hydrotherm Fe rich 3300023310,Metatransc of lab 3300046014,Metatransc of lab 3300055056,Freshwater sediment microbial 3300010391,Freshwater sediment microbial 3300031898,Freshwater microbial communitie 3300024300,Metatransc of lab 3300055061,Hydrotherm Fe rich 3300023368,Acid mine drainage 3300038487,Freshwater sediment microbial 3300031593,Acid mine drainage 3300030082,Freshwater sediment microbial 3300031604,Freshwater sediment microbial 3300021518,Acid mine drainage 3300030398,Acid mine drainage 3300030242,Hydrotherm Fe rich 3300023439,Freshwater microbial communitie 3300024333,Lab enriched sediment 3300039027,Acid mine drainage 3300039205,Freshwater microbial communitie 3300043827,Lab enriched acid 3300038471,Acid mine drainage 3300030335,Freshwater microbial communitie 3300028737,Lab enriched acid 3300038411,Freshwater sediment microbial 3300031877,Acid mine drainage 3300038731,Acid mine drainage 3300038979,Hydrotherm Fe rich 3300023548,Metatransc of freshwater 3300061576,Acid mine drainage 3300038486,Freshwater sediment microbial 3300031587,Acid Mine Drainage 3300005360,Acid mine drainage 3300008723,Acid mine drainage 3300038493,Freshwater sediment microbial 3300036045,Metatransc of lab 3300046013,Acid mine drainage 3300038729,Acid mine drainage 3300030413,Lab enriched acid 3300038412,Freshwater sediment microbial 3300031806,Metatransc of lab 3300055057,Hydrotherm Fe rich 3300023440,Lab enriched sediment 3300039028,Acid mine drainage 3300008566,Freshwater microbial communitie 3300024341,Freshwater sediment microbial 3300021517,Metatransc of lab 3300055062,Hydrotherm Fe rich 3300023442,Freshwater sediment microbial 3300036046,Hydrotherm Fe rich 3300023313,Acid mine drainage 3300039211,Acid mine drainage 3300008721,Pink biofilm microbial 3300003104,Acid mine drainage 3300038681,Acid mine drainage 3300030228,Metatransc of lab 3300055069,Acid Mine Drainage 2010484004,Hydrotherm Fe rich 3300023307,Freshwater sediment microbial 3300031876,Freshwater microbial communitie 3300023177,Biofilm microbial communitie 3300021476,Acid Mine Drainage 3300003083,Hydrotherm Fe rich 3300023444
M00063 | CMP-KDO biosynthesis,2,2,0,2,2,0,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
M00793 | dTDP-L-rhamnose biosynthesis,2,2,0,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2
M00916 | Pyridoxal-P_biosynthesis,2,2,0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,0,2,2,2,2,2,1,2,2,2,0,2
"M00365 | C10-C20 isoprenoid biosynthesis, archaea",2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,0,2,2,1,2,2,2,2,0,2,2,2,1,1,1,2,2,2,0,2
"M00157 | F-type ATPase, prokaryotes and chloroplasts",2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,1,2
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",2,2,0,2,2,0,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,0,2,2,2,2,2,2,2,0,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2
"M00169 | CAM (Crassulacean acid metabolism), light",1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,0,1,2,2,2,2,2,2,1,2,2,0,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,0,2
"M00909 | UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",2,2,0,2,2,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,1,1,2,2,0,0,1,2,2,2,0,2
"M00031 | Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine",2,2,0,2,1,0,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,0,0,2,2,0,2,2,2,2,0,2,2,2,0,0,0,2,2,2,0,2
"M00134 | Polyamine biosynthesis, arginine => ornithine => putrescine",1,2,0,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,0,1,2,2,1,1,2,2,1,2,2,0,2,2,2,2,2,2,1,0,1,1,1,1,2,1,2,2,2,0,2
"M00554 | Nucleotide sugar biosynthesis, galactose => UDP-galactose",1,2,1,1,2,0,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,0,1,2,2,2,1,2
"M00632 | Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",1,2,0,1,2,0,1,2,2,2,0,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,0,2,1,0,1,2,2,1,1,2,2,1,2,2,0,2,2,1,2,2,2,1,0,1,1,1,1,0,1,2,2,2,0,2
"M00364 | C10-C20 isoprenoid biosynthesis, bacteria",1,2,0,1,2,0,0,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,0,1,2,2,1,1,2,2,1,2,1,0,2,2,1,2,2,2,1,0,1,1,1,0,0,1,2,2,2,0,2
"M00535 | Isoleucine biosynthesis, pyruvate => 2-oxobutanoate",1,2,0,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2
"M00844 | Arginine biosynthesis, ornithine => arginine",1,1,0,1,1,1,0,2,2,2,0,1,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2
"M00096 | C5 isoprenoid biosynthesis, non-mevalonate pathway",0,2,0,2,2,0,0,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0,0,2,1,0,2,0,0,0,2,2,0,1,2,2,0,2,2,0,2,2,1,2,2,2,0,0,0,0,0,0,1,1,2,2,2,0,2
M00926 | Heme_biosynthesis_bacteria,1,2,0,1,1,0,0,2,2,2,0,2,1,1,1,1,2,1,1,2,2,2,0,2,2,1,2,2,1,0,0,2,2,0,2,1,0,1,2,0,1,1,2,2,0,2,1,0,2,2,0,2,2,2,0,0,1,0,1,0,0,0,1,2,2,0,2
"M00033 | Ectoine biosynthesis, aspartate => ectoine",2,2,0,2,1,0,0,1,0,1,0,1,2,1,2,0,1,2,2,0,0,0,2,0,2,2,0,1,1,2,2,2,0,2,0,2,2,2,1,0,2,2,2,1,0,2,2,2,0,1,0,1,1,0,2,2,2,2,2,0,0,0,1,0,0,2,2
"M00159 | V/A-type ATPase, prokaryotes",1,1,0,2,1,0,0,2,2,2,0,1,1,2,2,2,2,2,2,2,2,0,0,0,2,2,2,1,2,0,1,0,0,0,2,2,0,1,1,0,1,2,2,2,0,2,0,0,2,1,0,2,2,1,1,0,1,0,2,0,1,0,2,2,1,0,2
"M00432 | Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate",1,2,0,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1
"M00086 | beta-Oxidation, acyl-CoA synthesis",1,2,0,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2
"M00019 | Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine",1,1,0,1,1,1,0,2,1,2,0,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00088 | Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",0,2,0,0,2,1,0,2,2,2,0,2,0,2,0,2,2,0,1,2,2,0,0,2,2,0,2,2,2,0,0,2,2,0,2,0,0,0,2,2,0,0,2,2,0,2,1,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,2
"M00093 | Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE",1,2,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1
"M00866 | KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",0,2,0,1,2,0,0,2,2,2,0,2,0,2,0,2,2,0,0,2,2,0,0,2,2,0,2,2,2,0,0,2,1,0,2,0,0,0,2,1,0,0,2,2,0,2,2,0,2,2,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,2
"M00008 | Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",0,2,0,0,2,2,0,2,1,2,0,2,0,1,0,1,2,0,0,1,2,2,0,2,2,0,2,2,1,0,0,2,2,0,1,0,0,0,2,2,0,0,2,1,0,2,2,0,2,2,0,2,2,1,0,0,0,0,0,0,0,0,1,2,2,0,2
"M00015 | Proline biosynthesis, glutamate => proline",1,1,0,1,1,0,0,2,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M00119 | Pantothenate biosynthesis, valine/L-aspartate => pantothenate",0,2,0,0,2,0,0,2,1,2,0,2,0,1,0,2,2,0,2,1,2,1,0,2,2,0,2,1,2,0,0,2,1,0,1,0,0,0,2,1,0,0,2,1,0,1,1,0,2,2,1,2,2,2,0,1,0,0,0,0,0,1,1,2,2,0,2
"M00596 | Dissimilatory sulfate reduction, sulfate => H2S",0,2,0,0,2,0,0,2,2,2,0,2,0,2,0,2,2,0,0,2,2,0,0,0,2,0,2,2,2,0,0,2,0,0,2,0,0,0,2,2,0,0,2,2,0,2,0,0,2,1,1,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,2
"M00155 | Cytochrome c oxidase, prokaryotes",0,2,0,0,1,0,0,2,0,2,1,2,0,2,0,1,2,0,1,2,2,0,0,2,2,0,2,2,1,0,0,2,1,0,2,0,0,0,2,1,0,1,2,1,0,2,0,0,2,2,0,2,2,2,0,0,0,0,0,1,0,1,1,2,2,0,2
"M00843 | L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4",1,1,0,1,1,0,0,1,1,2,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,2,1,1,1,1,1,1,0,0,1,1,2,1,1,1
"M00156 | Cytochrome c oxidase, cbb3-type",0,2,0,0,2,1,0,2,1,2,0,2,0,0,0,0,2,0,0,2,2,1,0,2,2,0,2,2,0,0,0,2,1,0,0,0,0,0,2,2,0,0,2,1,0,2,2,0,2,2,1,2,2,2,0,0,0,0,0,1,0,2,0,2,2,0,2
"M00552 | D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",0,2,0,0,0,0,0,2,1,2,0,2,0,2,0,1,2,0,0,2,2,1,0,2,2,0,2,2,2,0,0,1,2,0,2,0,0,0,2,1,0,0,2,1,0,2,2,0,2,2,0,2,2,2,0,0,0,0,0,0,0,0,2,2,2,0,1
