Module_id,Module_name,KO_count,KO_set
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",29,"K00134,K00150,K00844,K00845,K00850,K00873,K00886,K00918,K00927,K01623,K01624,K01689,K01803,K01810,K01834,K06859,K08074,K11389,K11645,K12406,K12407,K13810,K15633,K15634,K15635,K15916,K16305,K16306,K16370"
M00002,"Glycolysis, core module involving three-carbon compounds",12,"K00134,K00150,K00873,K00927,K01689,K01803,K01834,K11389,K12406,K15633,K15634,K15635"
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",20,"K00134,K00150,K00927,K01086,K01596,K01610,K01622,K01623,K01624,K01689,K01803,K01834,K02446,K03841,K04041,K11532,K11645,K15633,K15634,K15635"
M00004,Pentose phosphate pathway (Pentose phosphate cycle),15,"K00033,K00036,K00615,K00616,K01057,K01783,K01807,K01808,K01810,K06859,K07404,K13810,K13937,K15916,K19243"
M00005,"PRPP biosynthesis, ribose 5P => PRPP",1,K00948
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",6,"K00033,K00036,K01057,K07404,K13937,K19243"
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",6,"K00615,K00616,K01783,K01807,K01808,K13810"
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",5,"K00036,K01057,K01625,K01690,K07404"
M00009,"Citrate cycle (TCA cycle, Krebs cycle)",40,"K00024,K00025,K00026,K00030,K00031,K00116,K00164,K00174,K00175,K00176,K00177,K00234,K00235,K00236,K00237,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00382,K00658,K01647,K01676,K01677,K01678,K01679,K01681,K01682,K01899,K01900,K01902,K01903,K05942,K18118,K18859,K18860"
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,"K00030,K00031,K01647,K01681,K01682,K05942"
M00011,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",34,"K00024,K00025,K00026,K00116,K00164,K00174,K00175,K00176,K00177,K00234,K00235,K00236,K00237,K00239,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K00382,K00658,K01676,K01677,K01678,K01679,K01899,K01900,K01902,K01903,K18118,K18859,K18860"
M00012,Glyoxylate cycle,9,"K00024,K00025,K00026,K01637,K01638,K01647,K01681,K01682,K19282"
M00013,"Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",9,"K00140,K00232,K00248,K05605,K07511,K07514,K07515,K14729,K23146"
M00014,Glucuronate pathway (uronate pathway),12,"K00002,K00008,K00012,K00699,K00854,K01195,K03331,K05351,K12447,K13247,K14756,K16190"
M00015,"Proline biosynthesis, glutamate => proline",4,"K00147,K00286,K00931,K12657"
M00016,"Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine",13,"K00133,K00215,K00674,K00821,K00928,K01439,K01586,K01714,K01778,K12524,K12525,K12526,K14267"
M00017,"Methionine biosynthesis, apartate => homoserine => methionine",12,"K00003,K00133,K00548,K00549,K00641,K00651,K00928,K01739,K01760,K12524,K12525,K14155"
