Module_id,Module_name,Sample,present_KOs,required_KOs,missing_KOs,KEMET_style_status_3state
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038494,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched acid 3300038413,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300008567,5,29,24,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030091,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023310,22,29,7,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300046014,13,29,16,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300055056,12,29,17,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300010391,26,29,3,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031898,23,29,6,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300024300,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Metatransc of lab 3300055061,11,29,18,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023368,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038487,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031593,23,29,6,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030082,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031604,23,29,6,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300021518,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030398,17,29,12,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030242,18,29,11,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Hydrotherm Fe rich 3300023439,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300024333,28,29,1,1 block missing
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched sediment 3300039027,17,29,12,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300039205,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300043827,22,29,7,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched acid 3300038471,25,29,4,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300030335,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater microbial communitie 3300028737,26,29,3,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Lab enriched acid 3300038411,24,29,5,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Freshwater sediment microbial 3300031877,23,29,6,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038731,16,29,13,Incomplete
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Acid mine drainage 3300038979,16,29,13,Incomplete
