Module,MAG.1 — Thermoplasmata RBG-16-68-12,MAG.2 — ,MAG.3 — Candidatus Aminicenantes ...,MAG.4 — Acidobacteria bacterium U...,MAG.5 — Candidatus Bathyarchaeota...,MAG.6 — Candidatus Bathyarchaeota...,MAG.7 — Candidatus Bathyarchaeota...,MAG.8 — Trebonia kvetii,MAG.9 — Anaeromyxobacter sp. Red267,MAG.10 — Candidatus Bathyarchaeota...,MAG.11 — Nitrososphaeria archeon E...,MAG.12 — Dehalococcoides mccartyi,MAG.13 — Nitrospirales bacterium L...,MAG.14 — Spirochaetes bacterium RB...,MAG.15 — Bacteroidota UBA6906,MAG.16 — Candidatus Bathyarchaeota...,MAG.17 — Thermoplasmata archaeon S...,MAG.18 — Dehalococcoidia bacterium...,MAG.19 — Euryarchaeota archaeon RB...,MAG.20 — Candidatus Bathyarchaeota...,MAG.21 — Candidatus Bathyarchaeota...,MAG.22 — Candidatus Bathyarchaeota...,MAG.24 — Candidatus Bathyarchaeota...,MAG.25 — Nitrosotalea sp.,MAG.26 — Burkholderiales bacterium,MAG.27 — Planctomycetes bacterium ...,MAG.28 — ,MAG.29 — Candidatus Aminicenantes ...,MAG.30 — Anaerolineales bacterium,MAG.31 — Thermoflexales bacterium,MAG.32 — Lokiarchaeia archaeon,MAG.33 — Thermoflexales bacterium ...,MAG.34 — Hydrococcus,MAG.35 — Acidobacteria bacterium U...,MAG.36 — Candidatus Bathyarchaeota...,MAG.37 — Euryarchaeota archaeon RB...,MAG.38 — Candidatus Bathyarchaeota...,MAG.39 — Lokiarchaeia archaeon,MAG.40 — Desulfobacterota bacteriu...,MAG.41 — Dehalococcoidia bacterium...,MAG.42 — Dehalococcoidia bacterium...,MAG.43 — Acidobacteria bacterium U...,MAG.44 — Anaerolineae bacterium UB...,MAG.45 — Candidatus Aminicenantes ...,MAG.46 — Candidatus Methanopereden...,MAG.47 — ,MAG.48 — Lokiarchaeia archaeon
M00916 | Pyridoxal-P_biosynthesis,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"M00010 | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",0.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,1.0,0.6666666666666667,1.0,0.0,0.0,0.0
"M00086 | beta-Oxidation, acyl-CoA synthesis",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"M00028 | Ornithine biosynthesis, glutamate => ornithine",0.0,0.4,0.0,0.4,0.0,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8,0.8,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.0,0.0,0.4,0.2,0.0,0.0,1.0,1.0,0.4,0.0,0.4,0.0,0.8,1.0,0.6,1.0,0.8,0.0,0.0,0.0,0.0
M00793 | dTDP-L-rhamnose biosynthesis,0.75,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.75,1.0,0.75,0.5,1.0,0.75,0.0,0.25,0.25,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
"M00854 | Glycogen biosynthesis, glucose-1P => glycogen/starch",0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.6666666666666667,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666667,0.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.0,0.0,0.0
"M00082 | Fatty acid biosynthesis, initiation",0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.6666666666666667,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.6666666666666667,1.0,0.0,0.0,0.0
"M00021 | Cysteine biosynthesis, serine => cysteine",0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0.25,0.25,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.25,0.25,0.75,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.25,0.0,0.5,0.25,0.75,0.75,1.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.25,0.25,1.0,0.75,0.75,1.0,0.75,1.0,0.25,0.0,0.0
"M00022 | Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",0.0,0.5714285714285715,0.0,0.5714285714285715,0.0,0.0,0.0,0.7142857142857143,1.0,0.0,0.2857142857142857,0.8571428571428571,1.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.7142857142857143,0.0,0.4285714285714285,1.0,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.5714285714285715,1.0,0.8571428571428571,0.5714285714285715,0.5714285714285715,0.7142857142857143,0.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,1.0,0.7142857142857143,0.0,0.0,0.0,0.0
