Module,MAG.1,MAG.2,MAG.3,MAG.4,MAG.5,MAG.6,MAG.7,MAG.8,MAG.9,MAG.10,MAG.11,MAG.12,MAG.13,MAG.14,MAG.15,MAG.16,MAG.17,MAG.18,MAG.19,MAG.20,MAG.21,MAG.22,MAG.24,MAG.25,MAG.26,MAG.27,MAG.28,MAG.29,MAG.30,MAG.31,MAG.32,MAG.33,MAG.34,MAG.35,MAG.36,MAG.37,MAG.38,MAG.39,MAG.40,MAG.41,MAG.42,MAG.43,MAG.44,MAG.45,MAG.46,MAG.47,MAG.48
"M00005 | PRPP biosynthesis, ribose 5P => PRPP",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"M00307 | Pyruvate oxidation, pyruvate => acetyl-CoA",1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
"M00049 | Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",1.0,0.5,0.5,1.0,0.5,1.0,1.0,0.75,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.25,1.0,0.75,0.5,1.0,1.0,1.0,0.75,1.0,0.75,0.5,0.75,0.75,0.75,1.0,0.25,1.0,0.5,0.5,0.5
"M00086 | beta-Oxidation, acyl-CoA synthesis",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"M00002 | Glycolysis, core module involving three-carbon compounds",0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.5,1.0,1.0,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.8333333333333333,0.6666666666666667,0.5,0.33333333333333337,0.8333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.6666666666666667,1.0,0.33333333333333337,0.8333333333333333,0.8333333333333333,0.6666666666666667,0.0
"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",0.375,0.5,0.875,0.625,0.5,0.875,0.875,1.0,1.0,0.875,0.375,0.875,1.0,0.625,0.875,0.625,0.5,0.875,0.875,0.875,0.75,0.75,0.375,0.875,0.875,0.5,0.5,0.375,0.75,0.75,0.75,0.75,1.0,1.0,0.625,0.75,0.875,0.75,0.625,0.875,0.375,0.875,0.25,1.0,0.875,0.625,0.0
"M00052 | Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",1.0,0.33333333333333337,0.6666666666666667,0.0,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,1.0,1.0,1.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.0,0.33333333333333337,1.0,0.6666666666666667,1.0,0.33333333333333337,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.33333333333333337
"M00050 | Guanine ribonucleotide biosynthesis IMP => GDP,GTP",0.5,0.25,0.75,1.0,0.25,0.75,0.75,0.75,1.0,0.5,0.5,1.0,1.0,0.75,0.75,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.75,1.0,1.0,0.25,0.5,1.0,0.25,0.5,0.75,0.75,1.0,0.75,0.75,0.75,0.25,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5
"M00048 | Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",0.9090909090909091,0.6363636363636364,0.6363636363636364,0.9090909090909091,0.2727272727272727,1.0,0.45454545454545453,1.0,1.0,0.6363636363636364,0.5454545454545454,0.9090909090909091,1.0,0.8181818181818181,1.0,0.36363636363636365,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.9090909090909091,1.0,0.9090909090909091,0.5454545454545454,0.8181818181818181,0.09090909090909091,0.9090909090909091,0.18181818181818182,0.36363636363636365,1.0,0.9090909090909091,0.8181818181818181,0.9090909090909091,0.8181818181818181,0.0,0.9090909090909091,0.5454545454545454,0.36363636363636365,1.0,0.18181818181818182,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727
"M00051 | Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP",0.6666666666666667,0.2,0.6666666666666667,0.5,0.2,0.6666666666666667,1.0,0.8333333333333333,0.8333333333333333,0.33333333333333337,0.33333333333333337,0.8333333333333333,0.8333333333333333,0.6666666666666667,1.0,0.2,0.8333333333333333,0.8333333333333333,1.0,0.33333333333333337,0.4,0.6666666666666667,0.4,0.5,0.8333333333333333,0.8333333333333333,0.4,0.6,0.0,0.5,0.8333333333333333,1.0,0.8333333333333333,0.8333333333333333,0.33333333333333337,1.0,0.4,0.8333333333333333,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.8,0.8,0.8333333333333333,0.6666666666666667,0.2,0.33333333333333337
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0.25,0.25,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.25,0.25,0.75,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.25,0.0,0.5,0.25,0.75,0.75,1.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.25,0.25,1.0,0.75,0.75,1.0,0.75,1.0,0.25,0.0,0.0
"M00140 | C1-unit interconversion, prokaryotes",0.75,0.5,1.0,0.75,0.25,1.0,0.25,1.0,1.0,0.25,0.75,0.25,0.75,0.75,0.75,0.25,1.0,0.75,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.25,1.0,0.75,1.0,0.25,0.25,0.75,1.0,0.25,1.0,0.75,0.25,0.5,1.0,0.5,1.0,0.5,0.75,0.25,0.25,0.25
"M00844 | Arginine biosynthesis, ornithine => arginine",0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0,0.0,1.0,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.0,0.33333333333333337,0.6666666666666667,0.0,1.0,1.0,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,1.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
