Module,MAG.1,MAG.2,MAG.3,MAG.4,MAG.5,MAG.6,MAG.7,MAG.8,MAG.9,MAG.10,MAG.11,MAG.12,MAG.13,MAG.14,MAG.15,MAG.16,MAG.17,MAG.18,MAG.19,MAG.20,MAG.21,MAG.22,MAG.24,MAG.25,MAG.26,MAG.27,MAG.28,MAG.29,MAG.30,MAG.31,MAG.32,MAG.33,MAG.34,MAG.35,MAG.36,MAG.37,MAG.38,MAG.39,MAG.40,MAG.41,MAG.42,MAG.43,MAG.44,MAG.45,MAG.46,MAG.47,MAG.48
"M00001 | Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",0.3,0.4,0.5,0.5,0.3,0.7,0.7,0.7,0.9,0.5,0.5,0.9,0.8,0.6,0.7,0.4,0.3,0.7,0.5,0.7,0.6,0.6,0.1,0.5,0.8,0.5,0.3,0.4,0.6,0.4,0.5,0.6,0.9,0.8,0.5,0.5,0.8,0.4,0.7,0.8,0.4,0.7,0.3,0.6,0.6,0.5,0.0
"M00002 | Glycolysis, core module involving three-carbon compounds",0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,1.0,0.8333333333333333,0.8333333333333333,1.0,0.8333333333333333,0.5,1.0,1.0,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.6666666666666667,0.16666666666666669,0.6666666666666667,0.8333333333333333,0.6666666666666667,0.5,0.33333333333333337,0.8333333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.6666666666666667,1.0,0.33333333333333337,0.8333333333333333,0.8333333333333333,0.6666666666666667,0.0
"M00003 | Gluconeogenesis, oxaloacetate => fructose-6P",0.375,0.5,0.875,0.625,0.5,0.875,0.875,1.0,1.0,0.875,0.375,0.875,1.0,0.625,0.875,0.625,0.5,0.875,0.875,0.875,0.75,0.75,0.375,0.875,0.875,0.5,0.5,0.375,0.75,0.75,0.75,0.75,1.0,1.0,0.625,0.75,0.875,0.75,0.625,0.875,0.375,0.875,0.25,1.0,0.875,0.625,0.0
M00004 | Pentose phosphate pathway (Pentose phosphate cycle),0.125,0.125,0.5,0.5,0.0,0.5,0.125,0.875,0.625,0.125,0.125,0.5,1.0,0.875,1.0,0.0,0.375,0.5,0.5,0.125,0.0,0.25,0.125,0.375,0.5,0.875,0.125,0.625,0.75,0.5,0.0,0.75,1.0,0.75,0.25,0.5,0.125,0.125,0.875,0.375,0.375,0.5,0.625,0.5,0.125,0.0,0.0
"M00005 | PRPP biosynthesis, ribose 5P => PRPP",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"M00006 | Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0
"M00007 | Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",0.25,0.25,1.0,1.0,0.0,1.0,0.25,1.0,1.0,0.25,0.25,0.75,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.25,0.0,0.5,0.25,0.75,0.75,1.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.25,0.25,1.0,0.75,0.75,1.0,0.75,1.0,0.25,0.0,0.0
"M00008 | Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
"M00009 | Citrate cycle (TCA cycle, Krebs cycle)",0.375,0.25,0.625,0.5,0.375,0.625,0.375,0.875,0.75,0.125,0.125,0.375,0.875,0.875,0.625,0.25,0.375,0.25,0.625,0.125,0.375,0.625,0.375,0.875,0.875,1.0,0.375,0.625,0.875,0.5,0.25,0.625,0.875,0.75,0.625,0.75,0.625,0.125,0.875,0.375,0.375,0.5,0.625,0.75,0.5,0.125,0.125
"M00010 | Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.0,1.0,1.0,0.0,0.33333333333333337,0.0,1.0,1.0,1.0,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.0,0.0,0.33333333333333337,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,1.0,1.0,1.0,0.6666666666666667,0.33333333333333337,0.0,1.0,0.0,0.33333333333333337,1.0,0.6666666666666667,1.0,0.0,0.0,0.0
