Module,Ga0540489,Ga0541010,Ga0541011,Ga0541012,Ga0541013,Ga0541014,Ga0541015,Ga0541016,Ga0541017,Ga0541018,Ga0541019,Ga0541020,Ga0541021,Ga0541022,Ga0541023,Ga0541024,Ga0541025,Ga0541026,Ga0541027,Ga0541028
"M00572 | Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP",1.0,0.0,0.0,0.6666666666666667,0.0,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,0.0
"M00088 | Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone",1.0,0.0,0.0,0.8,0.0,0.0,0.6,0.0,1.0,1.0,0.0,0.8,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0
"M00141 | C1-unit interconversion, eukaryotes",0.33333333333333337,0.0,0.0,1.0,0.0,0.0,0.6666666666666667,0.0,0.33333333333333337,0.6666666666666667,0.0,1.0,1.0,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
"M00046 | Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate",1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.33333333333333337,0.0,1.0,1.0,0.0,1.0,1.0,0.33333333333333337,0.6666666666666667,0.0,0.0,0.0,0.0,0.0
M00926 | Heme_biosynthesis_bacteria,1.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,0.0,0.8888888888888888,1.0,0.8888888888888888,0.7777777777777777,0.0,0.0,0.0,0.0,0.0
"M00565 | Trehalose biosynthesis, D-glucose 1P => trehalose",1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.0,1.0,0.8333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0
M00611 | Oxygenic_photosynthesis_in_plants_and_cyanobacteria,0.9166666666666667,0.0,0.0,0.8333333333333333,0.0,0.0,0.8333333333333333,0.0,1.0,0.8333333333333333,0.0,0.8333333333333333,0.9166666666666667,0.8333333333333333,0.9166666666666667,0.0,0.0,0.0,0.0,0.0
M00914 | Coenzyme_A_biosynthesis_archaea,0.8571428571428571,0.0,0.0,0.7142857142857143,0.0,0.0,0.8571428571428571,0.0,0.7142857142857143,1.0,0.0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
M00378 | F420 biosynthesis,1.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,0.5,0.0,0.0,0.0,0.0,0.0
"M00573 | Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin",0.8,0.0,0.0,0.8,0.0,0.0,0.6,0.0,0.8,0.6,0.0,1.0,0.8,0.6,0.8,0.0,0.0,0.0,0.0,0.0
