sample_id,sample_label,report_present,matrix_column_present,modules_parsed,report_file
Ga0540489,AM.P1.D,True,True,448,reportKMC_Ga0540489_proteins.fa.tsv
Ga0541010,AM.P1.R,True,True,448,reportKMC_Ga0541010_proteins.tsv
Ga0541011,AM.P2.D,True,True,448,reportKMC_Ga0541011_proteins.tsv
Ga0541012,AM.P2.R,True,True,448,reportKMC_Ga0541012_proteins.faa.tsv
Ga0541013,TIA.P1.D,True,True,448,reportKMC_Ga0541013_proteins.tsv
Ga0541014,TIA.P1.R,True,True,448,reportKMC_Ga0541014_proteins.tsv
Ga0541015,TIA.P2.D,True,True,448,reportKMC_Ga0541015_proteins.faa.tsv
Ga0541016,TIA.P2.R,True,True,448,reportKMC_Ga0541016_proteins.tsv
Ga0541017,TI.P1.D,True,True,448,reportKMC_Ga0541017_proteins.faa.tsv
Ga0541018,TI.P1.R,True,True,448,reportKMC_Ga0541018_proteins.faa.tsv
Ga0541019,TI.P2.D,True,True,448,reportKMC_Ga0541019_proteins.tsv
Ga0541020,TI.P2.R,True,True,448,reportKMC_Ga0541020_proteins.faa.tsv
Ga0541021,TI.P3.D,True,True,448,reportKMC_Ga0541021_proteins.faa.tsv
Ga0541022,TI.P3.R,True,True,448,reportKMC_Ga0541022_proteins.faa.tsv
Ga0541023,TI.P4.D,True,True,448,reportKMC_Ga0541023_proteins.faa.tsv
Ga0541024,TI.P4.R,True,True,448,reportKMC_Ga0541024_proteins.tsv
Ga0541025,VI.P1.D,True,True,448,reportKMC_Ga0541025_proteins.tsv
Ga0541026,VI.P1.R,True,True,448,reportKMC_Ga0541026_proteins.tsv
Ga0541027,VI.P2.D,True,True,448,reportKMC_Ga0541027_proteins.tsv
Ga0541028,VI.P2.R,True,True,448,reportKMC_Ga0541028_proteins.tsv
