	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Unknown
OTU00002	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phreatobacteraceae	 Phreatobacter	 Phreatobacter cathodiphilus
OTU00003	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Lysobacter	 Lysobacter segetis
OTU00004	Bacteria	 Nitrospirae	 NA	 NA	 NA	 NA	 Nitrospirae bacterium
OTU00005	Archaea	 Candidatus Bathyarchaeota	 NA	 NA	 NA	 NA	 Candidatus Bathyarchaeota archaeon
OTU00006	Archaea	 NA	 NA	 NA	 NA	 NA	 NA
OTU00007	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 NA
OTU00008	Bacteria	 Actinobacteria	 Actinomycetia	 Frankiales	 Frankiaceae	 Frankia	 NA
OTU00009	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Xenophilus	 Xenophilus sp. E41
OTU00010	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Labilitrichaceae	 Labilithrix	 Labilithrix luteola
OTU00011	Bacteria	 Chloroflexi	 Anaerolineae	 Anaerolineales	 Anaerolineaceae	 NA	 Anaerolineaceae bacterium
OTU00012	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 NA	 Thaumarchaeota archaeon
OTU00013	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea sp. TS
OTU00014	Archaea	 Thaumarchaeota	 NA	 Nitrosopumilales	 NA	 NA	 Nitrosopumilales archaeon
OTU00015	Archaea	 NA	 NA	 NA	 NA	 NA	 uncultured archaeon
OTU00016	Archaea	 Thaumarchaeota	 NA	 NA	 NA	 Candidatus Nitrosotalea	 Candidatus Nitrosotalea bavarica
OTU00017	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon 13_2_20CM_2_52_21
OTU00018	Bacteria	 Synergistetes	 NA	 NA	 NA	 NA	 Synergistetes bacterium ADurb.BinA166
OTU00019	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon 13_1_20CM_2_51_12
OTU00020	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfurellales	 NA	 NA	 Desulfurellales bacterium
OTU00021	Bacteria	 NA	 NA	 NA	 NA	 NA	 NA
OTU00022	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 Acidobacteria bacterium
OTU00023	Bacteria	 Acidobacteria	 NA	 NA	 NA	 NA	 NA
OTU00024	Archaea	 NA	 NA	 NA	 NA	 NA	 archaeon
OTU00025	Bacteria	 Actinobacteria	 Actinomycetia	 Pseudonocardiales	 Pseudonocardiaceae	 Saccharothrix	 Saccharothrix sp. NRRL B-16314
OTU00026	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 NA
OTU00027	Bacteria	 Actinobacteria	 Actinomycetia	 NA	 NA	 NA	 NA
OTU00028	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides rotundus
OTU00029	Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Kribbellaceae	 Kribbella	 Kribbella qitaiheensis
OTU00030	Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces albus
OTU00031	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Planctopirus	 NA
OTU00032	Archaea	 Euryarchaeota	 NA	 NA	 NA	 NA	 Euryarchaeota archaeon
