,Unclassified,Methanoregula,Methanoculleus,Methanothrix,Methanofollis,Methanolinea,Candidatus Nitrosotalea,Candidatus Methanoperedens,Methanocella,Methanobacterium,Methanosarcina,Candidatus Methanosuratincola,Candidatus Bilamarchaeum,Methanosphaerula,Methanocalculus,Methanospirillum,Methanomassiliicoccus,Thermococcus,Other genera
AM.P1.D,0.9209721905296654,0.03053365922345607,0.02035577281563738,0.04071154563127476,0.012465314179582104,0.01762861637200666,0.26589423876052537,0.1940482842594141,0.0387562367896017,0.02878740998845995,0.04986125671832842,0.014393704994229975,0.007196852497114987,0.012465314179582104,0.007196852497114987,0.02035577281563738,0.03739594253874631,0.02493062835916421,0.17963320765949273
AM.P1.R,0.9496692210874311,0.06449167871917649,0.07695154059728809,0.04712300234610513,0.05537609212218531,0.057866135648834624,0.1859504277881232,0.06083553443658606,0.056945130400699005,0.036112997693990456,0.044029527295968714,0.0214059424887678,0.016792202839549526,0.030849246460658338,0.030849246460658338,0.03141533489740341,0.03197140169341321,0.030849246460658338,0.1704222457576218
AM.P2.D,0.9730193017171836,0.060230891180240144,0.0695486424728854,0.04528215085571658,0.05663170815041384,0.05474345098609977,0.020508775788239574,0.03661548861218635,0.04289718223792482,0.0400446648633351,0.037326535358249945,0.03362125911001858,0.013565280107516148,0.03201931593678942,0.03362125911001858,0.029453486829836145,0.019184203105439293,0.036254736084246716,0.15458298435994747
AM.P2.R,0.940669621381862,0.10510330972212933,0.10738843139046172,0.07411480799847318,0.0877975826892984,0.090352846747736,0.015581551302069688,0.09102213624118796,0.07349803049594872,0.10767066165742951,0.054256474124022604,0.03695489369497687,0.0198626585353251,0.04195461085623324,0.04834049163923718,0.045760445703075595,0.03695489369497687,0.03895387825517422,0.17859407981822917
TIA.P1.D,0.9377390661892181,0.15697751856449885,0.1082904067005756,0.11239966930062778,0.08480828264859505,0.08480828264859505,0.02016257644805603,0.04032515289611206,0.07073499745463431,0.058650361525941566,0.06151301811678574,0.08499244851726334,0.028514189065225185,0.04543037468780318,0.044032180818709285,0.0407110483192276,0.035367498727317155,0.031135453647341563,0.16456341716435582
TIA.P1.R,0.899401145686795,0.24551078459035608,0.14058384783210678,0.13309256047551327,0.11561673661343427,0.11526153842651123,0.02024938822459976,0.03137021734590537,0.07130545400623248,0.07130545400623248,0.06403418801472846,0.06896693115006994,0.04617570965396101,0.06776741475716971,0.060069392926355776,0.055084291351365666,0.03733802699393611,0.04049877644919952,0.172773685116272
TIA.P2.D,0.9397970885162539,0.13965798143111158,0.0938531668711012,0.1318034734571354,0.07975985488137083,0.08127922673599372,0.020480440066578242,0.036921638402057484,0.07501732937385935,0.06530231484483393,0.06115620812675471,0.07594350431840546,0.0373919967069917,0.03966020165042832,0.04344557415828642,0.04222150882681704,0.04180552322564086,0.0373919967069917,0.16480074496043862
TIA.P2.R,0.9373217003697729,0.16334263247548642,0.09888332786355662,0.12646473736225444,0.08963572827742716,0.08574604270702588,0.019467636161783555,0.040835658118871604,0.07126324924917196,0.06743786987094856,0.052237149382777355,0.05642256999562937,0.050013262850988296,0.046884276413526736,0.04265145386844858,0.036937242558416544,0.036937242558416544,0.031390620097279304,0.16053424035225516
TI.P1.D,0.8539498934316322,0.33191355801865,0.14713247617232347,0.15754837126850074,0.12506373757531544,0.12369687973058698,0.026077591960304666,0.0476109512069141,0.062077085524420074,0.057331177194432134,0.08516905869766847,0.07375856844858888,0.07375856844858888,0.07298620613406218,0.05215518392060933,0.0698113583228287,0.054284836531717603,0.03687928422429444,0.1942736846201053
TI.P1.R,0.9444486792352471,0.12505215252919627,0.12274766310848582,0.07814002985230789,0.10395220987157643,0.10007684286769798,0.019883252485677003,0.03246921534455596,0.06660807147479889,0.044951593165219045,0.048703823016833944,0.04915271566760629,0.04191757676462919,0.05505423318998324,0.0434610686126673,0.047331608184369676,0.043963525404594646,0.03246921534455596,0.16057769637682462
TI.P2.D,0.9708471708508583,0.07089906839632269,0.07715817442716179,0.03930025405909993,0.0642499332096067,0.06359094211539755,0.011849472443606934,0.054301104418122116,0.05829169693911442,0.036714247548346686,0.03821340040868806,0.027535685661260013,0.018357123774173343,0.02997705759455922,0.03351536927343037,0.029504948442408106,0.026496225881415647,0.03135075725309678,0.14761988878253285
TI.P2.R,0.9510817535510669,0.11575918237142006,0.09578262852211515,0.08703978086208114,0.07617328349401023,0.07646018953221549,0.02194780434298824,0.05061423421373268,0.05416667017559806,0.04840292738900481,0.047719557649459385,0.07081047060623533,0.08474550293158888,0.041590417997620435,0.04263033895365736,0.03886908210904233,0.028462995332608026,0.03654640452665108,0.1537770825691203
TI.P3.D,0.921268500340519,0.15949785806216887,0.12443855375067592,0.13013179587497722,0.10129035149735215,0.10015434901570286,0.023918699781652484,0.046215318641990015,0.07068505268728871,0.057271843655240524,0.05891320289560388,0.0812297262785631,0.12086243097306044,0.05793396789077738,0.05454302738272855,0.04940625382254668,0.034385297416763744,0.030255027991917573,0.16304531616979806
TI.P3.R,0.9608237426721176,0.08848193466539458,0.09482501447597283,0.05637490868446666,0.07470680638026928,0.07470680638026928,0.019686972073237507,0.05032066056960333,0.09036012790839736,0.042223851071369535,0.040981700397297795,0.03409883587803696,0.014377331591315238,0.04066523465434633,0.0419167644425994,0.03665514716875521,0.030498925990759745,0.0321486907732361,0.1517302410302526
TI.P4.D,0.9237631894448342,0.14890014715449398,0.12365484170737448,0.14233741194050314,0.09376592627209314,0.08888251761060317,0.10283940351534743,0.06484514605088691,0.07049410585463615,0.07049410585463615,0.06284943093139024,0.033864273073929814,0.04789131426105757,0.04515236409857309,0.04789131426105757,0.04789131426105757,0.049203648041908514,0.04223616916493313,0.17119237648197233
