,Unclassified,Methanoregula,Methanoculleus,Methanothrix,Methanofollis,Methanolinea,Candidatus Nitrosotalea,Candidatus Methanoperedens,Methanocella,Methanobacterium,Methanosarcina,Candidatus Methanosuratincola,Candidatus Bilamarchaeum,Methanosphaerula,Methanocalculus,Methanospirillum,Methanomassiliicoccus,Thermococcus,Other genera
AM.P1,0.9354307577821614,0.050455331579485355,0.05628453201021536,0.04403411914526277,0.04013661443321075,0.04277416141855214,0.22943115285486543,0.1437979465677577,0.04870725698725134,0.032656267210826796,0.0470358597000071,0.01823997145410808,0.012918451185606679,0.02352721896852804,0.022399449692522257,0.02646961232845935,0.03478956053619246,0.02804649922515467,0.17508830792361557
AM.P2,0.9569811644188434,0.08565764988286735,0.09046902471654356,0.06141448506163027,0.07387680926419952,0.0747010118448451,0.018212559201157195,0.06937479114281545,0.06017528035139154,0.08122975614196278,0.046567344922281186,0.035327420172934,0.017007969139293148,0.03731906995865451,0.041636475571703746,0.03848068526793318,0.02944229794698256,0.037628516577572615,0.1670205741813681
TIA.P1,0.9187700955952328,0.2060551948930672,0.12548033801089523,0.12318140142249284,0.10138953247486701,0.10118712133036029,0.02020602895789105,0.03612622657034746,0.07102079848868942,0.06528526892859744,0.06278625897655317,0.07739558739753238,0.03837482990251759,0.05769030008218216,0.05266481232375386,0.04843381364776381,0.03636611215147065,0.03612178959927091,0.16871850007848357
TIA.P2,0.9385602105266635,0.1519624416779267,0.09640106187461424,0.12916169209845038,0.08484161194402806,0.08354249379422482,0.019980456489383396,0.03892787148235599,0.07316437111031472,0.06637868112890166,0.05687179251650828,0.0668988873340632,0.04415590492073356,0.04342273004874646,0.04305034512658152,0.039667465859519475,0.039446556630388506,0.03452196726598437,0.1626814799923322
TI.P1,0.9003370835973322,0.25080336007396825,0.13548976777453284,0.1243530328433467,0.11499347893139777,0.11250842753644993,0.023188192381655447,0.04074955594799963,0.06438244998754739,0.0515146076690425,0.06937517904806438,0.06267501845666151,0.05998920595158664,0.06464501093657912,0.048005352278405175,0.05964019988312026,0.04939450902314822,0.03474429125761124,0.17822382151323068
TI.P2,0.9610152785171753,0.09598662980531748,0.08697038521111031,0.06752937665056928,0.07046425702332273,0.07032058198858339,0.0176368380481011,0.05249004975264544,0.056266997831560125,0.04295799898078676,0.043228579395203345,0.05372307107897052,0.06131388203493666,0.036251805825671016,0.03834465919028435,0.03450614095047891,0.027497200669005076,0.03404783153277329,0.15072992849404096
TI.P3,0.9412539280667371,0.12897406616942597,0.11062715993355411,0.10028064276526327,0.08899674776641052,0.08835157199025455,0.021905262708505187,0.04831161639472386,0.08112129618363699,0.05031360489453876,0.050745764566476226,0.06229365553380049,0.08606519297719734,0.05005000472059256,0.04864132490696281,0.04350044672610278,0.03250025511460749,0.03121622204259247,0.157489430070732
TI.P4,0.9366729832606693,0.13341922812018564,0.11565077511557031,0.12227988488962772,0.0867938805027701,0.08571156898637791,0.07953016349118751,0.06258856537617959,0.06732706356599052,0.06477564332421812,0.061562224755670365,0.0338199052540686,0.04205988895811495,0.04448216249847723,0.04445727554199332,0.04236698178239665,0.04189229165510485,0.037556420442899204,0.16445809945781384
VI.P1,0.9627372099004126,0.07931540004093941,0.08189661823366999,0.04853474442244342,0.06951983111015107,0.07187943082610432,0.02712744501317407,0.12435296196500695,0.05702475936611644,0.03646938187954528,0.04469124222124152,0.02962564774232358,0.010928773717031298,0.03847425635826779,0.03688943354625597,0.029573739552095787,0.028821307071807516,0.030090207107674162,0.1362210749761259
VI.P2,0.9509607249830196,0.09844676022862385,0.10835890874527247,0.07829924518988696,0.088844697549288,0.08697556414178102,0.017423595674083036,0.06316788322078391,0.0729803108597986,0.07552835870666665,0.045871930935022745,0.03299084352223932,0.01574611437693401,0.045615833226406916,0.04876010675419737,0.04346066839778913,0.03226279792621972,0.03644894976115213,0.15864990752989988
