,Unclassified,Anaeromyxobacter,Bradyrhizobium,Mycobacterium,Candidatus Sulfotelmatobacter,Syntrophorhabdus,Candidatus Sulfopaludibacter,Nitrospira,Geobacter,Clostridium,Desulfobacca,Paenibacillus,Streptomyces,Syntrophus,Pseudomonas,Thermodesulfovibrio,Syntrophobacter,Bacillus,Other genera
AM.P1.D,0.865259689253463,0.08198312090487887,0.11062468659855054,0.0580193521962819,0.10352750685924707,0.01942046770348015,0.09469568094883132,0.05859859469958894,0.024079135787926285,0.023003091676457824,0.016091673024069122,0.03519116334146532,0.06977989911098793,0.015376125982077642,0.04303484394492829,0.013834445027649704,0.01822419229563423,0.02225684593401044,0.4414989925905152
AM.P1.R,0.877258246758639,0.10173038773167546,0.07830864450385017,0.04309468901077681,0.13913332022576774,0.03294175971342838,0.06730523626810607,0.06177593172324834,0.033598470684443126,0.06864450871159417,0.04611530512442019,0.0362067808495029,0.05596131209138496,0.028687511867020937,0.041545867700496696,0.03835564987034388,0.026303616465651148,0.02337137654165106,0.40696629265581996
AM.P2.D,0.9278860924850382,0.022098790729102927,0.024836896619989057,0.035848972373463975,0.025349051463845577,0.03991972616501014,0.049673793239978115,0.025851061613043267,0.03620568735210051,0.046465578851361405,0.03655892193490829,0.04701548649967816,0.03759871942309634,0.040874117315281545,0.03362931699879403,0.02867917789877118,0.030418861756614693,0.049673793239978115,0.34031986671282133
AM.P2.R,0.8883757777222964,0.15658150514451383,0.08552731116035928,0.13408223965285818,0.06363319871023672,0.04949043071310184,0.035053883827005215,0.03609703680735262,0.03884799003709076,0.0588528710372651,0.037110879283379444,0.039059697272430895,0.03852824805624879,0.04467357330835715,0.03434084897146618,0.04101645220382122,0.030255511408805624,0.028283221580365784,0.3688016354838055
TIA.P1.D,0.9191582892279908,0.10328628655287882,0.03954887632812708,0.02305206228570214,0.02970388026710798,0.051740125790552954,0.033659764359061414,0.042834864203183054,0.04444316327878396,0.03759944252973144,0.033659764359061414,0.04017767372029472,0.036103019481495476,0.04341609653184063,0.03395633188980119,0.02411492115643055,0.029193173771765623,0.028321538590117833,0.3509186064799403
TIA.P1.R,0.883797588611716,0.21797326461684996,0.04878097145759751,0.0347796125334421,0.02987212230709602,0.05380668667760647,0.04294388153938673,0.036176936672289134,0.04775388860954139,0.04649144779973129,0.04796106480401971,0.04317414528941797,0.036176936672289134,0.047336816091988115,0.038306783020947456,0.03085179525633439,0.03699000306027957,0.02920075292735311,0.37955754697806304
TIA.P2.D,0.9009321066684395,0.14182042136058406,0.0426459798750055,0.02559522943269195,0.027968335394351118,0.04648552737486312,0.04160142994798552,0.03279578027742298,0.04721598443835629,0.035652771984626026,0.04377736941149774,0.04648552737486312,0.037130532861625286,0.04355344277979027,0.037653523869948496,0.026899083643799004,0.03578963533618177,0.028998187332758094,0.3806160607911405
TIA.P2.R,0.9000048925003052,0.1785915292894899,0.04081154009535327,0.029996617593396325,0.02475131896138343,0.05482431117941594,0.04010172003307794,0.03472910828409684,0.04242162342590047,0.04033971452624719,0.047930723067052934,0.04196790317842195,0.03527605702319963,0.042646673405280534,0.035814653928239217,0.027324716274143075,0.028016590734026292,0.03332248295025075,0.3669127374793747
TI.P1.D,0.8171895149250809,0.21775110587274987,0.10229647274738324,0.0675726398030811,0.04613742724388251,0.049779742682744564,0.048623836475068655,0.06574436633073362,0.04994268826640603,0.027488067079269877,0.04640082097611287,0.03855922287775205,0.039496020719236115,0.045695063939080766,0.05042836602965496,0.029207701211244542,0.035257250647333774,0.025173872544581238,0.49259642775432694
TI.P1.R,0.9072836178809016,0.14277178989133216,0.042665200273131164,0.03109734129707105,0.03590811673789127,0.04907270890835435,0.04964892484412331,0.034287357590158184,0.04649332409912567,0.044193335821337165,0.03590811673789127,0.04504328550533641,0.03199890020484837,0.043107338509762755,0.027882396606140312,0.03199890020484837,0.033447539699386755,0.02985293951437202,0.3635941283964947
