,Unclassified,Anaeromyxobacter,Bradyrhizobium,Mycobacterium,Candidatus Sulfotelmatobacter,Syntrophorhabdus,Candidatus Sulfopaludibacter,Nitrospira,Geobacter,Clostridium,Desulfobacca,Paenibacillus,Streptomyces,Syntrophus,Pseudomonas,Thermodesulfovibrio,Syntrophobacter,Bacillus,Other genera
AM.P1,0.8712796225532421,0.09238588610101926,0.09583857545127096,0.05110478182230978,0.1226295752939263,0.02703991585452115,0.08215006640127699,0.06020822635255973,0.02922894124516638,0.05119184897486928,0.03453667114410369,0.03570258363766986,0.06324912161812622,0.023015197015637194,0.04229690837609473,0.028831820495760167,0.02262743273109356,0.022820916199639257,0.42458386910978047
AM.P2,0.9083457830228662,0.11181709239872517,0.06297536180139396,0.09814070463003584,0.04843427705774683,0.044960467464527816,0.042989885474407075,0.03139485190913256,0.03755008739377282,0.05302221443565442,0.03683593445420028,0.04322103609248258,0.03806632107612029,0.042816011131588144,0.033986945066351776,0.03538957894873656,0.03033729652734735,0.040419217940307575,0.3548466274427321
TIA.P1,0.9016513013056685,0.170558495944369,0.04440549963216511,0.029504398177223116,0.029788120065327973,0.0527835208566289,0.038582098817822374,0.03964590986656726,0.04612823777013998,0.04227985807131877,0.04143213411015005,0.041702831360989345,0.03613999697476509,0.045418782435182076,0.03619697570809112,0.027689011294371263,0.03332042707760509,0.02876450520725026,0.36551867246546216
TIA.P2,0.9004686189286439,0.16125750563749325,0.04173883925346991,0.02788290548666507,0.02640885812619558,0.05082622035729482,0.04085845642782232,0.03377627988850703,0.04488286599902023,0.03806844308772591,0.04590104729916986,0.04428436040247476,0.03621516719340301,0.04310244268315386,0.03674559358497507,0.027112735202654437,0.03213897442245784,0.03123525843142236,0.3738271944741138
TI.P1,0.8634124931278637,0.1841186140747048,0.07837374449043029,0.05259803364054334,0.04134038606705662,0.049427490029154524,0.04913905377462828,0.05243064273278116,0.04824884090349606,0.03680111929528722,0.04148752243096292,0.04192678879935479,0.0359434644057454,0.04442004897448872,0.040745847278728674,0.03063510587842957,0.03436431022988073,0.027612695056256048,0.4329272056828552
TI.P2,0.9073420665702465,0.15020383042061014,0.03731229210734324,0.03033552162804122,0.023403973709505692,0.045814906049104834,0.03764453128455102,0.031292494800897686,0.04829086880210001,0.05410991110202804,0.0531627373031413,0.04264191697563801,0.03720361230794344,0.04342831521809572,0.037863080387134054,0.044575905852402835,0.03219021961233685,0.03501171230754481,0.35770989357051025
TI.P3,0.9021080705332492,0.1622526555565336,0.04531090937153312,0.03946493936419124,0.02548196747813417,0.04750751670765028,0.03408265443393146,0.036978263795198967,0.04909368465929047,0.04071930436498588,0.037673226142176136,0.04277631183853296,0.03615944342366217,0.04145157744796765,0.035548108160339854,0.03888027603708097,0.033358425604138424,0.03159661638504121,0.3682386197968893
TI.P4,0.864965292103463,0.24373425482138325,0.06897155011238142,0.056546050458249314,0.04224799658876759,0.04648972932558484,0.03840601925757129,0.07365591018773543,0.05263090848106071,0.038660916363424336,0.030898409200189273,0.036882437801698385,0.039729373447266896,0.037686259383362244,0.040694363453991335,0.039511929803935544,0.02915085905892556,0.023152117118617574,0.39930730432832123
VI.P1,0.9303930557164247,0.033947334819846034,0.03979850502212872,0.0238891332125797,0.042476920111613685,0.05630730282597664,0.04441837656535599,0.035565635329434485,0.042334842186389915,0.03856275803043605,0.04922360893681117,0.039786719503228214,0.03871775342340744,0.03775340758619253,0.032105519815397145,0.027961087355502585,0.03856275803043605,0.03134932461265365,0.3291761102807506
VI.P2,0.9245871830389835,0.05019564980576838,0.03560111848619431,0.08019260939774546,0.04003494388432876,0.047325074975466806,0.045389685312429866,0.029665281726704924,0.03965928934659137,0.04170033860612177,0.04788848836792902,0.043755098761016624,0.036042851713562724,0.0379598901983387,0.02698187786261964,0.028485400061675426,0.029795778218155683,0.034796604925694266,0.33799447597694354
