,AM.P1.D,AM.P1.R,AM.P2.D,AM.P2.R,TIA.P1.D,TIA.P1.R,TIA.P2.D,TIA.P2.R,TI.P1.D,TI.P1.R,TI.P2.D,TI.P2.R,TI.P3.D,TI.P3.R,TI.P4.D,TI.P4.R,VI.P1.D,VI.P1.R,VI.P2.D,VI.P2.R
AM.P1.D,0.0,0.3395111546641891,0.6095357796729555,0.45230404310114775,0.49445062229613057,0.5145936052544716,0.47966890679066093,0.5190188393943497,0.4101309815451579,0.530424901572344,0.5916482725286362,0.4747372187487767,0.44397428834735725,0.546905047927259,0.39721930820856693,0.4210457788939047,0.6883459156692845,0.512399068184976,0.5414770685028343,0.551713624393874
AM.P1.R,0.3395111546641891,0.0,0.4967221446633235,0.36044178543697014,0.3978232748885261,0.4289792613279441,0.3892181129739765,0.4271335242890086,0.38672795156521633,0.4330892041234982,0.4789387013988684,0.38011768622321124,0.3680057888513472,0.43568332037541974,0.3662600238310462,0.35287912031040236,0.6028206592599363,0.4142897226030961,0.4386735200150052,0.4487036318712667
AM.P2.D,0.6095357796729555,0.4967221446633235,0.0,0.4313145413117643,0.40424271149366575,0.45111933158346884,0.4203264892528173,0.427878136776134,0.5561022759526113,0.40318131549172576,0.33227980046889305,0.4141797091153453,0.4626108443849991,0.3560800555127767,0.5381376063890866,0.48013964924558755,0.48597236510808617,0.3816639771529689,0.35977931795746504,0.38633249603950315
AM.P2.R,0.45230404310114775,0.36044178543697014,0.4313145413117643,0.0,0.32455789474271474,0.37091672907185985,0.323663863612078,0.36468003229970675,0.3898582598175902,0.3579931829801127,0.41668294465451494,0.3184465976911897,0.32373387456128105,0.3619248004660617,0.36615880961124053,0.33437425208041055,0.5512378498856915,0.3763424276229326,0.3667004273136896,0.36482133792048205
TIA.P1.D,0.49445062229613057,0.3978232748885261,0.40424271149366575,0.32455789474271474,0.0,0.3537297703160511,0.29452931778009295,0.33468522989181887,0.41852500436042606,0.3353790539674462,0.392235927187468,0.31704021279848454,0.3262246794093184,0.337258302017117,0.3996702533964975,0.34676204164464397,0.5300262478480454,0.36602863398347785,0.3501679732568731,0.35155921659237527
TIA.P1.R,0.5145936052544716,0.4289792613279441,0.45111933158346884,0.37091672907185985,0.3537297703160511,0.0,0.3431240859363617,0.33809378067127016,0.407690347037196,0.35606372733844854,0.43240527528821726,0.3563716780983504,0.35101421043228453,0.3948256701341985,0.40214385264139596,0.3670066831416074,0.5457396855967009,0.4132357702551061,0.39794592369494597,0.390473637864863
TIA.P2.D,0.47966890679066093,0.3892181129739765,0.4203264892528173,0.323663863612078,0.29452931778009295,0.3431240859363617,0.0,0.32874985737615275,0.3874808177373282,0.3368075345829235,0.4109114752226675,0.31560720008061616,0.31444115012771473,0.35591788282933035,0.3751545395846513,0.3348008255663041,0.5522307183858319,0.3838467770696338,0.36537741305600613,0.3649123314101472
TIA.P2.R,0.5190188393943497,0.4271335242890086,0.427878136776134,0.36468003229970675,0.33468522989181887,0.33809378067127016,0.32874985737615275,0.0,0.4268025482677687,0.34684168191703646,0.4109774913963538,0.3529379321923473,0.35108686603840084,0.37275450226771606,0.41338077501558634,0.3714324483107999,0.5307736399190909,0.395905917499362,0.3790804479101966,0.37189952525785164
TI.P1.D,0.4101309815451579,0.38672795156521633,0.5561022759526113,0.3898582598175902,0.41852500436042606,0.407690347037196,0.3874808177373282,0.4268025482677687,0.0,0.4415651831354501,0.5384223604500947,0.3849585851513139,0.34477006080831074,0.4853487573968431,0.31009320777817484,0.33558708684788197,0.6533993504558896,0.4805787529210463,0.48791364493036904,0.4842800436598229
TI.P1.R,0.530424901572344,0.4330892041234982,0.40318131549172576,0.3579931829801127,0.3353790539674462,0.35606372733844854,0.3368075345829235,0.34684168191703646,0.4415651831354501,0.0,0.3907551542038868,0.3486279551537403,0.3613721036327497,0.35460840041274433,0.42913869326446913,0.38016693558189063,0.5036941395220494,0.3757922839683384,0.34932662227086075,0.3576903208624042
TI.P2.D,0.5916482725286362,0.4789387013988684,0.33227980046889305,0.41668294465451494,0.392235927187468,0.43240527528821726,0.4109114752226675,0.4109774913963538,0.5384223604500947,0.3907551542038868,0.0,0.39675982582924624,0.44038924690570136,0.3399912202477476,0.5202692004625338,0.45987049098821714,0.46592413264318594,0.36204107313877226,0.3457130547869984,0.3644027893273809
TI.P2.R,0.4747372187487767,0.38011768622321124,0.4141797091153453,0.3184465976911897,0.31704021279848454,0.3563716780983504,0.31560720008061616,0.3529379321923473,0.3849585851513139,0.3486279551537403,0.39675982582924624,0.0,0.2924218120154865,0.34983424948054737,0.3574865502413906,0.3167942362701648,0.5461288743810102,0.3761003582877016,0.37023440678628394,0.3735049214601092
TI.P3.D,0.44397428834735725,0.3680057888513472,0.4626108443849991,0.32373387456128105,0.3262246794093184,0.35101421043228453,0.31444115012771473,0.35108686603840084,0.34477006080831074,0.3613721036327497,0.44038924690570136,0.2924218120154865,0.0,0.38252112072439415,0.3145780099347961,0.2935639517953124,0.5747583086615103,0.40440400759344136,0.39557651136877997,0.38897447858943346
TI.P3.R,0.546905047927259,0.43568332037541974,0.3560800555127767,0.3619248004660617,0.337258302017117,0.3948256701341985,0.35591788282933035,0.37275450226771606,0.4853487573968431,0.35460840041274433,0.3399912202477476,0.34983424948054737,0.38252112072439415,0.0,0.46417391716763323,0.4008343245609293,0.48189781055804454,0.340010570868201,0.3219012855542802,0.33683557435060235
TI.P4.D,0.39721930820856693,0.3662600238310462,0.5381376063890866,0.36615880961124053,0.3996702533964975,0.40214385264139596,0.3751545395846513,0.41338077501558634,0.31009320777817484,0.42913869326446913,0.5202692004625338,0.3574865502413906,0.3145780099347961,0.46417391716763323,0.0,0.30160096593708347,0.6315229989681788,0.46320149032074925,0.4664389747822964,0.4611208349201248
