Sample,RDA1,RDA2,Lake
AM.P1,0.060526359875360584,-0.029129120833531204,AM
AM.P2,0.08838714431401186,-0.028535887814730734,AM
TIA.P1,-0.1199777253277437,-0.011492568201585814,TIA
TIA.P2,-0.012689434621477409,0.023713855797973502,TIA
TI.P1,-0.1650254660142115,0.0010640363897808105,TI
TI.P2,0.01813290337676428,0.02259394725234615,TI
TI.P3,-0.0005743404321835218,0.00850331381169206,TI
TI.P4,0.01946131325608896,-0.04119048327380222,TI
VI.P1,0.06501112563253851,0.0675270263391735,VI
VI.P2,0.04674811994085167,-0.013054119467316027,VI
